Timestamp,Alloc(MiB),TotalAlloc(MiB),Sys(MiB),NumGC
%!s(int64=1732408281),2773984,2773984,12032104,0
%!s(int64=1732408286),2799592,2799592,12032104,0
%!s(int64=1732408291),2822432,2822432,12032104,0
%!s(int64=1732408296),2850224,2850224,12032104,0
%!s(int64=1732408301),2869160,2869160,12032104,0
%!s(int64=1732408645),2774408,2774408,11769960,0
%!s(int64=1732408645),2774536,2774536,11769960,0
%!s(int64=1732408645),2774664,2774664,11769960,0
%!s(int64=1732408645),2774984,2774984,11769960,0
%!s(int64=1732408645),2775112,2775112,11769960,0
%!s(int64=1732408645),2775240,2775240,11769960,0
%!s(int64=1732408645),2775368,2775368,11769960,0
%!s(int64=1732408645),2775784,2775784,11769960,0
%!s(int64=1732408645),2775912,2775912,11769960,0
%!s(int64=1732408646),2776040,2776040,11769960,0
%!s(int64=1732408646),2776168,2776168,11769960,0
%!s(int64=1732408646),2777320,2777320,11769960,0
%!s(int64=1732408646),2777448,2777448,11769960,0
%!s(int64=1732408646),2777576,2777576,11769960,0
%!s(int64=1732408646),2777704,2777704,11769960,0
%!s(int64=1732408646),2777832,2777832,11769960,0
%!s(int64=1732408646),2777960,2777960,11769960,0
%!s(int64=1732408646),2778088,2778088,11769960,0
%!s(int64=1732408646),2778216,2778216,11769960,0
%!s(int64=1732408647),2778344,2778344,11769960,0
%!s(int64=1732408647),2778472,2778472,11769960,0
%!s(int64=1732408647),2778600,2778600,11769960,0
%!s(int64=1732408647),2778728,2778728,11769960,0
%!s(int64=1732408647),2778856,2778856,11769960,0
%!s(int64=1732408647),2778984,2778984,11769960,0
%!s(int64=1732408647),2779112,2779112,11769960,0
%!s(int64=1732408647),2779240,2779240,11769960,0
%!s(int64=1732408647),2779368,2779368,11769960,0
%!s(int64=1732408647),2779496,2779496,11769960,0
%!s(int64=1732408648),2779624,2779624,11769960,0
%!s(int64=1732408648),2779752,2779752,11769960,0
%!s(int64=1732408648),2779880,2779880,11769960,0
%!s(int64=1732408648),2780008,2780008,11769960,0
%!s(int64=1732408648),2780136,2780136,11769960,0
%!s(int64=1732408648),2780264,2780264,11769960,0
%!s(int64=1732408648),2780392,2780392,11769960,0
%!s(int64=1732408648),2780520,2780520,11769960,0
%!s(int64=1732408648),2780648,2780648,11769960,0
%!s(int64=1732408648),2780776,2780776,11769960,0
%!s(int64=1732408649),2780904,2780904,11769960,0
%!s(int64=1732408649),2781032,2781032,11769960,0
%!s(int64=1732408649),2781160,2781160,11769960,0
%!s(int64=1732408649),2781288,2781288,11769960,0
%!s(int64=1732408649),2783464,2783464,11769960,0
%!s(int64=1732408649),2783592,2783592,11769960,0
%!s(int64=1732408649),2783720,2783720,11769960,0
%!s(int64=1732408649),2783848,2783848,11769960,0
%!s(int64=1732408649),2783976,2783976,11769960,0
%!s(int64=1732408649),2784104,2784104,11769960,0
%!s(int64=1732408650),2784264,2784264,11769960,0
%!s(int64=1732408650),2809648,2809648,11769960,0
%!s(int64=1732408650),2809776,2809776,11769960,0
%!s(int64=1732408650),2809904,2809904,11769960,0
%!s(int64=1732408650),2810032,2810032,11769960,0
%!s(int64=1732408650),2810160,2810160,11769960,0
%!s(int64=1732408650),2810288,2810288,11769960,0
%!s(int64=1732408650),2810416,2810416,11769960,0
%!s(int64=1732408650),2810544,2810544,11769960,0
%!s(int64=1732408650),2810672,2810672,11769960,0
%!s(int64=1732408651),2810800,2810800,11769960,0
%!s(int64=1732408651),2810928,2810928,11769960,0
%!s(int64=1732408651),2811056,2811056,11769960,0
%!s(int64=1732408651),2811184,2811184,11769960,0
%!s(int64=1732408651),2811312,2811312,11769960,0
%!s(int64=1732408651),2811440,2811440,11769960,0
%!s(int64=1732408651),2811568,2811568,11769960,0
%!s(int64=1732408651),2478296,4169800,12949608,1
%!s(int64=1732408651),2478424,4169928,12949608,1
%!s(int64=1732408651),2478552,4170056,12949608,1
%!s(int64=1732408652),2478680,4170184,12949608,1
%!s(int64=1732408652),2478808,4170312,12949608,1
%!s(int64=1732408652),2478936,4170440,12949608,1
%!s(int64=1732408652),2479064,4170568,12949608,1
