Timestamp,Memory Usage
1738578523093,4560312
1738578523095,5509152
1738578523105,5629208
1738578523121,8660496
1738578523125,8595000
1738578523135,6097000
1738578523145,7939184
1738578523155,6926784
1738578523165,6915128
1738578523175,4911008
1738578523185,9078784
1738578523195,5643408
1738578523205,7323264
1738578523215,7154264
1738578523225,5412168
1738578523235,7178600
1738578523245,5863448
1738578523255,6764016
1738578523265,5959264
1738578523275,7343912
1738578523285,7102600
1738578523295,7741960
1738578523305,7690864
1738578523315,6898144
1738578523329,8285128
1738578523335,7244088
1738578523345,8282544
1738578523355,6331288
1738578523365,6741208
1738578523375,6552992
1738578523385,6113232
1738578523395,8208944
1738578523405,5616520
1738578523415,6480256
1738578523425,7187608
1738578523435,8452632
1738578523445,8477256
1738578523455,7344688
1738578523465,5166584
1738578523475,6041048
1738578523485,6683752
1738578523495,5710904
1738578523505,6093512
1738578523515,8161856
1738578523525,7270368
1738578523535,5201576
1738578523545,6379320
1738578523555,9182872
1738578523565,5845976
1738578523575,5653416
1738578523585,6459616
1738578523595,7165712
1738578523605,7551048
1738578523615,6557992
1738578523625,6582776
1738578523635,7195784
1738578523645,7028808
1738578523656,8480832
1738578523665,9004648
1738578523675,6780304
1738578523685,7494112
1738578523695,7324672
1738578523705,6917104
1738578523715,6686528
1738578523725,6324104
1738578523735,8388088
1738578523745,7249720
1738578523755,6084704
1738578523765,7570704
1738578523775,6247216
1738578523785,8346992
1738578523795,5115312
1738578523805,6900632
1738578523815,8843192
1738578523825,7213456
1738578523835,6954224
1738578523845,5676800
1738578523855,6600456
1738578523865,7291256
1738578523875,7296024
1738578523885,7563688
1738578523895,5706480
1738578523905,6129696
1738578523915,4809176
1738578523925,8123472
1738578523935,6638592
1738578523945,7501952
1738578523955,7293552
1738578523965,6600024
1738578523975,5935464
1738578523985,6649416
1738578523995,9453216
1738578524005,6760792
1738578524015,7744688
1738578524025,5927240
1738578524035,5986440
1738578524045,6162600
1738578524055,6949776
1738578524065,6533640
1738578524075,8137680
1738578524085,6050032
1738578524095,7223752
1738578524105,6146128
1738578524116,7747000
1738578524125,5809264
1738578524135,8229720
1738578524145,5825400
1738578524155,6479000
1738578524165,5861720
1738578524175,6193288
1738578524185,5975008
1738578524195,6035928
1738578524205,8341920
1738578524215,8132424
1738578524225,6283128
1738578524235,6859024
1738578524245,5484240
1738578524255,7403176
1738578524265,9342192
1738578524275,4573600
1738578524285,6657928
1738578524295,5445448
1738578524305,7375256
1738578524315,8497400
1738578524325,7306784
1738578524335,7003336
1738578524345,9061416
1738578524355,6561520
1738578524365,7303856
1738578524375,6406016
1738578524385,8020808
1738578524395,7798096
1738578524405,8293200
1738578524415,6705776
1738578524425,7363064
1738578524435,5833752
1738578524445,6903432
1738578524455,8258368
1738578524465,8875704
1738578524475,7411560
1738578524485,9532776
1738578524495,7792328
1738578524505,6747192
1738578524515,8648552
1738578524525,8196720
1738578524535,5613416
1738578524545,6862080
1738578524555,8341208
1738578524565,7015448
1738578524575,7163320
1738578524585,7624360
1738578524595,6142928
1738578524605,6412272
1738578524615,7118392
1738578524625,6693824
1738578524635,8983360
1738578524645,8209160
1738578524655,8988456
1738578524665,6550280
1738578524675,5795592
1738578524685,7067176
1738578524695,5988296
1738578524705,6671888
1738578524715,6649080
1738578524725,6999424
1738578524735,7198488
1738578524745,8139920
1738578524755,8731576
1738578524765,6134872
1738578524775,7921592
1738578524785,8183800
1738578524795,7626856
1738578524805,6015704
1738578524815,7927264
1738578524825,6606600
1738578524835,7187520
1738578524845,6991472
1738578524855,6576296
1738578524865,6289440
1738578524875,6120144
1738578524885,5281248
1738578524895,6088920
1738578524905,10768192
1738578524915,8615328
1738578524925,7898840
1738578524935,7399656
1738578524945,6866040
1738578524955,8153024
1738578524965,7369360
1738578524975,6876704
1738578524985,8391456
1738578524995,6792920
1738578525005,8116144
1738578525015,7701376
1738578525025,7385232
1738578525035,9079888
1738578525045,5644712
1738578525055,10242520
1738578525065,8742544
1738578525075,8077696
1738578525085,7182456
1738578525095,6057440
1738578525105,5824480
1738578525115,7363896
1738578525125,9322472
1738578525135,6534728
1738578525145,7280856
1738578525155,7077768
1738578525165,6908360
1738578525175,8777856
1738578525185,5355344
1738578525195,9515496
1738578525205,6046608
1738578525215,9213432
1738578525225,6792784
1738578525235,6866544
1738578525245,6927576
1738578525255,7350256
1738578525265,6407264
1738578525275,6808144
1738578525285,6081776
1738578525295,9797984
1738578525305,6289504
1738578525315,7498608
1738578525325,8459792
1738578525335,6717352
1738578525345,7088952
1738578525355,5440576
1738578525365,6642448
1738578525375,8167056
1738578525385,6465768
1738578525395,7136112
1738578525405,7808648
1738578525415,5292672
1738578525425,7224064
1738578525435,7337640
1738578525445,6007976
1738578525455,8495984
1738578525465,5755128
1738578525475,6783552
1738578525485,9839816
1738578525495,6949344
1738578525505,7266568
1738578525515,6571128
1738578525525,6792512
1738578525535,7916480
1738578525545,7222616
1738578525555,6478312
1738578525565,7249104
1738578525575,7037768
1738578525585,7850424
1738578525595,5979136
1738578525605,6797552
1738578525615,7322024
1738578525625,7262216
1738578525635,7982232
1738578525645,6402112
1738578525655,9428160
1738578525665,9449920
1738578525675,6917128
1738578525685,8129968
1738578525695,7626632
1738578525705,9465800
1738578525715,8847232
1738578525725,7196904
1738578525735,7923344
1738578525745,8939824
1738578525755,8935224
1738578525765,7862720
1738578525775,9134928
1738578525785,9300520
1738578525795,8961896
1738578525805,7043304
1738578525815,7881336
1738578525825,9285304
1738578525835,5971488
1738578525845,8378280
1738578525855,7573872
1738578525865,6757056
1738578525875,7102016
1738578525885,7020296
1738578525895,8292912
1738578525905,7929800
1738578525915,5986928
1738578525925,8096120
1738578525936,7161064
1738578525945,8264792
1738578525955,6541576
1738578525965,7035656
1738578525975,5661304
1738578525985,7835936
1738578525995,5468568
1738578526006,6340016
1738578526015,6378216
1738578526025,6725240
1738578526035,5481344
1738578526045,9466952
1738578526055,6239384
1738578526065,8067136
1738578526075,7865368
1738578526085,6538936
1738578526095,9794936
1738578526105,9582544
1738578526115,6909400
1738578526125,7901056
1738578526135,6969624
1738578526145,7436896
1738578526155,9321376
1738578526165,8529296
1738578526175,6955392
1738578526185,6214464
1738578526195,6855760
1738578526205,10680760
1738578526215,8115768
1738578526225,7355128
1738578526235,6775432
1738578526245,6733632
1738578526255,6562600
1738578526265,6979496
1738578526275,8247632
1738578526285,6823424
1738578526295,8494296
1738578526305,9598992
1738578526315,9023440
1738578526325,5735264
1738578526335,8278096
1738578526345,9526192
1738578526355,7128400
1738578526365,9341928
1738578526375,7473568
1738578526385,8663792
1738578526395,6896624
1738578526405,6490144
1738578526415,7546200
1738578526425,9529280
1738578526435,7566032
1738578526445,7867616
1738578526455,5827328
1738578526465,7928072
1738578526476,8601016
1738578526485,6332632
1738578526495,5622176
1738578526505,8916728
1738578526515,7296184
1738578526525,6129576
1738578526535,7732816
1738578526545,7843384
1738578526555,7555824
1738578526565,8107640
1738578526575,8566880
1738578526585,6206816
1738578526595,6328648
1738578526605,5171336
1738578526615,7130160
1738578526625,8374608
1738578526635,7295448
1738578526646,9678864
1738578526655,7916952
1738578526665,6550080
1738578526675,6778352
1738578526685,5829048
1738578526695,7298672
1738578526705,6360832
1738578526715,9176296
1738578526725,8580216
1738578526735,6701008
1738578526745,7183152
1738578526755,6364976
1738578526765,6563344
1738578526775,6577712
1738578526785,7314424
1738578526795,6603784
1738578526805,9893760
1738578526815,5733248
1738578526825,8055992
1738578526835,5577000
1738578526845,7753640
1738578526855,7720584
1738578526865,6494088
1738578526875,5698296
1738578526885,9648600
1738578526895,7028360
1738578526905,8987896
1738578526915,8158488
1738578526925,7086792
1738578526935,8277984
1738578526945,7913624
1738578526955,9203304
1738578526965,7747200
1738578526975,8444872
1738578526985,7062800
1738578526995,6694616
1738578527005,6113192
1738578527015,6787328
1738578527025,6661504
1738578527035,6802560
1738578527045,8388744
1738578527055,7006416
1738578527065,10216592
1738578527075,5592096
1738578527085,8527536
1738578527095,5995072
1738578527105,7042072
1738578527115,7380752
1738578527125,6816824
1738578527135,7229488
1738578527145,7196320
1738578527155,8900120
1738578527165,6499736
1738578527175,8546496
1738578527185,8064080
1738578527195,8613016
1738578527205,6576872
1738578527215,8947456
1738578527225,5087168
1738578527235,5672616
1738578527245,6651384
1738578527255,7608504
1738578527265,6980456
1738578527275,9200440
1738578527285,7423032
1738578527295,8024080
