Timestamp,Memory Usage
1738621283653,2387416
1738621283662,2624192
1738621283672,3005880
1738621283682,2400064
1738621283692,2740072
1738621283702,2862336
1738621283712,2657368
1738621283722,2866568
1738621283732,2355216
1738621283742,3040144
1738621283752,2579120
1738621283762,2932728
1738621283772,2720280
1738621283782,2548504
1738621283792,2292040
1738621283802,3454456
1738621283812,2886952
1738621283822,3227832
1738621283832,3071432
1738621283842,3002208
1738621283852,3132424
1738621283862,2894936
1738621283872,2795224
1738621283882,2624464
1738621283892,2603496
1738621283902,3106632
1738621283912,3051376
1738621283922,2942048
1738621283932,2254592
1738621283942,3034064
1738621283952,2674952
1738621283962,3036128
1738621283972,2948368
1738621283982,3298248
1738621283992,3261480
1738621284002,3322208
1738621284012,3152704
1738621284022,3302640
1738621284032,2993920
1738621284042,3629160
1738621284052,3384496
1738621284062,2819840
1738621284072,2503528
1738621284082,3922656
1738621284092,3193544
1738621284102,3295464
1738621284112,2977552
1738621284122,3104976
1738621284132,2526864
1738621284142,3020560
1738621284152,2777464
1738621284162,2525288
1738621284172,2521696
1738621284183,2656648
1738621284192,3184512
1738621284202,3333352
1738621284212,3018680
1738621284222,3210648
1738621284232,3216712
1738621284242,2567760
1738621284252,2875120
1738621284262,2818360
1738621284272,3346656
1738621284282,3263376
1738621284292,2731128
1738621284302,3058744
1738621284312,3293696
1738621284322,2543336
1738621284332,3842584
1738621284342,2659616
1738621284352,3186928
1738621284362,3157352
1738621284372,2766288
1738621284382,3602392
1738621284392,3600144
1738621284402,2534512
1738621284412,2205584
1738621284422,3034952
1738621284432,2393504
1738621284442,2878888
1738621284452,2432664
1738621284462,3562168
1738621284472,2769664
1738621284482,2621128
1738621284492,3572512
1738621284502,2457688
1738621284512,3608280
1738621284522,3189128
1738621284532,3288048
1738621284542,2607152
1738621284552,3081784
1738621284562,3000536
1738621284572,3177304
1738621284582,3161584
1738621284592,3098120
1738621284602,2931168
1738621284612,3734760
1738621284622,3046736
1738621284632,2315064
1738621284642,3097456
1738621284652,3162472
1738621284662,3524976
1738621284672,3239288
1738621284682,3574776
1738621284692,2865672
1738621284702,3145392
1738621284712,3299040
1738621284722,3067216
1738621284732,3301568
1738621284742,3237576
1738621284752,2524528
1738621284762,3352608
1738621284772,3288928
1738621284782,3567352
1738621284803,3607704
1738621284803,3607376
1738621284812,3431008
1738621284822,3157240
1738621284832,2540456
1738621284842,3038048
1738621284852,2299392
1738621284862,4135576
1738621284872,3516200
1738621284882,2819968
1738621284892,2957720
1738621284902,2782576
1738621284912,2957704
1738621284922,2668752
1738621284932,3387648
1738621284942,3337648
1738621284952,2762968
1738621284962,3473360
1738621284972,3077816
1738621284982,3287024
1738621284992,3647256
1738621285002,3496696
1738621285012,3457016
1738621285022,3070720
1738621285032,3423920
1738621285042,3633096
1738621285052,2750536
1738621285062,3733392
1738621285072,3340896
1738621285082,3599528
1738621285092,3497328
1738621285102,2858552
1738621285112,2846960
1738621285122,2881088
1738621285132,2609752
1738621285142,3740336
1738621285152,3353984
1738621285162,3472008
1738621285172,3338304
1738621285182,3388360
1738621285192,3008280
1738621285202,3017032
1738621285212,3086976
1738621285222,3054608
1738621285232,3339536
1738621285242,2482776
1738621285252,2597896
1738621285262,3147912
1738621285272,3144816
1738621285282,3068696
1738621285292,3615160
1738621285302,2640144
1738621285312,3442560
1738621285322,4243000
1738621285332,3698728
1738621285342,2581856
1738621285352,2725632
1738621285362,3356912
1738621285372,3399064
1738621285382,3137232
1738621285393,3140568
1738621285402,2609056
1738621285412,2585000
1738621285422,3060240
1738621285432,3219368
1738621285442,3729832
1738621285452,2672408
1738621285462,3420448
1738621285472,3556000
1738621285482,3542840
1738621285492,3250216
1738621285502,3699008
1738621285512,3529504
1738621285522,3625312
1738621285532,4233088
1738621285542,3363144
1738621285552,2670056
1738621285562,3203440
1738621285572,3247480
1738621285582,3200584
1738621285592,2726288
1738621285602,3660384
1738621285612,3996040
1738621285622,3773072
1738621285632,3261872
1738621285642,3460504
1738621285652,3621312
1738621285662,3607688
1738621285672,3356888
1738621285682,3823944
1738621285692,2839928
1738621285702,3072768
1738621285712,3171792
1738621285722,3561592
1738621285732,3359192
1738621285742,3449200
1738621285752,3090728
1738621285762,2949400
1738621285772,3035000
1738621285782,3732792
1738621285792,3646760
1738621285802,3042520
1738621285812,3622440
1738621285822,3127952
1738621285832,3891176
1738621285842,3564552
1738621285852,3113776
1738621285862,4070592
1738621285872,3652120
1738621285882,3056592
1738621285892,3519984
1738621285902,3640808
1738621285912,3453312
1738621285922,3071136
1738621285932,2810400
1738621285942,3365760
1738621285952,3273384
1738621285962,3954920
1738621285972,3436920
1738621285982,3426232
1738621285992,3326592
1738621286002,3116376
1738621286012,3254800
1738621286022,3220232
1738621286032,2728832
1738621286042,2990584
1738621286052,2631808
1738621286062,2824184
1738621286072,2700928
1738621286082,3968240
1738621286092,3780424
1738621286102,2731216
1738621286112,3617024
1738621286122,3024144
1738621286132,3227680
1738621286142,3516184
1738621286152,3179616
1738621286162,3092048
1738621286172,3561640
1738621286182,3625336
1738621286192,3365088
1738621286202,3689704
1738621286212,3206416
1738621286222,3709280
1738621286232,3584272
1738621286242,3396168
1738621286252,2637976
1738621286262,2998896
1738621286272,3271560
1738621286282,3210480
1738621286292,3116976
1738621286302,3403104
1738621286312,3799832
1738621286322,3120152
1738621286332,3288072
1738621286342,2909976
1738621286352,2684976
1738621286362,3455992
1738621286372,3677392
1738621286382,3204256
1738621286392,2789712
1738621286402,3494272
1738621286412,3377600
1738621286422,3609480
1738621286432,3416192
1738621286442,3033928
1738621286452,3440928
1738621286462,3091112
1738621286472,2808656
1738621286482,3240744
1738621286492,3241472
1738621286502,2809368
1738621286512,3585104
1738621286522,3118016
1738621286532,3325280
1738621286542,3175976
1738621286552,3263832
1738621286562,3192576
1738621286572,3608048
1738621286582,3557352
1738621286592,3662552
1738621286602,3010280
1738621286612,2631728
1738621286622,3429264
1738621286632,3425840
1738621286642,2811592
1738621286652,3405408
1738621286662,3154800
1738621286672,3649224
1738621286682,2779184
1738621286692,3491888
1738621286702,3577440
1738621286712,4052000
1738621286722,3198496
