Timestamp,Memory Usage
1738580085582,2406920
1738580085592,2997032
1738580085602,2476928
1738580085612,1845200
1738580085622,1941864
1738580085632,2231208
1738580085642,2470688
1738580085652,2320456
1738580085662,2405728
1738580085672,1712128
1738580085682,1816856
1738580085692,2177224
1738580085702,2603912
1738580085712,1455800
1738580085722,2300912
1738580085732,2524320
1738580085742,2520664
1738580085752,2595856
1738580085762,2585632
1738580085772,2578680
1738580085782,2349712
1738580085792,2378640
1738580085802,2212936
1738580085812,1830536
1738580085822,2425416
1738580085832,2631040
1738580085842,1918424
1738580085852,2320912
1738580085862,2440472
1738580085872,2414400
1738580085882,2184800
1738580085892,2206472
1738580085902,2504400
1738580085912,2605016
1738580085922,2182400
1738580085932,2313056
1738580085942,2357096
1738580085952,2500472
1738580085962,2269560
1738580085972,2253272
1738580085982,2240584
1738580085992,2243832
1738580086002,2515688
1738580086012,2650872
1738580086022,2010424
1738580086032,2622736
1738580086042,1762312
1738580086052,2397520
1738580086062,2805504
1738580086072,1970280
1738580086082,2349776
1738580086092,2439088
1738580086102,1636696
1738580086112,2419480
1738580086122,2605480
1738580086132,1927240
1738580086142,1809448
1738580086152,2295896
1738580086162,2703944
1738580086172,2258600
1738580086182,2770584
1738580086192,2365520
1738580086202,2768240
1738580086212,2160768
1738580086222,1718336
1738580086232,2595720
1738580086242,2186800
1738580086252,2643632
1738580086262,2585264
1738580086272,2434880
1738580086282,2724256
1738580086292,2133824
1738580086302,2400920
1738580086312,2434600
1738580086322,1752856
1738580086332,2447448
1738580086342,1829448
1738580086352,2701472
1738580086362,2683744
1738580086372,2661320
1738580086382,1946120
1738580086392,2567080
1738580086402,2924512
1738580086412,2708904
1738580086422,1884944
1738580086432,2622888
1738580086442,2111152
1738580086452,2105640
1738580086462,2268728
1738580086472,2716528
1738580086482,2294768
1738580086492,2130632
1738580086502,2476128
1738580086512,2396184
1738580086522,2623400
1738580086532,2578864
1738580086542,2633576
1738580086552,2783208
1738580086562,2393656
1738580086572,2466624
1738580086582,1661400
1738580086592,2493552
1738580086602,2497248
1738580086612,2659744
1738580086622,1802368
1738580086632,2634000
1738580086642,2172200
1738580086652,2828328
1738580086662,2085736
1738580086672,2620952
1738580086682,2312960
1738580086692,2721320
1738580086702,2160720
1738580086712,1762456
1738580086722,2487288
1738580086732,1787264
1738580086742,2550272
1738580086752,1758752
1738580086762,2827184
1738580086772,2377824
1738580086782,2656368
1738580086792,2374928
1738580086802,2605264
