Timestamp,Memory Usage
1738577389898,2640768
1738577389908,2631824
1738577389918,3054776
1738577389928,2928504
1738577389938,2734656
1738577389958,2702240
1738577389958,2809304
1738577389968,3456408
1738577389978,3787416
1738577389988,3680232
1738577389998,3094008
1738577390008,3711200
1738577390018,3521576
1738577390028,3302112
1738577390038,3567416
1738577390048,3061264
1738577390058,3789792
1738577390068,4342168
1738577390078,3417536
1738577390088,3506432
1738577390098,2931808
1738577390108,3703496
1738577390118,3482936
1738577390128,3407472
1738577390138,2953960
1738577390148,3489248
1738577390158,3718984
1738577390168,3239264
1738577390178,3715096
1738577390188,4309688
1738577390198,2922472
1738577390208,3899400
1738577390218,3809088
1738577390228,3746112
1738577390238,4073952
1738577390248,2942112
1738577390258,4380576
1738577390268,3515144
1738577390278,4034032
1738577390288,3666656
1738577390298,3399672
1738577390308,3642808
1738577390318,4160664
1738577390328,3607320
1738577390338,3152096
1738577390348,3999160
1738577390358,4695800
1738577390368,3904448
1738577390378,4338168
1738577390388,3215728
1738577390398,4820768
1738577390408,3363440
1738577390418,3171680
1738577390428,3856552
1738577390438,4328456
1738577390448,3464496
1738577390458,4454776
1738577390468,3352920
1738577390478,4566096
1738577390488,4053528
1738577390498,4699480
1738577390508,3448448
1738577390518,3593128
1738577390528,3506328
1738577390538,3422512
1738577390548,3848752
1738577390558,4486040
1738577390568,3610864
1738577390578,3315488
1738577390588,4412424
1738577390598,4171616
1738577390608,4101824
1738577390618,4053168
1738577390628,4002568
1738577390638,4138880
1738577390648,4161712
1738577390658,4223832
1738577390668,3681200
1738577390678,3683864
1738577390688,5025416
1738577390698,4565248
1738577390708,4435344
1738577390718,3962400
1738577390728,3966672
1738577390738,3701104
1738577390748,4405584
1738577390758,4687944
1738577390768,3716192
1738577390778,4003648
1738577390788,4566912
1738577390798,4098256
1738577390808,5236024
1738577390818,4085800
1738577390828,4029632
1738577390838,4469912
1738577390848,3691736
1738577390858,4402856
1738577390868,4266504
1738577390878,3652272
1738577390888,4521400
1738577390898,3519264
1738577390908,4505720
1738577390918,3743928
1738577390928,4248208
1738577390938,4330872
1738577390948,4711744
1738577390958,3441936
1738577390968,3621784
1738577390978,4477712
1738577390988,4034880
1738577390998,4613968
1738577391008,4054680
1738577391018,3562056
1738577391028,4447352
1738577391038,4342072
1738577391048,3876320
1738577391058,3686896
1738577391068,3127312
1738577391078,4437616
1738577391088,4017168
1738577391098,3892176
1738577391108,4312168
1738577391118,3576560
1738577391128,3559088
1738577391138,4353088
1738577391148,3553792
1738577391158,3937680
1738577391168,3769184
1738577391178,4332040
1738577391188,3904368
1738577391198,4604256
1738577391208,4861656
1738577391218,4195832
1738577391228,4417248
1738577391238,4594640
1738577391248,3673368
1738577391258,3942864
1738577391268,4380352
1738577391278,4983992
1738577391288,4419752
1738577391298,3287824
1738577391308,4707696
1738577391318,4401472
1738577391328,3242352
1738577391338,4124320
1738577391348,3254008
1738577391358,4235712
1738577391368,3934072
1738577391378,3962472
1738577391388,4121336
1738577391398,3952600
1738577391408,4080136
1738577391418,4188880
1738577391428,3815032
1738577391438,5495896
1738577391448,3839424
1738577391458,4074848
1738577391468,3913056
1738577391478,5013224
1738577391488,4720984
1738577391498,4635168
1738577391508,4399560
1738577391518,4512608
1738577391528,3865080
1738577391538,4066632
1738577391548,3882184
1738577391558,3826656
1738577391568,5008624
1738577391578,5398136
1738577391588,3924488
1738577391598,4970040
1738577391608,4369496
1738577391618,4123208
1738577391628,4008072
1738577391638,4776008
1738577391648,4002432
1738577391658,4964384
1738577391668,3783792
1738577391678,3969216
1738577391688,4917064
1738577391698,4900608
1738577391708,4349728
1738577391718,5206136
1738577391728,4798968
1738577391738,4307352
1738577391748,4798048
1738577391758,3651312
1738577391768,4656688
1738577391778,4722888
1738577391788,4576832
1738577391798,4740144
1738577391808,4889416
1738577391818,4183712
1738577391828,4373704
1738577391838,4366552
1738577391848,5371056
1738577391858,4707208
1738577391868,4757240
1738577391878,4277432
1738577391888,4891448
1738577391898,3955296
1738577391908,4762544
1738577391918,5344888
1738577391928,4212984
1738577391938,4951288
1738577391948,4154752
1738577391958,3873208
1738577391968,4389648
1738577391978,4550896
1738577391988,5303112
1738577391998,5321176
1738577392008,3856688
1738577392018,4679288
1738577392028,4429528
1738577392038,5555736
1738577392048,4273528
1738577392058,4089360
1738577392068,4054872
1738577392078,5326008
1738577392088,5152440
1738577392098,5115712
1738577392109,3780496
1738577392118,4397768
1738577392128,3682208
1738577392138,5067952
1738577392148,4420128
1738577392158,5373832
1738577392168,3984336
1738577392178,4536016
1738577392188,5336344
1738577392198,5372816
1738577392208,3703128
1738577392218,4654688
1738577392228,4800272
1738577392238,4206392
1738577392248,4866840
1738577392258,4803440
1738577392268,4226880
1738577392278,5015168
1738577392288,4671432
1738577392298,4190160
1738577392308,3561456
1738577392318,4533352
1738577392328,4988792
1738577392338,4523024
1738577392348,5057944
1738577392358,3921424
1738577392368,4886376
1738577392378,4317520
1738577392388,5077456
1738577392398,5589640
1738577392408,4746184
1738577392418,4427640
1738577392428,5127336
1738577392438,5168000
1738577392448,4275496
1738577392458,5019928
1738577392468,5154320
1738577392478,4838248
1738577392488,4949704
1738577392498,5261344
1738577392508,4659344
1738577392518,5450600
1738577392528,3578536
1738577392538,3790480
1738577392548,5114256
1738577392558,4797904
1738577392568,3866280
1738577392578,4575992
1738577392589,4598592
1738577392598,3891056
1738577392608,4380624
1738577392618,5419928
1738577392628,4676784
1738577392638,4789680
1738577392648,4526144
1738577392658,5180888
1738577392668,5032304
1738577392678,5171648
1738577392688,4549600
1738577392698,4117352
1738577392708,4902584
1738577392718,5258088
1738577392728,6947080
1738577392738,5860840
1738577392748,6026336
1738577392758,5237536
1738577392768,6360696
1738577392778,5748320
1738577392788,6132200
1738577392798,6116552
1738577392808,5201072
1738577392818,5174736
1738577392828,4423808
1738577392838,6625784
1738577392848,5718768
1738577392858,5422648
1738577392868,5466880
1738577392878,4801392
1738577392888,4576304
1738577392898,4221168
1738577392908,4298808
1738577392918,5055400
1738577392928,4765256
1738577392938,5524584
1738577392948,5551720
1738577392958,4667752
1738577392968,4126488
