Timestamp,Memory Usage
1738422805934,4782816
1738422805944,6274088
1738422805954,7159136
1738422805964,5797368
1738422805974,6437648
1738422805984,6849976
1738422805994,4665040
1738422806004,7057784
1738422806014,6378280
1738422806024,7681960
1738422806034,6530896
1738422806044,9580776
1738422806054,5899504
1738422806064,6644400
1738422806074,7608920
1738422806084,5293120
1738422806094,5677360
1738422806104,6929176
1738422806114,8168096
1738422806124,5975224
1738422806134,7103624
1738422806144,4990424
1738422806154,6764616
1738422806164,7128816
1738422806174,4759984
1738422806184,8598440
1738422806194,6815784
1738422806204,6335776
1738422806214,6585648
1738422806224,6268800
1738422806234,6901224
1738422806244,6822984
1738422806254,8055680
1738422806264,5625728
1738422806274,6264584
1738422806284,6883736
1738422806294,8982784
1738422806304,9327368
1738422806314,7743136
1738422806324,6993208
1738422806334,6470344
1738422806344,6636888
1738422806354,8336976
1738422806364,7697264
1738422806374,7205712
1738422806384,6963152
1738422806394,7641768
1738422806404,7387272
1738422806414,6748408
1738422806424,7103760
1738422806434,7062576
1738422806444,6579096
1738422806454,6811144
1738422806464,6701104
1738422806474,7107488
1738422806484,6840320
1738422806494,6691392
1738422806504,7236464
1738422806514,7803656
1738422806524,5876184
1738422806534,7101648
1738422806544,5842880
1738422806554,6264168
1738422806564,6600776
1738422806574,7457136
1738422806584,6027880
1738422806594,6842864
1738422806604,6112304
1738422806614,6668512
1738422806624,6497280
1738422806634,5749280
1738422806644,6739680
1738422806654,7591352
1738422806664,7808448
1738422806674,7307112
1738422806684,7624152
1738422806694,7095592
1738422806704,6285944
1738422806714,6348184
1738422806724,6132880
1738422806734,6453816
1738422806744,6700760
1738422806754,6878920
1738422806764,8287040
1738422806774,6587872
1738422806784,6030576
1738422806794,5829432
1738422806804,6773824
1738422806814,6646552
1738422806824,6587048
1738422806834,6397472
1738422806844,6891736
1738422806854,4878816
1738422806864,7420008
1738422806874,5961256
1738422806884,6908264
1738422806894,6837360
1738422806904,5833928
1738422806914,6995552
1738422806924,6685328
1738422806934,7063264
1738422806944,6454128
1738422806954,7633520
1738422806964,7609400
1738422806974,6744424
1738422806984,6968696
1738422806994,6925256
1738422807004,6231336
1738422807014,6993440
1738422807024,5617456
1738422807034,5495544
1738422807044,6462688
1738422807054,6926368
1738422807064,6294832
1738422807074,5275320
1738422807084,7436584
1738422807094,7503272
1738422807104,6499952
1738422807114,7024216
1738422807124,6571024
1738422807134,7491712
1738422807144,5507416
1738422807154,7014400
1738422807164,6839432
1738422807174,8270768
1738422807184,7362584
1738422807194,7260816
1738422807204,6896264
1738422807214,5658720
1738422807224,6614152
1738422807234,5929056
1738422807244,7891808
1738422807254,6591584
1738422807264,7707928
1738422807274,6916752
1738422807284,7235320
1738422807294,6561040
1738422807304,5293544
1738422807314,8324368
1738422807324,6597088
1738422807334,7152624
1738422807344,6248784
1738422807354,7113632
1738422807364,6277064
1738422807374,6670472
1738422807384,6279936
1738422807394,7125400
1738422807404,7170032
1738422807414,7940536
1738422807424,5344176
1738422807434,7395600
1738422807444,6752248
1738422807454,5317296
1738422807464,6665624
1738422807474,7028768
1738422807484,8591552
1738422807494,9918016
1738422807504,8541216
1738422807514,7904448
1738422807524,7562224
1738422807534,6017584
1738422807544,7373944
1738422807554,8282896
1738422807564,6531600
1738422807574,6004992
1738422807584,6857088
1738422807594,7464504
1738422807604,5361096
1738422807614,6635472
1738422807624,5657728
1738422807634,8372616
1738422807644,6605104
1738422807654,9089272
1738422807664,7659496
1738422807674,7858560
1738422807684,6696576
1738422807694,7032480
1738422807704,6991752
1738422807714,5828184
1738422807724,7773472
1738422807734,8398816
1738422807744,7194352
1738422807755,6922616
1738422807764,7194552
1738422807774,6016536
1738422807784,8231304
1738422807794,7337832
1738422807804,6543360
1738422807814,7270184
1738422807824,7826304
1738422807834,6098304
1738422807844,8589192
1738422807854,6959152
1738422807864,5650856
1738422807874,6988728
1738422807884,7372024
1738422807894,6775456
1738422807904,8595560
1738422807914,5393768
1738422807924,6707376
1738422807934,7069576
1738422807944,7543080
1738422807954,6189592
1738422807964,9818896
1738422807974,7169952
1738422807984,8725544
1738422807994,7753560
1738422808004,7026200
1738422808014,6836936
1738422808024,8083888
1738422808034,9179912
1738422808044,8282264
1738422808054,6626112
1738422808065,7759072
1738422808074,7398776
1738422808084,5639840
1738422808094,7377368
1738422808104,6924336
1738422808114,7957808
1738422808124,7086960
1738422808134,7532648
1738422808144,7223672
1738422808154,8161376
1738422808164,6548112
1738422808174,9631936
1738422808184,6993744
1738422808194,7305144
1738422808204,5864208
1738422808214,5924912
1738422808224,6308728
1738422808234,6737944
1738422808244,6944488
1738422808254,7243152
1738422808264,7219472
1738422808274,7212056
1738422808284,6554744
1738422808294,7590912
1738422808304,5555368
1738422808314,7136488
1738422808324,6746752
1738422808334,7021040
1738422808344,7093304
1738422808354,6619072
1738422808364,7058384
1738422808374,8553088
1738422808384,7191752
1738422808394,6905808
1738422808404,6479560
1738422808414,7266968
1738422808424,6113432
1738422808434,6318056
1738422808444,6941400
1738422808454,8861864
1738422808464,7126392
1738422808474,6348056
1738422808484,8844904
1738422808494,8673256
1738422808504,8623776
1738422808514,7959128
1738422808524,9035304
1738422808534,8263848
1738422808544,9444920
1738422808554,7349632
1738422808564,5294456
1738422808574,6577080
1738422808584,8004304
1738422808594,5719672
1738422808604,8890832
1738422808614,5358528
1738422808624,7610776
1738422808634,6097664
1738422808644,7047912
1738422808654,7728336
1738422808664,6495528
1738422808674,6431952
1738422808684,7504520
1738422808694,7618064
1738422808704,7732904
1738422808714,8408848
1738422808724,9059800
1738422808734,7511584
1738422808744,7345640
1738422808754,8755232
1738422808764,7698480
1738422808774,6155984
1738422808784,8129832
1738422808794,6311304
1738422808804,7607584
1738422808814,6133592
1738422808824,6673192
1738422808834,7130192
1738422808844,7504520
1738422808854,6718336
1738422808864,9238056
1738422808874,8012088
1738422808884,8189328
1738422808894,10320624
1738422808904,5966448
1738422808914,7373032
1738422808924,8464208
1738422808934,6947560
1738422808944,5638288
1738422808954,8265448
1738422808964,7171624
1738422808974,6757712
1738422808984,7873624
1738422808994,6082632
1738422809004,7300848
1738422809014,6870656
1738422809024,7551144
1738422809034,6399104
1738422809044,7952920
1738422809054,6622856
1738422809064,7145144
1738422809074,7230832
1738422809084,7393440
1738422809094,7328424
1738422809104,8210392
1738422809114,6597728
1738422809124,7005160
1738422809134,9380088
1738422809144,8472288
1738422809154,7382504
1738422809164,6581048
1738422809174,8225464
1738422809184,6877984
1738422809194,7028704
1738422809204,6514400
1738422809214,7549992
1738422809224,7554008
1738422809234,5919592
1738422809244,5805712
1738422809254,6504216
1738422809264,7228568
1738422809274,10955992
1738422809284,4635664
1738422809294,6807416
1738422809304,8147640
1738422809314,6875920
1738422809324,7591800
1738422809334,7654312
1738422809344,10125416
1738422809354,8196744
1738422809364,6256360
1738422809374,8584264
1738422809384,6761024
1738422809394,6921880
1738422809404,6414072
1738422809414,8123376
1738422809424,5879848
1738422809434,6455448
1738422809444,6206920
1738422809454,8180984
1738422809464,8389664
1738422809474,8407272
1738422809484,9287440
1738422809494,5685384
1738422809504,7997952
1738422809514,5963136
1738422809524,5692608
1738422809534,7325224
1738422809544,8020392
1738422809554,8495336
1738422809564,5788080
1738422809574,6481080
1738422809584,7110136
1738422809594,8632952
1738422809604,7733184
1738422809614,7673904
1738422809624,9267952
1738422809634,7499320
1738422809644,9736120
1738422809654,6818400
1738422809664,7963528
1738422809674,6902144
