Timestamp,Memory Usage
1738576080424,2118712
1738576080434,2942696
1738576080444,2624816
1738576080454,2315072
1738576080464,2724688
1738576080474,2634440
1738576080484,2448536
1738576080494,2718760
1738576080504,3049104
1738576080514,2839664
1738576080524,2473208
1738576080534,2857344
1738576080544,2992992
1738576080554,2460824
1738576080564,2702896
1738576080574,2364568
1738576080584,2837144
1738576080594,2663864
1738576080604,2601664
1738576080614,2321248
1738576080624,2454984
1738576080634,2444992
1738576080644,2153856
1738576080654,3096832
1738576080664,3162640
1738576080674,2668072
1738576080684,3011128
1738576080694,2492920
1738576080704,3148768
1738576080714,2749776
1738576080724,2267376
1738576080734,3306304
1738576080744,3387680
1738576080754,2307728
1738576080764,2377680
1738576080774,3009184
1738576080784,2928008
1738576080794,2590776
1738576080804,2932896
1738576080814,3032936
1738576080824,2584872
1738576080834,3343216
1738576080844,2248624
1738576080854,3571816
1738576080864,3022176
1738576080874,2955784
1738576080884,2353480
1738576080894,3541184
1738576080904,3740976
1738576080914,3364000
1738576080924,3381696
1738576080934,2135456
1738576080944,3465760
1738576080954,3193120
1738576080964,3292920
1738576080974,3191696
1738576080984,3141808
1738576080994,3243936
1738576081004,2801952
1738576081014,3595808
1738576081024,2535024
1738576081034,3239560
1738576081044,2993800
1738576081054,2290232
1738576081064,3188136
1738576081074,2850088
1738576081084,2776528
1738576081094,3285312
1738576081104,2675624
1738576081114,2436776
1738576081124,2612752
1738576081134,2829136
1738576081144,3206176
1738576081154,2537584
1738576081164,2485112
1738576081174,2958328
1738576081184,2744056
1738576081194,3219984
1738576081204,2981648
1738576081214,2987096
1738576081224,3424072
1738576081234,2442712
1738576081244,3054200
1738576081254,3450576
1738576081264,2858480
1738576081274,3366928
1738576081284,3511984
1738576081294,3096208
1738576081304,2772408
1738576081314,2668944
1738576081324,3203736
1738576081334,2457168
1738576081344,2601552
1738576081354,3295568
1738576081364,3259568
1738576081374,2869952
1738576081384,2732632
1738576081394,3354520
1738576081404,3550712
1738576081414,2993472
1738576081424,3281856
1738576081434,2308176
1738576081444,3244240
1738576081454,3551168
1738576081464,3348032
1738576081474,3106584
1738576081484,2606280
1738576081494,3032480
1738576081504,3147616
1738576081514,2444136
1738576081524,3697224
1738576081534,2815768
1738576081544,2567776
1738576081554,3390496
1738576081564,2749104
1738576081574,3322648
1738576081584,3374976
1738576081594,2505880
1738576081604,3383664
1738576081614,3368256
1738576081624,3096552
1738576081634,3378936
1738576081644,3364344
1738576081654,3642104
1738576081664,2793592
1738576081674,3389960
1738576081684,3109776
1738576081694,2587024
1738576081704,3192512
1738576081714,3583232
1738576081724,3177776
1738576081734,3324976
1738576081744,3506096
1738576081754,3614032
1738576081764,3227296
1738576081774,3373104
1738576081784,3052144
1738576081794,2734936
1738576081804,3251336
1738576081814,2320640
1738576081824,3811448
1738576081834,3585232
1738576081844,2949712
1738576081854,3233008
1738576081864,3209576
1738576081874,3613192
1738576081884,3345832
1738576081894,2896360
1738576081904,3528008
1738576081914,2695216
1738576081924,3542600
1738576081934,3420056
1738576081944,2600008
1738576081954,3227040
1738576081964,3295904
1738576081974,2768416
1738576081984,3393688
1738576081994,3908944
1738576082004,3071696
1738576082014,3699160
1738576082024,3312376
1738576082034,3272216
1738576082044,3842936
1738576082054,3173344
1738576082064,2994576
1738576082074,3278056
1738576082084,3475760
1738576082094,3301384
1738576082104,3381488
1738576082114,3126016
1738576082124,3692688
1738576082134,3603688
1738576082145,3613384
1738576082154,3498400
1738576082164,3291256
1738576082174,2506640
1738576082184,2678984
1738576082194,2743192
1738576082204,2547368
1738576082214,3724976
1738576082224,3496792
1738576082234,2675808
1738576082244,3291176
1738576082254,2707440
1738576082264,2565248
1738576082274,3631144
1738576082284,3219824
1738576082294,3486696
1738576082304,2970448
1738576082314,3698768
1738576082324,3645680
1738576082334,3544680
1738576082344,3400880
1738576082354,2984208
1738576082364,3222560
1738576082374,2607200
1738576082384,2772736
1738576082394,3598712
1738576082404,3472552
1738576082414,3398432
1738576082424,2697112
1738576082434,2917584
1738576082444,3562632
1738576082454,3827552
1738576082464,3538480
1738576082474,3310616
1738576082484,3394896
1738576082494,3713320
