Timestamp,Memory Usage
1738417517995,3421928
1738417518005,3504752
1738417518015,3236272
1738417518025,2678192
1738417518035,3199064
1738417518045,3331392
1738417518055,3187640
1738417518065,2685176
1738417518075,3400928
1738417518085,3856112
1738417518095,3737424
1738417518105,3311328
1738417518115,4626784
1738417518125,3080488
1738417518135,3218656
1738417518145,3611720
1738417518155,4352872
1738417518165,3701104
1738417518175,3308120
1738417518185,3697360
1738417518195,2895416
1738417518205,3695024
1738417518215,3822032
1738417518225,3885496
1738417518235,3893168
1738417518245,3173320
1738417518255,3040736
1738417518265,3208776
1738417518275,3582560
1738417518285,3024584
1738417518295,3179488
1738417518305,3822936
1738417518315,3149568
1738417518325,3703208
1738417518335,3393472
1738417518345,4668928
1738417518355,3486928
1738417518365,4876944
1738417518375,3088040
1738417518385,4328376
1738417518395,3069240
1738417518405,4227424
1738417518415,3248872
1738417518425,4171344
1738417518435,3395072
1738417518445,4590616
1738417518455,3712064
1738417518465,3495336
1738417518475,3164904
1738417518485,3098896
1738417518495,4289568
1738417518505,4050224
1738417518515,3624112
1738417518525,4145976
1738417518535,3755208
1738417518545,4402968
1738417518555,3415768
1738417518565,4393008
1738417518575,3362960
1738417518585,3060080
1738417518595,4138296
1738417518605,4080528
1738417518615,3233808
1738417518625,3885312
1738417518635,4618600
1738417518645,3243064
1738417518655,4022392
1738417518665,4324872
1738417518675,3628280
1738417518685,3827448
1738417518695,3865552
1738417518705,4240704
1738417518715,4024832
1738417518725,3349608
1738417518735,3968384
1738417518745,4065848
1738417518755,4383536
1738417518765,4742888
1738417518775,3616040
1738417518786,4028032
1738417518795,3861744
1738417518805,3727032
1738417518815,4181536
1738417518825,4719400
1738417518835,3230024
1738417518845,4415352
1738417518855,3644952
1738417518865,4434088
1738417518875,4089680
1738417518885,4430520
1738417518895,4230064
1738417518905,4371960
1738417518915,4227840
1738417518925,5065120
1738417518935,3729240
1738417518945,4073832
1738417518955,3998520
1738417518965,4145648
1738417518975,3845336
1738417518985,3744072
1738417518995,3387224
1738417519005,4114448
1738417519015,4752704
1738417519025,4892552
1738417519035,4523424
1738417519045,4378064
1738417519055,3815712
1738417519065,3889520
1738417519075,4571304
1738417519085,3665312
1738417519095,3709720
1738417519105,4090488
1738417519115,3328128
1738417519125,4006624
1738417519135,4170904
1738417519145,4625160
1738417519155,3386824
1738417519165,3274928
1738417519175,3594960
1738417519185,4350848
1738417519195,3383040
1738417519205,4448048
