Timestamp,Memory Usage
1738864924990,2369264
1738864925000,2415712
1738864925010,2281656
1738864925020,2421752
1738864925030,2293168
1738864925040,2559800
1738864925050,1660672
1738864925060,2256144
1738864925070,2628672
1738864925080,1818728
1738864925090,2432080
1738864925100,1497240
1738864925110,1653192
1738864925120,2313336
1738864925130,2762432
1738864925140,1732896
1738864925150,2513152
1738864925160,1751296
1738864925170,2186184
1738864925180,2477080
1738864925190,2401488
1738864925200,1710800
1738864925210,1816760
1738864925220,2124408
1738864925230,1946992
1738864925240,2053640
1738864925250,2417984
1738864925260,2269424
1738864925270,1948288
1738864925280,2257264
1738864925290,1893520
1738864925300,2567440
1738864925310,1911912
1738864925320,2447760
1738864925330,2560904
1738864925340,1555008
1738864925350,2117264
1738864925360,2243328
1738864925370,2242712
1738864925380,2083112
1738864925390,2647504
1738864925400,2188264
1738864925410,2407784
1738864925420,1539000
1738864925430,1938120
1738864925440,2513704
1738864925450,1867824
1738864925460,2541648
1738864925470,2060088
1738864925480,2583416
1738864925490,2335248
1738864925500,1663480
1738864925510,2597000
1738864925520,1772808
1738864925530,2574192
1738864925540,2748784
1738864925550,1916568
1738864925560,2637264
1738864925570,1841432
1738864925580,2523400
1738864925590,2572648
1738864925600,1725296
1738864925610,2070776
1738864925620,2283080
1738864925630,2414688
1738864925640,2401992
1738864925650,2173816
1738864925660,2328696
1738864925670,1908752
1738864925680,2682544
1738864925690,1647064
1738864925700,2432600
1738864925710,1618184
1738864925720,2530688
1738864925730,1911144
1738864925740,2561992
1738864925750,1674488
1738864925760,2628560
1738864925770,1965288
1738864925780,2331464
1738864925790,2363552
1738864925800,2713600
1738864925810,2245160
1738864925820,2222672
1738864925830,2231312
1738864925840,2553936
1738864925850,2075320
1738864925860,2726592
1738864925870,2545264
1738864925880,1834536
1738864925890,2724720
1738864925900,2821272
1738864925910,2449216
1738864925920,2120344
1738864925930,1682480
1738864925940,2160864
1738864925950,2436616
1738864925960,1710528
1738864925970,2592752
1738864925980,2172944
1738864925990,1777856
1738864926000,2252080
1738864926010,2439568
1738864926020,2216304
1738864926030,2526664
1738864926040,1821600
1738864926050,2536408
1738864926060,2250560
1738864926070,2546880
1738864926080,1885344
1738864926090,2608744
1738864926100,2229592
1738864926110,1652424
1738864926120,2352608
1738864926130,1633016
1738864926140,2347192
1738864926150,1662856
1738864926160,2559928
1738864926170,2305312
1738864926180,2020704
1738864926190,2557952
1738864926200,2467656
1738864926210,1655808
1738864926220,2349080
1738864926230,2017808
1738864926240,2356648
1738864926250,2507160
1738864926260,1693448
1738864926270,2642696
1738864926280,2142832
1738864926290,2237600
1738864926300,2587296
1738864926310,2046272
1738864926320,2358896
1738864926330,2114712
1738864926340,1630824
1738864926350,2693040
1738864926360,2288208
1738864926370,2470504
1738864926380,1842424
1738864926390,2530552
1738864926400,2324392
1738864926410,1961232
1738864926420,2601752
1738864926430,2249008
1738864926440,2593176
1738864926450,2688432
1738864926460,2144440
1738864926470,1714720
1738864926480,2330832
1738864926490,1758176
1738864926500,2578616
1738864926510,2466648
1738864926520,2006264
1738864926530,2612960
1738864926540,2342584
1738864926550,1727480
1738864926560,2622480
1738864926570,2255320
1738864926580,1796416
1738864926590,2568200
1738864926600,2102696
1738864926610,2802240
1738864926620,2470656
1738864926630,2201288
1738864926640,2018544
1738864926650,2238408
1738864926660,2551232
1738864926670,2127616
1738864926680,2019448
1738864926690,2742176
1738864926700,2228448
1738864926710,1750856
1738864926720,2605992
1738864926730,2400088
1738864926740,2151912
1738864926750,2843456
1738864926760,2411648
1738864926770,2039048
1738864926780,1838072
1738864926790,2655904
1738864926800,2171936
1738864926810,1819960
1738864926820,2379424
1738864926830,2501136
1738864926840,2042496
1738864926850,2697496
1738864926860,2663600
1738864926870,2624040
1738864926880,2108376
1738864926890,1742216
1738864926900,2593208
1738864926910,2556352
1738864926920,2271424
1738864926930,1887280
1738864926940,2429480
1738864926950,1926208
1738864926960,2601696
1738864926970,2437240
1738864926980,2347848
1738864926990,1948032
1738864927000,2323176
1738864927010,2592712
1738864927020,2062120
1738864927030,2713744
1738864927040,2333224
1738864927050,1803680
1738864927060,2437560
1738864927070,2074808
1738864927080,1764592
1738864927090,2325184
1738864927100,2095912
1738864927110,2604488
1738864927120,1902312
1738864927130,1747768
1738864927140,2391960
1738864927150,2589976
1738864927160,2342624
1738864927170,2024592
1738864927180,1776176
1738864927190,2622680
1738864927200,2046536
1738864927210,2415144
1738864927220,2333104
1738864927230,2201768
1738864927240,2264408
1738864927250,1828784
1738864927260,1839288
1738864927270,2571656
1738864927280,2666848
1738864927290,2615152
1738864927300,2170664
1738864927310,2495840
1738864927320,2460032
1738864927330,2025536
1738864927340,2686224
1738864927350,2337952
1738864927360,1785528
1738864927370,2452960
1738864927380,1787168
1738864927390,2265808
1738864927400,1799880
1738864927410,2082824
1738864927420,2821248
1738864927430,2583896
1738864927440,1967952
1738864927450,2233840
1738864927460,1825176
1738864927470,2742208
1738864927480,2278328
1738864927490,1994376
1738864927500,1869480
1738864927510,2691488
1738864927520,2107840
1738864927530,2346328
1738864927540,2611216
1738864927550,2256600
1738864927560,2072032
1738864927570,2422632
1738864927580,2332288
1738864927590,2451864
1738864927600,2645472
1738864927610,2156704
1738864927620,2560088
1738864927630,1930520
1738864927640,1706432
1738864927650,2253888
1738864927660,1793520
1738864927670,2854096
1738864927680,2275416
1738864927690,2714792
1738864927700,2852016
1738864927710,2520112
1738864927720,1958216
1738864927730,1761488
1738864927740,2437488
1738864927750,1957696
1738864927760,1985280
1738864927770,1914576
1738864927780,2258472
1738864927790,2673528
1738864927800,2476456
1738864927810,2317888
1738864927820,2612744
1738864927830,1953320
1738864927840,2598928
1738864927850,1975624
1738864927860,2032536
1738864927870,1888016
1738864927880,2725640
1738864927890,2296976
1738864927900,1940992
1738864927910,2696632
1738864927920,2337744
1738864927930,1855472
1738864927940,1761144
1738864927950,2408464
1738864927960,1962480
1738864927970,2770800
1738864927980,2371640
1738864927990,2324792
1738864928000,1870000
1738864928010,2779880
1738864928020,2408168
1738864928030,2149504
1738864928040,2797712
1738864928050,2553936
1738864928060,1987960
1738864928070,2720088
1738864928080,2005472
1738864928090,2268936
1738864928100,2315488
1738864928110,1974600
1738864928120,1817768
1738864928130,2612312
1738864928140,2269888
1738864928150,1813376
1738864928160,2595184
1738864928170,1877120
1738864928180,2488552
1738864928190,1842656
1738864928200,2010496
1738864928210,1919400
1738864928220,2311408
1738864928230,1903456
1738864928240,2755568
1738864928250,2324920
1738864928260,2477432
1738864928270,1989464
1738864928280,1977464
1738864928290,2140080
1738864928300,2199032
1738864928310,1964760
1738864928320,2152488
1738864928330,1918192
1738864928340,1862552
1738864928350,2772296
1738864928360,2545480
1738864928370,2277016
1738864928380,1985928
1738864928390,1843280
1738864928400,2087984
1738864928410,2587072
1738864928420,2386528
1738864928430,2155640
1738864928440,2437848
1738864928450,2331984
1738864928460,2314320
1738864928470,2765656
1738864928480,2565384
1738864928490,1950744
1738864928500,2831000
1738864928510,1836192
1738864928520,2715696
1738864928530,1896344
1738864928540,2827848
1738864928550,2699000
1738864928560,2816240
1738864928570,2762624
1738864928580,2648536
1738864928590,2253304
1738864928600,1878224
1738864928610,2534320
1738864928620,1968360
1738864928630,2790256
1738864928640,2672784
1738864928650,2368528
1738864928660,1984576
1738864928670,1884480
1738864928680,2597752
1738864928690,2556416
1738864928700,2151160
1738864928710,2799320
1738864928720,2644656
1738864928730,2757856
1738864928740,2480080
1738864928750,2647728
1738864928760,2606624
1738864928770,2666440
1738864928780,2797456
1738864928790,2675520
1738864928800,2696712
1738864928810,2631872
1738864928820,2072424
1738864928830,2673664
1738864928840,2584200
1738864928850,2625440
1738864928860,2444352
1738864928870,1968736
1738864928880,2407144
1738864928890,1909216
1738864928900,1801688
1738864928910,1932376
1738864928920,1807592
1738864928930,2787328
1738864928940,2645568
1738864928950,2597040
1738864928960,2501296
1738864928970,2778960
1738864928980,2625648
1738864928990,2590672
1738864929000,2084800
1738864929010,1844232
1738864929020,1989640
1738864929030,2313800
1738864929040,1793240
1738864929050,2473632
1738864929060,2508768
1738864929070,1986048
1738864929080,1940384
1738864929090,2777216
1738864929100,2640792
1738864929110,2634584
1738864929120,2114184
1738864929130,2066984
1738864929140,1927376
1738864929150,2441168
1738864929160,2757536
1738864929170,2583736
1738864929180,2334872
1738864929190,2016256
1738864929200,1983432
1738864929210,2455536
1738864929220,2766432
1738864929230,2735352
1738864929240,2048328
1738864929250,1950192
1738864929260,2655032
1738864929270,2382144
1738864929280,2711712
1738864929290,2699864
1738864929300,2464072
1738864929310,2122840
1738864929320,2216816
1738864929330,2184344
1738864929340,1821288
1738864929350,1942768
1738864929360,1888152
1738864929370,2613024
1738864929380,2535216
1738864929390,2434272
1738864929400,2113424
1738864929410,1838000
1738864929420,1884472
1738864929430,2700912
1738864929440,1892936
1738864929450,1998296
1738864929460,2277632
1738864929470,2188664
1738864929480,2550528
1738864929490,2639776
1738864929500,2317456
1738864929510,2791888
1738864929520,2377784
1738864929530,2140904
1738864929540,2713928
1738864929550,2318072
1738864929560,1918208
1738864929570,2584528
1738864929580,2000352
1738864929590,1977976
1738864929600,2670616
1738864929610,2702600
1738864929620,2674984
1738864929630,2538832
1738864929640,2069608
1738864929650,1846744
1738864929660,2716320
1738864929670,1968224
1738864929680,1849744
1738864929690,2114208
1738864929700,3046888
1738864929710,2391392
1738864929720,1926472
1738864929730,2822792
1738864929740,2629792
1738864929750,2093384
1738864929760,1980664
1738864929770,2723784
1738864929780,2600840
1738864929790,2369896
1738864929800,1818840
1738864929810,2832824
1738864929820,2344944
1738864929830,2002408
1738864929840,1922960
1738864929850,1884256
1738864929860,2534328
1738864929870,1961856
1738864929880,1974880
1738864929890,2883504
1738864929900,2782152
1738864929910,2788144
1738864929920,2604000
1738864929930,2077904
1738864929940,1984704
1738864929950,1942208
1738864929960,2413384
1738864929970,1884736
1738864929980,2466560
1738864929990,2551272
1738864930000,2324624
1738864930010,2621664
1738864930020,2431568
1738864930030,2068040
1738864930040,2564944
1738864930050,2029408
1738864930060,2451552
1738864930070,1857848
1738864930080,2351072
1738864930090,2423040
1738864930100,2654144
1738864930110,2657168
1738864930120,2141112
1738864930130,1971960
1738864930140,2771336
1738864930150,2084432
1738864930160,2345608
1738864930170,2368400
1738864930180,2714520
1738864930190,2550664
1738864930200,1763648
1738864930210,2512416
1738864930220,2737568
1738864930230,2318592
1738864930240,2323856
1738864930250,2450136
1738864930260,1978720
1738864930270,2681448
1738864930280,2848904
1738864930290,2474296
1738864930300,2295248
1738864930310,2623968
1738864930320,2505864
1738864930330,1837912
1738864930340,2685272
1738864930350,2668528
1738864930360,2163552
1738864930370,2093904
1738864930380,2418160
1738864930390,2471936
1738864930400,1859504
1738864930410,2700616
1738864930420,2360800
1738864930430,2652336
1738864930440,2612848
1738864930450,2301416
1738864930460,1999896
1738864930470,2686568
1738864930480,2438640
1738864930490,2192184
1738864930500,2778624
1738864930510,1964072
1738864930520,2008120
1738864930530,2720672
1738864930540,2770240
1738864930550,2567736
1738864930560,2207800
1738864930570,2401312
1738864930580,2375464
1738864930590,2108688
1738864930600,1971248
1738864930610,2015440
1738864930620,1883616
1738864930630,2347072
1738864930640,2378552
1738864930650,2001368
1738864930660,2888752
1738864930670,2524392
1738864930680,2177016
1738864930690,2131336
1738864930700,2463920
1738864930710,1935824
1738864930720,2592912
1738864930730,2250920
1738864930740,1967872
1738864930750,2855736
1738864930760,2221096
1738864930770,2055544
1738864930780,1872224
1738864930790,2380920
1738864930800,2445176
1738864930810,1904160
1738864930820,2213872
1738864930830,1852832
1738864930840,1928080
1738864930850,1807040
1738864930860,1994288
1738864930870,2831728
1738864930880,2861536
1738864930890,2535320
1738864930900,1988400
1738864930910,2732480
1738864930920,2633408
1738864930930,2331400
1738864930940,2045496
1738864930950,1778800
1738864930960,2688768
1738864930970,2264192
1738864930980,2183640
1738864930990,1979104
1738864931000,2426920
1738864931010,1937056
1738864931020,2077600
1738864931030,1882280
1738864931040,2177984
1738864931050,2511184
1738864931060,2823344
1738864931070,2539352
1738864931080,2331056
1738864931090,2461088
1738864931100,2643424
1738864931110,2736056
1738864931120,2164712
1738864931130,1900040
1738864931140,2472632
1738864931150,1807584
1738864931160,2496376
1738864931170,2681936
1738864931180,2673392
1738864931190,2502264
1738864931200,2620336
1738864931210,2144896
1738864931220,2443984
1738864931230,2030672
1738864931240,2539672
1738864931250,2683912
1738864931260,2845664
1738864931270,2772344
1738864931280,2515224
1738864931290,2554112
1738864931300,2670632
1738864931310,2571080
1738864931320,2033368
1738864931330,2675944
1738864931340,2305480
1738864931350,2088880
1738864931360,2678016
1738864931370,2546272
1738864931380,2304848
1738864931390,2019344
1738864931400,1937784
1738864931410,2651904
1738864931420,1913056
1738864931430,2497080
1738864931440,2409648
1738864931450,2017432
1738864931460,1993088
1738864931470,2826960
1738864931480,2588152
1738864931490,2297984
1738864931500,2240280
1738864931510,2253288
1738864931520,2308616
1738864931530,2279856
1738864931540,2540368
1738864931550,2853584
1738864931560,2572248
1738864931570,2435392
1738864931580,2363768
1738864931590,2205584
1738864931600,2783496
1738864931610,2719864
1738864931620,2080768
1738864931630,2222200
1738864931640,3015744
1738864931650,2682048
1738864931660,2149248
1738864931670,2490864
1738864931680,2959136
1738864931690,2676136
1738864931700,2171064
1738864931710,2798800
1738864931720,3022728
1738864931730,2772928
1738864931740,2614544
1738864931750,2067760
1738864931760,2922840
1738864931770,2724656
1738864931780,2339384
1738864931790,2447392
1738864931800,2640800
1738864931810,2286496
1738864931820,2285080
1738864931830,2487856
1738864931840,2988784
1738864931850,2910184
1738864931860,2858544
1738864931870,2865448
1738864931880,2538240
1738864931890,2953456
1738864931900,2712688
1738864931910,2321872
1738864931920,2352384
1738864931930,2082144
1738864931940,3031800
1738864931950,2788576
1738864931960,2437408
1738864931970,2312736
1738864931980,3089432
1738864931990,2929480
1738864932000,2779248
1738864932010,2163016
1738864932020,2238792
1738864932030,2044224
1738864932040,2184728
1738864932050,2339992
1738864932060,2609896
1738864932070,2844232
1738864932080,2920568
1738864932090,3039288
1738864932100,2152640
1738864932110,2364848
1738864932120,2611352
1738864932130,2842776
1738864932140,2280208
1738864932150,2345392
1738864932160,2298816
1738864932170,2099720
1738864932180,2794960
1738864932190,2839880
1738864932200,2767304
1738864932210,2635736
1738864932220,2824096
1738864932230,2385328
1738864932240,2466736
1738864932250,2898136
1738864932260,2551840
1738864932270,2357536
1738864932280,2426144
1738864932290,2528432
1738864932300,2010160
1738864932310,1955376
1738864932320,1997968
1738864932330,2888528
1738864932340,2681560
1738864932350,2427240
1738864932360,2194880
1738864932370,2180728
1738864932380,2194056
1738864932390,2338416
1738864932400,2105896
1738864932410,1966400
1738864932420,2091968
1738864932430,2117344
1738864932440,1997720
1738864932450,2150360
1738864932460,2180904
1738864932470,2142216
1738864932480,2081104
1738864932490,2609848
1738864932500,1956600
1738864932510,2236040
1738864932520,1943336
1738864932530,2079312
1738864932540,1931648
1738864932550,1944368
1738864932560,2748696
1738864932570,2323608
1738864932580,2630256
1738864932590,2293088
1738864932600,2369344
1738864932610,2142360
1738864932620,2012936
1738864932630,2848016
1738864932640,2757312
1738864932650,2821552
1738864932660,1984064
1738864932670,2180792
1738864932680,2381680
1738864932690,2089768
1738864932700,2414344
1738864932710,2797568
1738864932720,2619768
1738864932730,2280648
1738864932740,2378416
1738864932750,2254800
1738864932760,2447680
1738864932770,2130136
1738864932780,2518272
1738864932790,2408568
1738864932800,2094832
1738864932810,2064856
1738864932820,2418464
1738864932830,2648880
1738864932840,2488992
1738864932850,2259584
1738864932860,2643424
1738864932870,2623208
1738864932880,2445504
1738864932890,2424952
1738864932900,2102512
1738864932910,2087112
1738864932920,2452352
1738864932930,2864448
1738864932940,2107160
1738864932950,2180768
1738864932960,1952760
1738864932970,1967632
1738864932980,2107200
1738864932990,2107888
1738864933000,1933304
1738864933010,2490440
1738864933020,2841728
1738864933030,2289400
1738864933040,2212288
1738864933050,2209824
1738864933060,2785152
1738864933070,2627248
1738864933080,1962624
1738864933090,2109992
1738864933100,2588048
1738864933110,2003216
1738864933120,2211752
1738864933130,2532840
1738864933140,2323136
1738864933150,2460576
1738864933160,2154096
1738864933170,2441376
1738864933180,2394168
1738864933190,2266624
1738864933200,2396944
1738864933210,2233520
1738864933220,2290680
1738864933230,2058048
1738864933240,2844304
1738864933250,2830400
1738864933260,2724992
1738864933270,2302936
1738864933280,2266896
1738864933290,2020984
1738864933300,2260144
1738864933310,2138704
1738864933320,2060448
1738864933330,1968904
1738864933340,2137528
1738864933350,2176736
1738864933360,2127784
1738864933370,2588952
1738864933380,2158856
1738864933390,2014208
1738864933400,2787392
1738864933410,2438896
1738864933420,2696416
1738864933430,2166032
1738864933440,2325048
1738864933450,2238208
1738864933460,2290600
