Timestamp,Memory Usage
1738866235784,1742928
1738866235794,1811296
1738866235804,1669480
1738866235814,1849568
1738866235824,2335144
1738866235834,2528256
1738866235844,1606832
1738866235854,1867808
1738866235864,2153880
1738866235874,2326728
1738866235884,1556072
1738866235894,1890576
1738866235904,2525024
1738866235914,1773800
1738866235924,2219656
1738866235934,2232232
1738866235944,2455936
1738866235954,2222744
1738866235964,2491456
1738866235974,1691680
1738866235984,2214416
1738866235994,2361584
1738866236004,2593552
1738866236014,1715136
1738866236024,2516896
1738866236034,2591136
1738866236044,1917040
1738866236054,2469224
1738866236064,2304144
1738866236074,1622168
1738866236084,2567176
1738866236094,1822408
1738866236104,2536352
1738866236114,1812664
1738866236124,2001200
1738866236134,2384464
1738866236144,2498832
1738866236154,2306040
1738866236164,1991544
1738866236174,2153096
1738866236184,2492424
1738866236194,1924920
1738866236204,2223608
1738866236214,2702376
1738866236224,1997512
1738866236234,2407816
1738866236244,2389544
1738866236254,2316824
1738866236264,2536168
1738866236274,2072392
1738866236284,2336744
1738866236294,2331584
1738866236304,1624016
1738866236314,2511528
1738866236324,2232808
1738866236334,2360480
1738866236344,2250656
1738866236354,1784832
1738866236364,2240448
1738866236374,2162664
1738866236384,2664384
1738866236394,2179312
1738866236404,1882008
1738866236414,2555656
1738866236424,2237416
1738866236434,2118688
1738866236444,2718264
1738866236454,2326032
1738866236464,1925320
1738866236474,1674648
1738866236484,2538776
1738866236494,2267960
1738866236504,1901736
1738866236514,2560768
1738866236524,2237960
1738866236534,2468864
1738866236544,2261336
1738866236554,1736112
1738866236564,2480080
1738866236574,1936000
1738866236584,1750240
1738866236594,2669136
1738866236604,2236912
1738866236614,2668824
1738866236624,2232496
1738866236634,2545600
1738866236644,2669224
1738866236654,2236952
1738866236664,2745448
1738866236674,2094304
1738866236684,2773952
1738866236694,2132056
1738866236704,1762808
1738866236714,2504256
1738866236724,2015384
1738866236734,2334104
1738866236744,2429280
1738866236754,2183784
1738866236764,2677072
1738866236774,2476096
1738866236784,1802624
1738866236794,2495224
1738866236804,1967856
1738866236814,1906184
1738866236824,1806848
1738866236834,2258072
1738866236844,2494656
1738866236854,1966160
1738866236864,2626696
1738866236874,2606920
1738866236884,2238960
1738866236894,1833528
1738866236904,2594824
1738866236914,1904464
1738866236924,2741440
1738866236934,2292736
1738866236944,2734632
1738866236954,2504784
1738866236964,2218984
1738866236974,2829120
1738866236984,2630728
1738866236994,2522800
1738866237004,2349872
1738866237014,2487368
1738866237024,2275752
1738866237034,2192264
1738866237044,2212464
1738866237054,2360520
1738866237064,2007648
1738866237074,2046480
1738866237084,2965560
1738866237094,2764912
1738866237104,2650128
1738866237114,2419496
1738866237124,2100680
1738866237134,2017144
1738866237144,1814384
1738866237154,2548792
1738866237164,2431568
1738866237174,2545048
1738866237184,2667408
1738866237194,2648056
1738866237204,2559368
