Timestamp,Memory Usage
1739978489373,2359832
1739978489383,2281248
1739978489393,2291992
1739978489403,2845952
1739978489413,2255936
1739978489423,2078920
1739978489433,2165536
1739978489443,2797768
1739978489453,2527016
1739978489463,2866848
1739978489473,2262336
1739978489483,2848912
1739978489493,2297160
1739978489503,2447624
1739978489513,3174992
1739978489523,2703592
1739978489533,3047896
1739978489544,2460296
1739978489553,2247984
1739978489563,3094064
1739978489573,2646632
1739978489583,2435616
1739978489593,3088016
1739978489603,3021520
1739978489613,3216064
1739978489623,3381544
1739978489633,3218624
1739978489643,3231720
1739978489653,3439184
1739978489664,3080248
1739978489673,2836272
1739978489683,2875104
1739978489693,3065944
1739978489703,3011816
1739978489713,3079856
1739978489723,3202968
1739978489733,2810008
1739978489743,3479880
1739978489753,2508008
1739978489764,3392528
1739978489773,3548128
1739978489783,2867928
1739978489793,2442528
1739978489803,2538640
1739978489813,2830776
1739978489823,2576016
1739978489833,2886416
1739978489843,2899544
1739978489853,2191520
1739978489863,2779632
1739978489873,3471272
1739978489883,3314104
1739978489893,2744584
1739978489904,2866080
1739978489913,2595872
1739978489923,2670120
1739978489933,2992744
1739978489943,3520336
1739978489953,2825920
1739978489963,2925232
1739978489973,3400240
1739978489983,2882600
1739978489993,2171368
1739978490003,2927760
1739978490013,3362720
1739978490023,3078800
1739978490034,3125408
1739978490044,3577720
1739978490053,2600192
1739978490064,3315696
1739978490073,2493216
1739978490083,2544336
1739978490093,2625440
1739978490103,2575880
1739978490113,2431216
1739978490123,3354576
1739978490133,3234104
1739978490143,3554968
1739978490153,3071360
1739978490163,3621600
1739978490173,3335880
1739978490183,3025544
1739978490193,3155800
1739978490203,2502640
1739978490213,3099480
1739978490224,2917176
1739978490233,3008784
1739978490243,2459136
1739978490253,2357536
1739978490263,3456768
1739978490273,3495104
1739978490283,3586992
1739978490294,2923456
1739978490303,2796248
1739978490313,3258368
1739978490323,3475072
1739978490333,3507216
1739978490343,2953872
1739978490353,3007504
1739978490364,3432976
1739978490374,3417592
1739978490383,3103336
1739978490393,3026856
1739978490403,2997656
1739978490413,2782808
1739978490423,2702120
1739978490433,2905056
1739978490443,2713728
1739978490453,2564248
1739978490463,2833336
1739978490473,2662264
1739978490483,3271384
1739978490493,3127544
1739978490503,2488560
1739978490513,3398232
1739978490523,3148200
1739978490533,3291064
1739978490543,3341288
1739978490553,3394520
1739978490563,2483240
1739978490573,3192112
1739978490583,3292528
1739978490593,2781168
1739978490603,2953208
1739978490614,3427712
1739978490623,2897672
1739978490633,3249184
1739978490643,2986688
1739978490653,3125904
1739978490663,3144488
1739978490673,2399992
1739978490684,3537216
1739978490693,2430928
1739978490703,3454208
1739978490713,2391040
1739978490723,3139800
1739978490733,3087088
1739978490743,2350072
1739978490753,2536736
1739978490763,3055080
1739978490773,3598064
1739978490783,2492192
1739978490793,2591944
1739978490803,2910592
1739978490813,3144704
1739978490823,3635800
1739978490833,3401072
1739978490843,2940416
1739978490853,2899976
1739978490863,2846256
1739978490873,3675760
1739978490883,3141792
1739978490893,2987736
1739978490903,3049712
1739978490913,3421728
1739978490923,2639088
1739978490933,3172640
1739978490943,3131832
1739978490953,3033280
1739978490963,3639232
1739978490973,2724288
1739978490983,2538912
1739978490993,3161528
1739978491004,3228584
1739978491013,2805608
1739978491023,2532496
1739978491033,2974344
1739978491043,3055152
1739978491053,2622672
1739978491063,2975136
1739978491073,3266128
1739978491083,2906208
1739978491093,3238592
1739978491103,3155392
1739978491113,3177400
1739978491123,3002872
1739978491133,3621488
1739978491143,2887160
1739978491153,3529728
1739978491163,3850240
1739978491173,2966128
1739978491183,3483616
1739978491193,2508992
1739978491203,2667320
1739978491213,3848224
1739978491223,3085344
1739978491233,3333464
1739978491243,3034976
1739978491253,3384992
1739978491263,3033864
1739978491273,2774608
1739978491283,2985880
1739978491293,2501656
1739978491303,3377736
1739978491313,2381464
1739978491323,3027984
1739978491333,3206072
1739978491343,3174496
1739978491353,3740904
1739978491363,3716456
1739978491373,3246392
1739978491383,2760432
1739978491393,2968208
1739978491403,3034664
1739978491413,2852232
1739978491423,2718808
1739978491433,3033440
1739978491443,2762832
1739978491453,2971656
1739978491463,3178944
1739978491473,2892240
1739978491483,2880576
1739978491493,3124552
1739978491503,2990280
1739978491513,2934840
1739978491523,2833080
1739978491533,2924000
1739978491543,2794232
1739978491553,2761224
1739978491563,3735848
1739978491573,2674936
1739978491583,2879640
1739978491593,2495232
1739978491604,3355256
1739978491613,3531776
1739978491624,3023952
1739978491634,3331672
1739978491643,2639952
