Timestamp,Memory Usage
1739978342450,1664048
1739978342460,2358672
1739978342470,1548016
1739978342480,2516456
1739978342490,2491792
1739978342500,1955904
1739978342510,1445328
1739978342520,1671632
1739978342530,1982072
1739978342540,1832008
1739978342550,2037608
1739978342560,2043976
1739978342570,2311608
1739978342580,2351592
1739978342590,2256320
1739978342600,1624448
1739978342610,1931808
1739978342620,2214280
1739978342630,1949808
1739978342640,1959072
1739978342650,2079976
1739978342660,2073072
1739978342670,2115224
1739978342680,2363560
1739978342690,2552512
1739978342700,2592008
1739978342710,1912392
1739978342720,2303880
1739978342730,2448048
1739978342740,2522176
1739978342750,2288648
1739978342760,2438624
1739978342770,1569328
1739978342780,1966408
1739978342790,2191808
1739978342800,2385832
1739978342810,2667000
1739978342820,2327864
1739978342830,1788952
1739978342840,2237264
1739978342850,2563536
1739978342860,1726888
1739978342870,2228504
1739978342880,2493584
1739978342890,2512168
1739978342900,2822776
1739978342910,1788496
1739978342920,2320104
1739978342930,2640720
1739978342940,1651368
1739978342950,1908624
1739978342960,2045208
1739978342970,2279240
1739978342980,2530152
1739978342990,2583328
1739978343000,2239968
1739978343010,2816312
1739978343020,1842200
1739978343030,1847912
1739978343040,2298176
1739978343050,1825784
1739978343060,2005728
1739978343070,2350000
1739978343080,2147336
1739978343090,2189096
1739978343100,2033656
1739978343110,2296920
1739978343120,2274464
1739978343130,2652216
1739978343140,1729944
1739978343150,2336784
1739978343160,2227032
1739978343170,2631696
1739978343180,2155176
1739978343190,2553272
1739978343200,2639416
1739978343210,2774680
1739978343220,1783168
1739978343230,2230496
1739978343240,2773672
1739978343250,1660600
1739978343260,2131984
1739978343270,2254192
1739978343280,2490064
1739978343290,1679864
1739978343300,1889424
1739978343310,2199872
1739978343320,2764496
1739978343330,2485528
1739978343340,2634016
1739978343350,2260088
1739978343360,2251616
1739978343370,2010936
1739978343380,2554248
1739978343390,2781512
1739978343400,1664584
1739978343410,2378712
1739978343420,2521720
1739978343430,2412024
1739978343440,2167736
1739978343450,2309192
1739978343460,1893952
1739978343470,2359888
1739978343480,2552560
1739978343490,2674280
1739978343500,2011120
1739978343510,2395144
1739978343520,2179896
1739978343530,2476616
1739978343540,2459864
1739978343550,2381384
1739978343560,2536776
1739978343570,1786944
1739978343580,2680544
1739978343590,2060232
1739978343600,2527568
1739978343610,2646784
1739978343620,2020096
1739978343630,2728088
1739978343640,2270872
1739978343650,1750224
1739978343660,2634136
1739978343670,1892960
1739978343680,2044128
1739978343690,2488496
1739978343700,2063592
1739978343710,2462200
1739978343720,2502048
1739978343730,1746560
1739978343740,2304440
1739978343750,2346872
1739978343760,2517072
1739978343770,2641312
1739978343780,1935648
1739978343790,2452896
1739978343800,2699608
1739978343810,2264216
1739978343820,1763984
1739978343830,2468448
1739978343840,2660896
1739978343850,2250720
1739978343860,1781216
1739978343870,2545256
1739978343880,2513376
1739978343890,2685864
1739978343900,2187536
1739978343910,2391800
1739978343920,2639928
1739978343930,2482528
1739978343940,2218048
1739978343950,2700792
1739978343960,2054048
1739978343970,2614624
1739978343980,2427312
1739978343990,2394496
1739978344000,2720848
1739978344010,2325192
1739978344020,2520400
1739978344030,2680552
1739978344040,2508328
1739978344050,1747976
1739978344060,2402888
1739978344070,2686816
1739978344080,2694152
1739978344090,2063000
1739978344100,2304208
1739978344110,2401520
1739978344120,2005360
1739978344130,2624000
1739978344140,2046504
1739978344150,2761656
1739978344160,2283896
1739978344170,2737584
1739978344180,2182984
1739978344190,2583792
1739978344200,2678688
1739978344210,2265272
1739978344220,2294896
1739978344230,2632128
1739978344240,2240936
1739978344250,2811544
1739978344260,2725024
1739978344270,1804584
1739978344280,2524960
1739978344290,2671952
1739978344300,2392048
1739978344310,1843448
1739978344320,2503280
1739978344330,2708624
1739978344340,2314952
1739978344350,1805024
1739978344360,2164328
1739978344370,2685280
1739978344380,1834352
1739978344390,2660232
1739978344400,2185600
1739978344410,2598592
1739978344420,2336032
1739978344430,2712968
1739978344440,2707104
1739978344450,2163992
1739978344460,2316736
1739978344470,2736472
1739978344480,2208936
1739978344490,2123312
1739978344500,2413528
1739978344510,2118080
1739978344520,2959752
1739978344530,2405312
1739978344540,2394848
1739978344550,2460824
1739978344560,1932152
1739978344570,2488440
1739978344580,1977544
1739978344590,1885120
1739978344600,2530944
1739978344610,2588448
1739978344620,1962232
1739978344630,2584904
1739978344640,2078664
1739978344650,2674840
1739978344660,1850304
1739978344670,2752912
1739978344680,2223176
1739978344690,2833272
1739978344700,2358984
1739978344710,2617944
1739978344720,2532296
1739978344730,2422648
1739978344740,2121928
1739978344750,2490016
1739978344760,2436976
1739978344770,2861104
1739978344780,2088112
1739978344790,2703376
1739978344800,2940224
1739978344810,2594304
1739978344820,2364568
1739978344830,2167376
1739978344840,2794616
1739978344850,2543896
1739978344860,2135208
1739978344870,2957288
1739978344880,2653776
1739978344890,2305536
1739978344900,2046496
1739978344910,2816480
1739978344920,2840888
1739978344930,2557760
1739978344940,2833728
1739978344950,2454648
1739978344960,1986904
1739978344970,2747552
1739978344980,2576888
1739978344990,2097128
1739978345000,2013848
1739978345010,2731336
1739978345020,2321472
1739978345030,2899680
1739978345040,2463656
1739978345050,1945856
1739978345060,2879584
1739978345070,2327640
1739978345080,1995384
1739978345090,2033160
1739978345100,2672584
1739978345110,1970760
1739978345120,2546296
1739978345130,2910040
1739978345140,2582960
1739978345150,2006424
1739978345160,2664624
1739978345170,2576912
1739978345180,1949480
1739978345190,2698128
1739978345200,2551832
1739978345210,2500064
1739978345220,2223296
1739978345230,2286912
1739978345240,2723288
1739978345250,2613856
1739978345260,2455752
1739978345270,2690032
1739978345280,2614160
1739978345290,2549256
1739978345300,2516888
1739978345310,2823000
1739978345320,2597856
1739978345330,2076872
1739978345340,2851040
1739978345350,2244016
1739978345360,2705000
1739978345370,2233928
1739978345380,2814736
1739978345390,2349472
1739978345400,2755624
1739978345410,2384360
1739978345420,2690912
1739978345430,2944392
1739978345440,2742928
1739978345450,2326648
1739978345460,2444792
1739978345470,2004560
1739978345480,2377432
1739978345490,2285608
1739978345500,2926520
1739978345510,2644024
1739978345520,2196760
1739978345530,2661048
1739978345540,2474024
1739978345550,2066520
1739978345560,2738184
1739978345570,2169744
1739978345580,2831600
1739978345590,2556320
1739978345600,1992736
1739978345610,2634152
1739978345620,2560664
1739978345630,2043504
1739978345640,2901712
1739978345650,2468480
1739978345660,3090696
1739978345670,2734904
1739978345680,2610264
1739978345690,2252872
1739978345700,2856264
1739978345710,2520136
1739978345720,2223128
1739978345730,2038224
1739978345740,2843952
1739978345750,2815280
1739978345760,2408672
1739978345770,2076728
1739978345780,2769200
1739978345790,2396536
1739978345800,2140336
1739978345810,2681872
1739978345820,2445344
1739978345830,2446952
1739978345840,2785384
1739978345850,2480280
1739978345860,2754928
1739978345870,2641768
1739978345880,2709312
1739978345890,2594768
1739978345900,2251432
1739978345910,2911552
1739978345920,2217584
1739978345930,2688584
1739978345940,2227152
1739978345950,2809400
1739978345960,2526440
1739978345970,2022856
