Timestamp,Memory Usage
1739979367861,2870200
1739979367871,3398768
1739979367881,3083528
1739979367891,3493848
1739979367901,3231200
1739979367911,2892768
1739979367921,3112576
1739979367931,3596584
1739979367941,3739376
1739979367951,2832832
1739979367961,3920688
1739979367971,3144144
1739979367981,3351760
1739979367991,3808384
1739979368001,2825288
1739979368011,2694456
1739979368021,3294224
1739979368031,3536864
1739979368042,3746952
1739979368051,3268520
1739979368061,3727344
1739979368071,3058264
1739979368081,3405120
1739979368091,3426216
1739979368101,3552744
1739979368111,4004584
1739979368121,3626088
1739979368131,3015528
1739979368141,3303704
1739979368151,3381776
1739979368161,3923872
1739979368171,4004256
1739979368181,3348712
1739979368191,3472824
1739979368201,3859304
1739979368211,3033896
1739979368221,4098416
1739979368231,3554008
1739979368241,3610648
1739979368251,3549224
1739979368261,3942200
1739979368271,4274448
1739979368281,3111088
1739979368291,3769568
1739979368301,4183120
1739979368311,3361456
1739979368321,4134800
1739979368331,4836800
1739979368341,3542480
1739979368351,3816680
1739979368361,3511488
1739979368371,4174744
1739979368381,3337656
1739979368391,4176160
1739979368401,4127632
1739979368411,3811200
1739979368421,3053272
1739979368431,3780560
1739979368441,4056800
1739979368451,4348160
1739979368461,3924616
1739979368471,4045304
1739979368481,3940832
1739979368491,4326824
1739979368501,3488936
1739979368511,3184448
1739979368521,3231088
1739979368531,4554944
1739979368541,3870104
1739979368551,4574536
1739979368561,3587704
1739979368571,4264952
1739979368581,4102464
1739979368591,4338312
1739979368601,3970168
1739979368611,4414632
1739979368621,3638064
1739979368631,4474136
1739979368641,3976176
1739979368651,3608552
1739979368661,4515368
1739979368671,4457112
1739979368681,3541248
1739979368691,4453608
1739979368701,4385344
1739979368711,4278240
1739979368721,4127832
1739979368731,4218528
1739979368741,3903976
1739979368751,3623608
1739979368761,3293384
1739979368771,3765616
1739979368781,4208736
1739979368791,3796904
1739979368801,4259744
1739979368811,4013536
1739979368821,4050280
1739979368831,4135568
1739979368841,4045616
1739979368852,4339152
1739979368861,4179072
1739979368871,3545392
1739979368882,3770272
1739979368891,3477576
1739979368901,3459576
1739979368911,3610160
1739979368921,4014608
1739979368931,4283728
1739979368941,4608904
1739979368951,4066680
1739979368961,4037456
1739979368971,4218240
1739979368981,4012840
1739979368991,3980320
1739979369001,3886648
1739979369011,3051128
1739979369021,4454000
1739979369031,4506360
1739979369041,4009192
1739979369051,4328664
1739979369061,3987008
1739979369071,3626056
1739979369081,4614640
1739979369091,3730064
1739979369101,3398504
1739979369111,4858784
1739979369121,3445408
1739979369131,4174704
1739979369141,3531640
1739979369151,4467880
1739979369161,3781640
1739979369171,4118064
1739979369181,4672344
1739979369191,4846288
1739979369201,4315376
1739979369211,5229808
1739979369221,3893608
1739979369231,4101712
1739979369241,3841904
1739979369251,4384504
1739979369261,4722248
1739979369271,4804040
1739979369281,4692264
1739979369291,3802912
1739979369301,3791544
1739979369311,3788512
1739979369321,4508744
1739979369331,3714352
1739979369341,4022128
1739979369351,3539712
1739979369361,4080584
1739979369371,4523824
1739979369381,4432280
1739979369391,3398472
1739979369401,4327096
1739979369411,4430352
1739979369421,3985640
1739979369431,3623256
1739979369441,4056264
1739979369451,4591544
1739979369461,4226224
1739979369471,4228248
1739979369481,4683776
1739979369491,4984912
1739979369501,4094504
1739979369511,4362000
1739979369521,4241248
1739979369531,3361536
1739979369541,3726456
1739979369551,4119096
1739979369561,3807344
1739979369571,4201872
1739979369581,4767888
1739979369591,3400024
1739979369601,3765784
1739979369611,3570032
1739979369621,3912304
1739979369631,3936272
1739979369641,4648320
1739979369651,4424856
1739979369661,3495048
1739979369671,3670824
1739979369681,4255840
