Timestamp,Memory Usage
1739980884489,4525200
1739980884499,7113968
1739980884509,6616632
1739980884519,5899576
1739980884529,7432008
1739980884539,7210256
1739980884549,7134536
1739980884559,7341872
1739980884569,6695752
1739980884579,7439008
1739980884589,5987184
1739980884599,6728240
1739980884609,7204312
1739980884619,7471576
1739980884629,6568560
1739980884639,6662888
1739980884649,5513016
1739980884659,5868056
1739980884669,5906832
1739980884679,6218520
1739980884689,6377232
1739980884700,6002312
1739980884709,7193000
1739980884719,7079896
1739980884729,7388000
1739980884739,6032328
1739980884749,6666600
1739980884759,6496200
1739980884769,8641752
1739980884779,5831264
1739980884789,6816248
1739980884799,6940160
1739980884809,6320616
1739980884819,7137384
1739980884829,6649056
1739980884839,6851488
1739980884849,6589080
1739980884859,6174016
1739980884869,5779936
1739980884879,6363328
1739980884889,6120520
1739980884899,6302512
1739980884909,8460192
1739980884919,5835704
1739980884929,6511032
1739980884939,6346584
1739980884949,7601848
1739980884959,9106744
1739980884969,6285504
1739980884979,8185432
1739980884989,6008696
1739980884999,6358848
1739980885009,6087024
1739980885019,6272160
1739980885029,7795720
1739980885039,5832056
1739980885049,6374696
1739980885059,5773000
1739980885069,7685280
1739980885079,6787760
1739980885089,6847416
1739980885099,4774992
1739980885109,7390520
1739980885119,5975984
1739980885129,8476992
1739980885139,7348640
1739980885149,7268928
1739980885159,6565784
1739980885169,7331648
1739980885179,7031632
1739980885189,5899696
1739980885199,7620456
1739980885209,8258200
1739980885219,6797120
1739980885229,7784168
1739980885239,5931176
1739980885249,7441488
1739980885259,7971840
1739980885269,5920752
1739980885279,6089344
1739980885289,7095848
1739980885299,9178472
1739980885309,7769464
1739980885319,6393464
1739980885329,5817320
1739980885339,6301864
1739980885349,8932248
1739980885359,9442048
1739980885369,7072272
1739980885379,5947184
1739980885389,6063400
1739980885399,6080880
1739980885409,6422088
1739980885419,6757600
1739980885429,6628808
1739980885439,6368184
1739980885449,6266176
1739980885459,6995152
1739980885469,7065288
1739980885479,9536584
1739980885489,6166832
1739980885499,4978776
1739980885509,6130984
1739980885519,6749088
1739980885529,6678952
1739980885539,6850672
1739980885549,7283096
1739980885559,9398960
1739980885569,7088408
1739980885579,8420816
1739980885589,9669952
1739980885599,6762608
1739980885609,5580832
1739980885619,9176520
1739980885629,7127216
1739980885639,7117416
1739980885649,8543560
