Timestamp,Memory Usage
1739981382193,2594264
1739981382203,2746832
1739981382213,2492880
1739981382223,2730360
1739981382233,2913824
1739981382243,3194152
1739981382253,3338032
1739981382263,2676672
1739981382273,3028688
1739981382283,3025504
1739981382293,3170856
1739981382303,2805688
1739981382313,2207552
1739981382323,2838288
1739981382333,2699704
1739981382343,3080712
1739981382353,3312936
1739981382363,2942784
1739981382373,3248496
1739981382383,3459776
1739981382393,2426144
1739981382403,3395768
1739981382413,2995104
1739981382423,2582880
1739981382433,2303120
1739981382443,2590088
1739981382453,3139584
1739981382463,3814648
1739981382473,3129416
1739981382483,3021240
1739981382493,2808608
1739981382503,2998416
1739981382513,3236472
1739981382523,3276688
1739981382533,3161720
1739981382543,3291856
1739981382553,3070344
1739981382563,2972664
1739981382573,2670104
1739981382583,3277760
1739981382593,3315656
1739981382603,2942696
1739981382613,3076856
1739981382623,2420120
1739981382633,2710976
1739981382643,2651504
1739981382653,3484248
1739981382663,3083520
1739981382673,3294088
1739981382683,3498840
1739981382693,2759448
1739981382703,2973096
1739981382713,3197560
1739981382723,2853584
1739981382733,2923760
1739981382743,2637112
1739981382753,3540296
1739981382763,2350232
1739981382773,3415624
1739981382783,3178352
1739981382794,3178240
1739981382803,2659528
1739981382813,3481536
1739981382823,2524272
1739981382833,2976376
1739981382843,2559120
1739981382853,3161464
1739981382863,3670496
1739981382873,2971496
1739981382883,3867528
1739981382893,3180496
1739981382903,3447448
1739981382913,2469752
1739981382923,3476920
1739981382933,3373328
1739981382943,3430080
1739981382953,3078576
1739981382963,2873736
1739981382973,3179248
1739981382983,3440072
1739981382993,3129144
1739981383003,3031520
1739981383013,3182944
1739981383023,3061688
1739981383033,2872968
1739981383043,3310616
1739981383053,3552544
1739981383063,3441776
1739981383073,3490608
1739981383083,2826384
1739981383093,3393504
1739981383103,2948952
1739981383113,2832736
1739981383123,2533760
1739981383133,2942600
1739981383143,3616216
1739981383153,2722264
1739981383163,3674872
1739981383173,2783624
1739981383183,3281272
1739981383193,2970960
1739981383203,2725176
1739981383213,3185608
1739981383223,2293208
1739981383233,2767368
1739981383243,3308800
1739981383253,3584568
1739981383263,3245712
1739981383273,2905688
1739981383283,2614128
1739981383293,3825168
1739981383303,2470520
1739981383313,3518096
1739981383323,3127728
1739981383333,3343560
1739981383343,2992536
1739981383353,3093880
1739981383363,3502856
1739981383373,3469696
1739981383383,3616936
1739981383393,2566896
1739981383403,3478864
1739981383413,2888688
1739981383423,3262432
1739981383433,2462032
1739981383443,3360792
1739981383453,3448408
1739981383463,3373688
1739981383473,2888360
1739981383483,2746784
1739981383493,3270192
1739981383503,3303816
1739981383513,3474424
1739981383523,2833592
1739981383533,3483728
1739981383543,2646632
1739981383553,3792280
1739981383563,2618528
1739981383573,2952232
1739981383583,3188688
1739981383593,3504768
1739981383603,3630936
1739981383613,3558808
1739981383623,3558792
1739981383633,3409528
1739981383643,3462872
1739981383653,2787680
1739981383663,2770632
1739981383673,3436136
1739981383683,2936336
1739981383693,3613912
1739981383703,3480368
1739981383713,2964520
1739981383723,3208208
1739981383733,3743208
1739981383743,2881248
1739981383753,3587096
1739981383763,3035792
1739981383773,3436128
1739981383783,3223160
1739981383793,2900360
1739981383803,3553088
1739981383813,2762032
1739981383823,3440224
1739981383833,2660376
1739981383843,3180784
1739981383853,3201928
1739981383863,3567720
1739981383873,3069560
1739981383883,2983904
1739981383893,3431656
1739981383903,2820784
1739981383913,2964264
1739981383923,3372176
1739981383933,3022656
1739981383943,2330960
1739981383953,2989952
1739981383963,2711520
1739981383973,2731360
1739981383983,3107968
1739981383993,3576544
1739981384003,3391760
1739981384013,3355968
1739981384023,3600160
1739981384033,2753120
1739981384043,2763256
1739981384053,3621432
1739981384063,3072096
1739981384073,3353304
1739981384083,3134104
1739981384093,3423000
1739981384103,3015088
1739981384113,3323752
1739981384123,2575872
1739981384133,3732208
1739981384143,2498440
1739981384153,3281160
1739981384163,2716608
1739981384173,2543104
1739981384183,2714640
1739981384193,2610536
1739981384203,3839592
1739981384213,2804816
1739981384223,3222512
1739981384233,2764144
1739981384243,3417024
1739981384253,3486544
1739981384263,3487496
1739981384273,2445576
1739981384283,2803984
1739981384293,3194312
1739981384303,3515384
1739981384313,3306344
1739981384323,2793384
1739981384333,2771312
1739981384343,3042240
1739981384353,2839720
1739981384363,3440120
1739981384373,3114232
1739981384383,2932208
1739981384393,3307944
1739981384403,2813016
1739981384413,3170280
1739981384423,3237016
1739981384433,3604648
1739981384443,3496984
1739981384453,3216192
1739981384463,2308320
1739981384473,4306616
1739981384483,3264656
1739981384493,2879032
1739981384503,2972704
1739981384513,3598944
1739981384523,3251512
1739981384533,3162568
1739981384543,3512560
1739981384553,3549360
1739981384563,2804552
1739981384573,2893416
1739981384583,2668072
1739981384593,2988872
1739981384603,2746880
1739981384613,2563320
1739981384623,3263568
1739981384633,3470544
1739981384643,2748752
1739981384653,3791000
1739981384663,3907128
1739981384673,3206744
1739981384683,3379192
1739981384693,3702864
1739981384703,3033080
1739981384713,3636960
1739981384723,3437104
1739981384733,3092680
1739981384743,3393320
1739981384753,3069400
1739981384763,2654944
1739981384773,3338288
1739981384783,2928440
1739981384793,3296976
1739981384803,2462736
1739981384813,3234600
1739981384823,2597664
1739981384833,2614456
1739981384843,4123056
1739981384853,3932232
1739981384863,3587208
1739981384873,2452040
1739981384883,3430304
1739981384893,2707096
1739981384903,2984880
1739981384913,2881224
1739981384923,3535600
1739981384933,2902160
1739981384943,3971352
1739981384953,3533344
1739981384963,3306584
1739981384973,3221520
1739981384983,2554320
1739981384993,2846768
1739981385003,3775024
1739981385013,3193456
1739981385023,3560904
1739981385033,2628760
1739981385043,2741968
1739981385053,2828376
1739981385063,3262568
1739981385073,3346072
1739981385083,2971896
1739981385093,3698016
1739981385103,3258584
1739981385113,4008648
1739981385123,2861520
1739981385133,4186968
1739981385143,3564440
1739981385153,3371512
1739981385163,3428088
1739981385173,3607304
1739981385183,3574016
1739981385193,3267640
1739981385203,2742224
1739981385213,3344488
1739981385223,3693920
1739981385233,3979976
1739981385243,2934760
1739981385253,3160904
1739981385263,2889776
1739981385273,3632080
1739981385283,3093496
1739981385293,3749856
1739981385303,2550936
1739981385313,3434104
1739981385323,2868712
1739981385333,2543336
1739981385343,4144656
1739981385353,3331208
1739981385363,3722384
1739981385373,3465768
1739981385383,3961856
1739981385393,3334576
1739981385403,3014184
1739981385413,3834992
1739981385423,3007840
1739981385433,3240384
1739981385443,3641952
1739981385453,3242560
1739981385463,3345960
1739981385473,3469256
1739981385483,3185928
1739981385493,2979352
