Timestamp,Memory Usage
1739981567930,1797040
1739981567940,2114504
1739981567950,2693568
1739981567960,1511472
1739981567970,2431640
1739981567980,2588440
1739981567990,1896808
1739981568000,2517768
1739981568010,1936384
1739981568020,2404168
1739981568030,1778184
1739981568040,2310184
1739981568050,2535432
1739981568060,1451072
1739981568070,2672032
1739981568080,1593168
1739981568090,1971656
1739981568100,2640640
1739981568110,1691856
1739981568120,2393800
1739981568130,1884064
1739981568140,2350128
1739981568150,1616384
1739981568160,2543624
1739981568170,2011776
1739981568180,2651288
1739981568190,2120832
1739981568200,1484688
1739981568210,2355904
1739981568220,1613864
1739981568230,2008024
1739981568240,2437208
1739981568250,1507280
1739981568260,2161008
1739981568270,2134032
1739981568280,1686024
1739981568290,2388576
1739981568300,2945632
1739981568310,2207008
1739981568320,1745976
1739981568330,2593144
1739981568340,2543232
1739981568350,2216672
1739981568360,2669560
1739981568370,1802480
1739981568380,2564008
1739981568390,2122336
1739981568400,1957128
1739981568410,2612672
1739981568420,2281016
1739981568430,2803296
1739981568440,2555064
1739981568450,2258096
1739981568460,2331184
1739981568470,1688480
1739981568480,2864704
1739981568490,2279264
1739981568500,2839408
1739981568510,2343104
1739981568520,2012256
1739981568530,2710504
1739981568540,1986264
1739981568550,1755968
1739981568560,2746880
1739981568570,1953584
1739981568580,1546144
1739981568590,2490208
1739981568600,2078952
1739981568610,2706376
1739981568620,2548792
1739981568630,1873688
1739981568640,2335912
1739981568650,2232664
1739981568660,2712392
1739981568670,2852688
1739981568680,1955736
1739981568690,2608568
1739981568700,2265072
1739981568710,1723712
1739981568720,2687024
1739981568730,2232776
1739981568740,2542840
1739981568750,2979184
1739981568760,2222464
1739981568770,2465272
1739981568780,2660408
1739981568790,2137152
1739981568800,2637784
1739981568810,2392944
1739981568820,1851448
1739981568830,2305840
1739981568841,2379560
1739981568850,1887848
1739981568860,2442560
1739981568870,1789888
1739981568880,2479096
1739981568890,2084536
1739981568900,2543960
1739981568910,1684560
1739981568920,2499632
1739981568930,2190680
1739981568940,1744864
1739981568950,2569832
1739981568960,1950088
1739981568970,1788600
1739981568980,2323648
1739981568990,2581008
1739981569000,1940976
1739981569010,2737712
1739981569020,2324864
1739981569030,2509968
1739981569040,2216552
1739981569050,2516296
1739981569060,2882520
1739981569070,2016376
1739981569080,2291552
1739981569090,2678488
1739981569100,1914344
1739981569110,1973920
1739981569120,2706032
1739981569130,2637680
1739981569140,2251448
1739981569150,1744792
1739981569160,1731304
1739981569170,2648288
1739981569180,2864032
1739981569190,2346760
1739981569200,1711696
1739981569210,2186656
1739981569220,2289096
1739981569230,2303664
1739981569240,2324592
1739981569250,2767216
1739981569260,1766480
1739981569270,2254520
1739981569280,1839112
1739981569290,1676408
1739981569300,2015848
1739981569310,2630240
1739981569320,2343400
1739981569330,2614992
1739981569340,1870312
1739981569350,2451928
1739981569360,1931168
1739981569370,2819200
1739981569380,2190272
1739981569390,1989776
1739981569400,2138232
1739981569410,2908008
1739981569420,2497336
1739981569430,1727640
1739981569440,2396808
1739981569450,2156440
1739981569460,2019280
1739981569470,2709696
1739981569480,1969352
1739981569490,2502280
1739981569500,2592936
1739981569510,2637944
1739981569520,2333416
1739981569530,2339464
1739981569540,1760696
1739981569550,2615856
1739981569560,1800608
1739981569570,1754208
1739981569580,2733336
1739981569590,2562136
1739981569600,2227512
1739981569610,1780488
1739981569620,2698256
1739981569630,2493120
1739981569640,1752184
1739981569650,2489832
1739981569660,1972928
1739981569670,2487928
1739981569680,1801704
1739981569690,2749552
1739981569700,1849872
1739981569710,1900176
1739981569720,2521816
1739981569730,2696648
1739981569740,1869512
1739981569750,2533832
1739981569760,1922432
1739981569770,2695472
1739981569780,2050880
1739981569790,2499448
1739981569800,2916408
1739981569810,2507104
1739981569820,1944752
1739981569830,2819328
1739981569840,1802688
1739981569850,2416840
1739981569860,2479688
1739981569870,2178768
1739981569880,2865352
1739981569890,1933296
1739981569900,2580208
1739981569910,1898544
1739981569920,1776720
1739981569930,2358528
1739981569940,2558424
1739981569950,1865848
1739981569960,2250816
1739981569970,2381992
1739981569980,2826832
1739981569990,2400744
1739981570000,1834248
1739981570010,2346352
1739981570020,2624808
1739981570030,2330248
1739981570040,2237880
1739981570050,1940600
1739981570060,1767872
1739981570070,2345592
1739981570080,2465536
1739981570090,1736288
1739981570100,2404760
1739981570110,1783656
1739981570120,1711096
1739981570130,2580048
1739981570140,1940880
1739981570150,2641776
1739981570160,2566888
1739981570170,1841816
1739981570180,2583536
1739981570190,2124992
1739981570200,1983272
1739981570210,2652472
1739981570220,2110248
1739981570230,2371968
1739981570240,2446144
1739981570250,2465984
1739981570260,2857992
1739981570270,1803440
1739981570280,2568184
1739981570290,1870480
1739981570300,2635328
1739981570310,2080096
1739981570320,1771744
1739981570330,2356208
1739981570340,2882784
1739981570350,2092840
1739981570360,2648240
1739981570370,1956392
1739981570380,1814560
1739981570390,2570096
1739981570400,1941208
1739981570410,2608440
1739981570420,2295872
1739981570430,1987680
1739981570440,2508136
1739981570450,2561288
1739981570460,1729136
1739981570470,2576024
1739981570480,1852248
1739981570490,2622440
1739981570500,2239536
1739981570510,2386832
1739981570520,2458024
1739981570530,2734784
1739981570540,2549192
1739981570550,2412832
1739981570560,1915640
1739981570570,2516152
1739981570580,2000112
1739981570591,2907312
1739981570600,2772520
1739981570610,2778400
1739981570620,2702920
1739981570630,1825344
1739981570640,1857648
1739981570650,1759888
1739981570660,2688448
1739981570670,2419080
1739981570680,2299704
1739981570690,2017072
1739981570700,2069544
1739981570710,2694648
1739981570720,2135112
1739981570730,2499040
1739981570740,2568112
1739981570750,2094104
1739981570760,2795544
1739981570770,2336472
1739981570780,1967768
1739981570790,2788440
