Timestamp,Memory Usage
1739980181005,2566832
1739980181015,3055480
1739980181025,2988408
1739980181035,3108576
1739980181045,2385664
1739980181055,2781840
1739980181065,2684920
1739980181075,3431352
1739980181085,3412240
1739980181095,3049152
1739980181105,4237760
1739980181115,3405256
1739980181125,3628672
1739980181135,2999912
1739980181145,3374984
1739980181155,4403912
1739980181165,4161264
1739980181175,4052296
1739980181185,3717008
1739980181195,3654832
1739980181205,3278280
1739980181215,4378672
1739980181225,2960624
1739980181235,4059968
1739980181245,2873976
1739980181255,4186368
1739980181265,3493280
1739980181275,3601864
1739980181285,4019040
1739980181295,4059400
1739980181305,3944744
1739980181315,4160280
1739980181325,3805088
1739980181335,3448480
1739980181345,3902848
1739980181355,3894304
1739980181365,4396648
1739980181375,3071488
1739980181385,4117184
1739980181395,3731792
1739980181405,4267944
1739980181415,3695232
1739980181425,3833096
1739980181435,3624696
1739980181445,3449984
1739980181455,4305488
1739980181465,4431472
1739980181475,4064640
1739980181485,4310328
1739980181495,3839048
1739980181505,3698016
1739980181515,3130400
1739980181525,3470336
1739980181535,4015264
1739980181545,4458792
1739980181555,3717488
1739980181565,3647672
1739980181575,3948888
1739980181585,4409448
1739980181595,3624024
1739980181605,3265504
1739980181615,4155024
1739980181625,3917832
1739980181635,3483616
1739980181645,4390016
1739980181655,4192376
1739980181665,3686944
1739980181675,4556984
1739980181685,4354592
1739980181695,4279632
1739980181705,5072848
1739980181715,4272488
1739980181725,3511344
1739980181735,4429760
1739980181745,4342376
1739980181755,5254768
1739980181765,4209640
1739980181775,4085792
1739980181785,4433176
1739980181795,3835864
1739980181805,4299448
1739980181815,4523552
1739980181825,3163368
1739980181835,3974376
1739980181845,4031936
1739980181855,3373720
1739980181865,4033088
1739980181875,4062856
1739980181885,3360424
1739980181895,3503680
1739980181905,3414032
1739980181915,4382280
1739980181925,3339936
1739980181935,3301312
1739980181945,3838760
1739980181955,3552328
1739980181965,4326928
1739980181975,4428456
1739980181985,3695840
1739980181995,4198248
1739980182005,4333936
1739980182015,3918720
1739980182025,4757848
1739980182035,4340824
1739980182045,3321792
1739980182055,3926864
1739980182065,4360720
1739980182075,3973216
1739980182085,4539600
1739980182095,3491200
1739980182105,3125312
1739980182115,3838024
1739980182125,4066592
1739980182135,4562176
1739980182145,4021880
1739980182155,3979016
1739980182165,3806024
1739980182175,3897608
1739980182185,3630968
1739980182195,4263872
1739980182205,4386968
1739980182215,4041984
1739980182225,3588184
1739980182235,3644032
1739980182245,3269816
1739980182255,3730808
1739980182265,4888008
1739980182275,4006464
1739980182285,4062248
1739980182295,4373904
1739980182305,3442264
1739980182315,4497928
1739980182325,5123480
1739980182335,5080920
1739980182345,3746424
1739980182355,3610696
1739980182365,5058744
1739980182375,4303664
1739980182385,4732704
1739980182395,4860592
1739980182405,4474040
1739980182415,5200360
1739980182425,3997976
1739980182435,5213416
1739980182445,4894744
1739980182455,4207072
1739980182465,4201040
1739980182475,5421984
1739980182485,3729280
1739980182495,4863608
1739980182505,4177088
1739980182515,4730056
1739980182525,5548320
1739980182535,4127144
1739980182545,4827264
1739980182555,4240504
1739980182565,4647544
1739980182575,3843520
1739980182585,3628328
1739980182595,3627088
1739980182605,4668224
1739980182615,3374216
1739980182625,5510808
1739980182635,4382400
1739980182645,4689136
1739980182655,4164920
1739980182665,3457856
1739980182675,4991248
1739980182685,4743472
1739980182695,3602032
1739980182705,5124984
1739980182715,4329064
1739980182725,4860864
1739980182735,3261448
1739980182745,3665808
1739980182755,4627200
1739980182765,4291616
1739980182775,4178336
1739980182785,4136312
1739980182795,4004656
1739980182805,3808304
1739980182815,4201128
1739980182825,3134296
1739980182835,4214328
1739980182845,4684336
1739980182855,4421752
1739980182865,4465248
1739980182875,4444296
1739980182885,3951128
1739980182895,4190712
1739980182905,3600648
1739980182915,4639728
1739980182925,4800136
1739980182935,4648248
1739980182945,4996488
1739980182955,3541112
1739980182965,4990104
1739980182975,5008152
1739980182985,5461896
1739980182995,3527472
1739980183005,4189928
1739980183015,3957176
1739980183025,4282912
1739980183035,4720672
1739980183045,4922784
1739980183055,4982696
1739980183065,4374432
1739980183075,4262472
1739980183085,5493432
1739980183095,4908232
1739980183105,5087784
1739980183115,4892784
1739980183125,4813192
1739980183135,4824872
1739980183145,4597104
1739980183155,4284312
1739980183165,4418728
1739980183175,4617152
1739980183185,3977920
1739980183195,3968688
1739980183205,5507296
1739980183215,4821096
1739980183225,4648344
1739980183235,4443200
1739980183245,4266120
1739980183255,4296240
1739980183265,3910720
1739980183275,4477136
1739980183285,4331704
1739980183295,3713592
1739980183306,4135096
1739980183315,4648560
1739980183325,4559816
1739980183335,4584152
1739980183345,4065632
1739980183355,5228608
1739980183365,3956288
1739980183375,4307152
1739980183385,4304872
1739980183395,4881064
1739980183405,4529816
1739980183415,4268752
1739980183425,5272952
1739980183435,5934872
1739980183445,6175688
1739980183455,4625912
1739980183465,5967080
1739980183475,6913872
1739980183485,5859696
1739980183495,4445840
1739980183505,6181824
1739980183515,5039072
1739980183525,6212648
1739980183535,6149104
1739980183545,5619992
1739980183555,5401280
1739980183565,5748432
1739980183575,5593368
1739980183585,4634840
1739980183595,5467912
1739980183605,4712456
1739980183615,5903040
1739980183625,4635288
1739980183635,5235584
1739980183645,6626888
1739980183655,5152040
1739980183665,3954232
1739980183675,5654240
1739980183685,4881976
1739980183695,4613344
1739980183705,5632216
1739980183715,6162776
1739980183725,4685936
1739980183735,5999240
1739980183745,5405096
1739980183755,4928352
1739980183765,4677160
1739980183775,5538768
1739980183785,6067560
1739980183795,5719800
1739980183805,6085016
1739980183815,5585160
1739980183825,4987872
1739980183835,5675568
1739980183845,5144136
1739980183855,5719792
1739980183865,5427096
1739980183875,5778840
1739980183885,5719664
1739980183895,4965520
1739980183905,3924416
1739980183915,5274200
1739980183925,4787480
1739980183935,4167312
1739980183945,5196360
1739980183955,4710656
1739980183965,4936560
1739980183975,5247504
1739980183985,5755368
1739980183995,4718504
1739980184005,5474176
1739980184015,5151584
1739980184025,5033368
1739980184035,5365768
1739980184045,5468128
1739980184055,5117648
1739980184065,5481040
1739980184075,4687816
1739980184085,4438400
1739980184095,5447968
1739980184105,5371392
1739980184115,5612016
1739980184125,5006680
1739980184135,5591216
1739980184145,4619800
1739980184155,4491144
1739980184165,6131936
1739980184175,4706456
1739980184185,5682512
1739980184195,5023224
1739980184205,5095344
1739980184215,4109368
1739980184225,5769704
1739980184235,4252976
1739980184245,5104056
1739980184255,4369992
1739980184265,5452616
1739980184275,5120272
1739980184285,5683712
1739980184295,5671672
1739980184305,4528040
1739980184315,6178984
1739980184325,6567288
1739980184335,5213528
1739980184346,4933768
1739980184355,5545304
1739980184365,4038000
1739980184375,5225032
1739980184385,4861032
1739980184395,5027928
1739980184405,5581824
1739980184415,5699152
1739980184425,5448064
1739980184435,4535800
1739980184445,5493480
1739980184455,5311552
1739980184465,4685328
1739980184475,5587872
1739980184485,6070968
1739980184495,5940760
1739980184505,5522192
1739980184515,4761616
1739980184525,5885504
1739980184535,5514368
1739980184545,5882096
1739980184555,6235048
1739980184565,4532832
1739980184575,5257568
1739980184585,5413816
1739980184595,4044136
1739980184605,6008032
1739980184615,4591160
1739980184625,5713616
1739980184635,4403368
1739980184645,5558944
1739980184655,5407936
1739980184665,4676544
1739980184675,6164184
1739980184685,5108536
1739980184695,5598152
1739980184705,4212768
1739980184715,4132864
1739980184725,5935520
1739980184735,4794872
1739980184745,5457024
1739980184755,5338032
1739980184765,5115056
1739980184775,4321432
1739980184785,5468504
1739980184795,6245504
1739980184805,5564784
1739980184815,4603592
1739980184825,5335264
1739980184835,4602016
1739980184845,5845664
1739980184855,5835872
1739980184865,4951192
1739980184875,4808136
1739980184885,5552640
1739980184895,4730136
1739980184905,5610088
1739980184915,5852944
1739980184925,4416832
1739980184935,4961528
1739980184945,6100904
1739980184955,4395200
1739980184965,4767960
1739980184975,5469816
1739980184985,5581400
1739980184995,4474760
1739980185005,5608472
1739980185015,6071472
1739980185025,4581888
1739980185035,5894080
1739980185045,4375984
1739980185055,5769064
1739980185065,4906072
1739980185075,4272512
1739980185085,6134232
1739980185095,4887232
1739980185105,4166640
1739980185115,5172368
1739980185125,6491128
1739980185135,4908392
1739980185145,5689952
1739980185155,4480024
1739980185165,5628624
1739980185175,5943688
1739980185185,4473608
1739980185195,5359120
1739980185205,6204424
1739980185215,4737440
1739980185225,5298424
1739980185235,4372960
1739980185245,5392424
1739980185255,4791848
1739980185265,6065936
1739980185275,5491128
1739980185285,5337448
1739980185295,4672032
1739980185305,5536840
1739980185315,4324816
1739980185325,5621832
1739980185335,6180480
1739980185345,5737224
1739980185355,5728800
1739980185365,5058920
1739980185375,6553240
1739980185385,6614792
1739980185395,4762040
1739980185405,5793080
1739980185415,4576776
1739980185425,5201224
1739980185435,5943056
1739980185445,4661024
1739980185455,6511616
1739980185465,5148872
1739980185475,5437608
1739980185485,7779368
1739980185495,5915920
1739980185505,8003080
