Timestamp,Memory Usage
1739972624084,4659056
1739972624085,4854672
1739972624094,6539288
1739972624104,5351272
1739972624114,6753976
1739972624124,6480160
1739972624134,6615256
1739972624144,5257616
1739972624154,5768112
1739972624164,5800600
1739972624174,5162000
1739972624184,9113968
1739972624194,8426744
1739972624204,5807672
1739972624214,6136776
1739972624224,6186280
1739972624234,6351624
1739972624244,7010792
1739972624254,5906744
1739972624264,5863088
1739972624274,7563104
1739972624284,9037464
1739972624294,6579600
1739972624305,7953512
1739972624314,7665800
1739972624324,6024208
1739972624334,5931824
1739972624344,6281456
1739972624354,7068320
1739972624364,8460640
1739972624374,6313640
1739972624384,6432248
1739972624394,6549512
1739972624404,6474064
1739972624414,7398840
1739972624424,7180272
1739972624434,8211136
1739972624444,6148456
1739972624454,8195952
1739972624464,6896544
1739972624474,5810488
1739972624484,5965320
1739972624494,6525064
1739972624505,7175320
1739972624514,6708616
1739972624524,5503536
1739972624534,6219304
1739972624544,7236840
1739972624554,5748832
1739972624564,5718536
1739972624574,8746120
1739972624584,6779464
1739972624594,6928048
1739972624604,6477680
1739972624614,9354704
1739972624624,6487000
1739972624634,6203584
1739972624644,6673376
1739972624654,6656584
1739972624664,7247856
1739972624674,8728736
1739972624684,8561792
1739972624694,6100296
1739972624704,5601648
1739972624714,7206312
1739972624724,6821584
1739972624734,7235544
1739972624744,6748376
1739972624754,7762984
1739972624764,5914168
1739972624774,8055736
1739972624784,6750136
1739972624794,7503488
1739972624804,7208240
1739972624814,6053008
1739972624824,7221256
1739972624834,7010544
1739972624844,6071208
1739972624854,7396240
1739972624864,6420384
1739972624874,7096752
1739972624884,6515672
1739972624894,7200832
1739972624904,7245488
1739972624914,9398480
1739972624924,6554680
1739972624934,6840688
1739972624944,7089600
1739972624954,5874760
1739972624964,6282520
1739972624974,6135232
1739972624984,7696816
1739972624994,7895384
1739972625004,8066760
1739972625014,8638640
1739972625024,5629032
1739972625034,6931624
1739972625044,7179344
1739972625055,7799648
1739972625064,8827544
1739972625075,7750776
1739972625084,7274256
1739972625094,6114872
1739972625104,7461840
1739972625114,7176144
1739972625124,7161336
1739972625134,6181072
1739972625144,7239152
1739972625154,5528688
1739972625164,9512128
1739972625174,8091968
1739972625184,7843016
1739972625194,5895760
1739972625204,6525584
1739972625214,6029424
1739972625224,8272072
1739972625234,7077904
1739972625244,5865832
1739972625254,8493712
1739972625264,7561536
1739972625274,5054352
1739972625284,7071336
1739972625294,6930128
1739972625304,8427768
1739972625314,7452456
1739972625324,8071984
1739972625334,7286136
1739972625344,7761512
1739972625354,6287416
1739972625364,9154352
1739972625374,8092296
1739972625385,8504464
1739972625394,6546656
1739972625404,5262568
1739972625414,9695856
1739972625424,10254792
1739972625434,6531752
1739972625444,7918120
1739972625454,7362568
1739972625464,6645184
1739972625474,9557880
1739972625484,7816760
1739972625494,6294552
1739972625504,7237752
1739972625514,6562840
1739972625524,6072424
1739972625534,6625264
1739972625544,6692528
1739972625554,5691512
1739972625564,6427120
1739972625574,6340976
1739972625584,7089936
1739972625594,7710176
1739972625604,6500912
1739972625614,6616336
1739972625624,7647832
1739972625634,5604592
1739972625644,7008896
1739972625654,6317848
1739972625664,6685592
1739972625674,7114960
1739972625684,8406096
1739972625694,6914320
1739972625704,7007920
1739972625714,7897024
1739972625724,8266392
1739972625734,6921296
1739972625744,7630944
1739972625754,7676656
1739972625764,7296984
1739972625774,5246520
1739972625784,6630928
1739972625794,5121168
1739972625804,5598408
1739972625814,8677976
1739972625824,7366928
1739972625834,7422032
1739972625844,6885200
1739972625854,7341272
1739972625864,8599320
1739972625875,8026176
1739972625884,4764600
1739972625894,7834968
1739972625904,6816536
1739972625914,6825216
1739972625924,8951448
1739972625934,7780632
1739972625944,6693808
1739972625954,5386288
1739972625964,6924784
1739972625974,6724888
1739972625984,6896648
1739972625994,6803256
1739972626004,7527896
1739972626014,7559088
1739972626024,5059280
1739972626034,5308912
1739972626045,8369048
1739972626054,7304416
1739972626064,5851632
1739972626074,8502344
1739972626084,6185240
1739972626094,7000328
1739972626104,8171120
1739972626114,7626688
1739972626124,8650736
1739972626134,6632528
1739972626144,6898752
1739972626154,6797216
1739972626164,6404168
1739972626174,6978408
1739972626184,6946008
1739972626194,7391720
1739972626204,5631472
1739972626214,7216112
1739972626224,7570640
1739972626234,8343136
1739972626244,6443472
1739972626254,5013208
1739972626264,7246728
1739972626274,8664344
1739972626284,5512824
1739972626294,6970592
1739972626304,8160496
1739972626314,7048296
1739972626324,7975088
1739972626334,7198752
1739972626344,7385168
1739972626354,6715744
1739972626364,6822120
1739972626374,7889592
1739972626384,5915112
1739972626394,7410432
1739972626404,9469912
1739972626414,6413416
1739972626424,7325688
1739972626435,9813056
1739972626444,9924832
1739972626454,8191904
1739972626464,6468104
1739972626474,7559184
1739972626484,5382392
1739972626494,8325736
1739972626504,7220112
1739972626514,6626776
1739972626524,7991704
1739972626534,6450136
1739972626544,6727704
1739972626554,5222720
1739972626564,5042800
1739972626574,8548312
1739972626584,5800696
1739972626594,6297136
1739972626604,5748784
1739972626614,9864704
1739972626624,6580464
1739972626634,7343648
1739972626644,5814600
1739972626654,6291200
1739972626664,6993240
1739972626674,7999544
1739972626684,7519248
1739972626694,8348400
1739972626704,6212224
1739972626714,7833784
1739972626724,8080416
1739972626734,5720416
1739972626744,7457280
1739972626754,7836496
1739972626764,8088008
1739972626775,9149832
1739972626784,5773080
1739972626794,5661232
1739972626804,6290272
1739972626814,7416504
1739972626824,6296688
1739972626834,6820128
1739972626844,6924936
1739972626854,7318448
1739972626864,7170184
1739972626874,8573968
1739972626884,9064216
1739972626894,9164104
1739972626904,8862776
1739972626914,7046120
1739972626924,5459400
1739972626934,9701296
1739972626944,8807704
1739972626954,7251336
1739972626964,8382216
1739972626974,8362176
1739972626984,6157112
1739972626994,5754536
1739972627004,7577936
1739972627014,9265008
1739972627024,7935440
1739972627034,7361768
1739972627044,6395224
1739972627054,7680808
1739972627064,8375032
1739972627074,8249728
