Timestamp,Memory Usage
1739977637539,2020592
1739977637549,2637080
1739977637559,2769944
1739977637569,3051792
1739977637579,2810936
1739977637589,2395240
1739977637599,2125472
1739977637609,2575888
1739977637619,2386928
1739977637629,2883576
1739977637639,3511664
1739977637649,2272584
1739977637659,2720032
1739977637669,3005584
1739977637679,2271328
1739977637689,2966504
1739977637699,2647440
1739977637709,3126496
1739977637719,2890400
1739977637729,2329936
1739977637739,2635920
1739977637749,3141904
1739977637759,3250176
1739977637769,3235496
1739977637779,3185664
1739977637789,3168608
1739977637799,2530072
1739977637809,2692408
1739977637819,3630992
1739977637829,3402912
1739977637839,3826240
1739977637849,3132408
1739977637859,2912360
1739977637869,2606576
1739977637879,3001888
1739977637889,3496400
1739977637899,2671944
1739977637909,3286984
1739977637919,2395304
1739977637929,2508880
1739977637939,2632424
1739977637949,2805408
1739977637959,3274040
1739977637969,2978088
1739977637979,3292760
1739977637989,3113016
1739977637999,2893376
1739977638009,2822256
1739977638019,2746448
1739977638029,2582328
1739977638039,2903416
1739977638049,4222056
1739977638059,3182520
1739977638069,2744448
1739977638079,2668424
1739977638089,3042784
1739977638099,3657704
1739977638109,2588744
1739977638119,2652696
1739977638129,3173264
1739977638139,3385096
1739977638149,3332264
1739977638159,3222952
1739977638169,3593536
1739977638179,3278016
1739977638189,2900184
1739977638199,2782040
1739977638209,2496056
1739977638219,2849384
1739977638229,2873560
1739977638239,3584560
1739977638249,2973992
1739977638259,2581720
1739977638269,3318784
1739977638279,3427152
1739977638289,3700632
1739977638299,3639776
1739977638309,3408920
1739977638319,2778384
1739977638329,2585568
1739977638339,2785296
1739977638349,3190248
1739977638359,3592608
1739977638369,2832952
1739977638379,2500336
1739977638389,3392560
1739977638399,2956168
1739977638409,3095408
1739977638419,2498128
1739977638429,2677136
1739977638439,2799184
1739977638449,3619720
1739977638459,3391328
1739977638469,2918528
1739977638479,3669768
1739977638489,2982144
1739977638499,3734776
1739977638509,2882792
1739977638519,3175952
1739977638529,3034576
1739977638539,3487128
1739977638549,2776992
1739977638559,3619552
1739977638569,3735368
1739977638579,2876928
1739977638589,2826376
1739977638599,3272072
1739977638609,3608848
1739977638619,3420848
1739977638629,2704376
1739977638639,3608952
1739977638649,3367344
1739977638659,2737120
1739977638669,2729152
1739977638679,3663304
1739977638689,3345160
1739977638699,3218848
1739977638709,3242384
1739977638719,3362088
1739977638729,3328880
1739977638739,3151752
1739977638749,2594768
1739977638759,3316584
1739977638769,3582312
1739977638779,3332840
1739977638789,2716760
1739977638799,3047368
1739977638809,3357208
1739977638819,3950872
1739977638829,3144416
1739977638839,3152248
1739977638849,3634384
1739977638859,2992000
1739977638869,2921816
1739977638879,2998032
1739977638889,2993448
1739977638899,3706512
1739977638909,3564384
1739977638919,3273760
1739977638929,3812264
1739977638946,3930584
1739977638949,3532888
1739977638959,2954984
1739977638969,2673744
1739977638979,3517240
1739977638989,3237104
1739977638999,2638944
1739977639009,2653976
1739977639019,3359552
1739977639029,2961680
1739977639039,3743144
1739977639049,3286200
1739977639059,2454424
1739977639069,3025304
1739977639079,3239592
1739977639089,3097208
1739977639099,3536264
1739977639109,3562240
1739977639119,3302968
1739977639129,3849848
1739977639139,2474632
1739977639149,3164608
1739977639159,3133496
1739977639169,3146512
1739977639179,3560552
1739977639189,3180600
1739977639199,2588040
1739977639209,2977880
1739977639219,3650648
1739977639229,2982296
1739977639239,3711344
1739977639249,3454832
1739977639259,2773648
1739977639269,2534328
1739977639279,3793712
1739977639289,3643720
1739977639299,3070320
1739977639309,4072408
1739977639319,2616888
1739977639329,3375800
1739977639339,2585848
1739977639349,3424760
1739977639359,2434936
1739977639369,3324928
1739977639379,3586352
1739977639389,2903800
1739977639399,3075392
1739977639409,2666104
1739977639419,3432184
1739977639429,3400232
1739977639439,3242056
1739977639449,3497064
1739977639459,2698680
1739977639469,2592656
1739977639479,2961624
1739977639489,3453224
1739977639499,2773256
1739977639509,3284088
1739977639519,3085808
1739977639529,2850936
1739977639539,3218848
1739977639549,2917840
1739977639559,2930616
1739977639569,3667520
1739977639579,3626016
1739977639589,3091280
1739977639599,3614552
1739977639609,3280600
1739977639619,3021376
1739977639629,3616616
1739977639639,3838880
1739977639649,3520128
1739977639659,3256472
1739977639669,3795216
1739977639679,3628384
1739977639689,2632176
1739977639699,3894688
1739977639709,3156192
1739977639719,3200120
1739977639729,3180432
1739977639739,3127952
1739977639749,2807512
1739977639759,3805720
1739977639769,3454776
1739977639779,3363248
1739977639789,2683688
1739977639799,3457648
1739977639809,2710720
1739977639819,2867560
1739977639829,3829792
1739977639839,3044032
1739977639849,3616304
1739977639859,2712168
1739977639869,3760824
1739977639879,3130528
1739977639889,3310800
1739977639899,3834616
1739977639909,3743720
1739977639919,3388528
1739977639929,3657792
1739977639939,3681184
1739977639949,3330024
1739977639959,2741120
1739977639969,2964776
1739977639979,3684376
1739977639989,2893576
1739977639999,3512656
1739977640009,3940960
1739977640019,3155128
1739977640029,2671592
1739977640039,3699416
1739977640049,3155984
1739977640059,3401160
1739977640069,3303472
1739977640079,3583224
1739977640089,4003840
1739977640099,3118560
1739977640109,3600880
1739977640119,2891832
1739977640129,3298152
1739977640139,3531000
1739977640149,3067496
1739977640159,4064824
1739977640169,3895632
1739977640179,3827688
1739977640189,3314984
1739977640199,3901040
1739977640209,3383344
1739977640219,3514416
1739977640229,3017016
1739977640239,3791584
1739977640249,3603424
1739977640259,3549896
1739977640269,3641728
1739977640279,3438576
1739977640289,2908800
1739977640299,4047872
1739977640309,3255856
1739977640319,3596424
1739977640330,3171128
1739977640339,3136664
1739977640349,2843976
1739977640359,2962688
1739977640369,2797272
1739977640379,3280056
1739977640389,3639120
1739977640399,2605568
1739977640409,2951536
1739977640419,2614416
1739977640429,3173760
1739977640439,3459208
1739977640449,3891792
1739977640459,3298848
1739977640469,3164312
1739977640479,3440920
1739977640489,4253016
1739977640499,3387120
1739977640509,3649600
1739977640519,2578168
1739977640529,3591816
1739977640539,2731760
1739977640549,2894760
1739977640559,3015296
1739977640569,2869992
1739977640579,3998024
1739977640589,3692984
1739977640599,2595128
1739977640609,2959376
1739977640619,2811728
1739977640629,3503128
1739977640639,3719592
1739977640649,3993272
1739977640659,2881632
1739977640669,3214056
1739977640679,3154064
1739977640689,2812176
1739977640699,4022104
1739977640709,3570104
1739977640719,2800448
1739977640729,3073728
1739977640739,3474352
1739977640749,3396896
1739977640759,3922672
1739977640769,3566080
1739977640779,3520520
1739977640789,3782416
1739977640799,3691800
1739977640809,3589160
1739977640819,3523504
1739977640829,3900952
1739977640839,3250256
1739977640849,4095912
1739977640859,3308480
1739977640869,3095376
1739977640879,2971640
1739977640889,3511400
1739977640899,3641528
1739977640909,3400408
1739977640919,3069424
1739977640929,3823224
1739977640939,3122568
1739977640949,3917568
1739977640959,3680096
1739977640969,2919176
1739977640979,3827704
1739977640989,2689984
1739977640999,3733064
1739977641009,3065600
1739977641019,3775968
1739977641029,2910816
1739977641039,4204424
1739977641049,3361424
1739977641059,3556808
1739977641069,2817840
1739977641079,2773096
1739977641089,2777712
1739977641099,3935664
1739977641109,2695904
1739977641119,4021000
1739977641129,2817168
1739977641139,2859456
1739977641149,3184680
1739977641159,3903960
1739977641169,3979496
1739977641179,3837728
1739977641189,3514776
1739977641199,3627784
1739977641209,3442024
1739977641219,4585656
1739977641229,3476488
1739977641239,2920832
1739977641249,2958400
1739977641259,2793144
