Timestamp,Memory Usage
1739974943605,2999144
1739974943615,3294664
1739974943625,3527224
1739974943635,3635504
1739974943645,3536856
1739974943655,3237680
1739974943675,4079480
1739974943675,4079408
1739974943685,3529096
1739974943695,3248520
1739974943705,3391096
1739974943715,2999960
1739974943725,3202152
1739974943735,3479624
1739974943745,3896552
1739974943755,3170992
1739974943765,2968816
1739974943775,3750920
1739974943785,3199552
1739974943795,3361624
1739974943805,3772936
1739974943815,4026344
1739974943825,4014824
1739974943835,3179320
1739974943845,3092704
1739974943855,3472824
1739974943865,3078728
1739974943875,3113440
1739974943885,4601272
1739974943895,3427104
1739974943905,3339680
1739974943915,4310664
1739974943925,3730880
1739974943935,3100504
1739974943945,3747664
1739974943955,4163512
1739974943965,3411768
1739974943975,3134672
1739974943985,4413256
1739974943995,3771232
1739974944005,3650568
1739974944015,4131768
1739974944025,3323976
1739974944035,3194968
1739974944045,4117664
1739974944055,3244104
1739974944065,4418344
1739974944075,4047536
1739974944085,3973592
1739974944095,3480544
1739974944105,4416144
1739974944115,4678544
1739974944125,3603664
1739974944135,4368264
1739974944145,3355792
1739974944155,4312504
1739974944165,4666752
1739974944175,4279408
1739974944185,3546512
1739974944195,4337008
1739974944205,3850520
1739974944215,3928456
1739974944225,4018304
1739974944235,3984600
1739974944245,3654296
1739974944255,3166408
1739974944265,4143424
1739974944275,3911976
1739974944285,3404464
1739974944295,4263688
1739974944305,4233320
1739974944315,4111016
1739974944325,3214296
1739974944335,4334064
1739974944345,3127872
1739974944355,3350552
1739974944365,4240016
1739974944375,4544744
1739974944385,3923232
1739974944395,4543624
1739974944405,3377128
1739974944415,4187672
1739974944425,4189504
1739974944435,4224712
1739974944445,3448784
1739974944455,4041344
1739974944465,4454992
1739974944475,3837704
1739974944485,3619216
1739974944495,4495664
1739974944505,4151536
1739974944515,3845312
1739974944525,3313168
1739974944535,4390472
1739974944545,4305344
1739974944555,4512480
1739974944565,4592352
1739974944575,3691360
1739974944585,3508840
1739974944595,4352904
1739974944605,3181896
1739974944615,4700896
1739974944625,3954512
1739974944635,4997552
1739974944645,3556848
1739974944655,4281920
1739974944665,3539456
1739974944675,4464440
1739974944685,3672144
1739974944695,3980240
1739974944705,4623200
1739974944715,3598240
1739974944725,4977120
1739974944735,4936064
1739974944745,3974264
1739974944755,4512856
1739974944765,4698104
1739974944775,4138880
1739974944785,3998320
1739974944795,4610840
1739974944805,4387264
1739974944815,3652960
1739974944825,3846352
1739974944835,4029672
1739974944845,3914768
1739974944855,3822928
1739974944865,4488328
1739974944875,5121472
1739974944885,4856992
1739974944895,4171800
1739974944905,3795776
1739974944915,3746232
1739974944925,2963520
1739974944935,4799512
1739974944945,3955760
1739974944955,4520536
1739974944965,4389184
1739974944975,4110280
1739974944985,4540144
1739974944995,3341528
1739974945005,4059640
1739974945015,4090720
1739974945025,3212752
1739974945035,4260320
1739974945045,5244392
1739974945055,4339088
1739974945065,4379384
1739974945075,3972448
1739974945085,3880312
1739974945095,3695168
1739974945105,5032136
1739974945115,3831336
1739974945125,4128272
1739974945135,4623952
1739974945145,4151824
1739974945155,4542920
1739974945165,4325032
1739974945175,4472888
1739974945185,4794304
1739974945195,5080296
1739974945205,5241744
1739974945215,4954408
1739974945225,3981800
1739974945235,4696712
1739974945245,4255600
1739974945255,5367008
1739974945265,4526008
1739974945275,4694320
1739974945285,4927848
1739974945295,4407920
1739974945305,4099928
1739974945315,4428424
1739974945325,4870328
1739974945335,3903864
1739974945345,4179544
1739974945355,4220264
1739974945365,3988608
1739974945375,4605376
1739974945385,4372232
1739974945395,4483912
1739974945405,4614360
1739974945415,3492664
1739974945425,5036688
1739974945435,4449528
1739974945445,4651880
1739974945455,4293688
1739974945465,3544296
1739974945475,3996104
1739974945485,4224664
1739974945495,4374944
1739974945505,4853912
1739974945515,5812320
1739974945525,3680968
1739974945535,4127768
1739974945545,4679776
1739974945555,4673072
1739974945565,4194240
1739974945575,3875104
1739974945585,4283424
1739974945595,4792328
1739974945605,3857416
1739974945615,4886640
1739974945625,4101504
1739974945635,4864608
1739974945645,4861752
1739974945655,3885280
1739974945665,4751448
1739974945675,4791856
1739974945685,5512304
1739974945695,3650184
1739974945705,4564280
1739974945715,4778504
1739974945725,4279744
1739974945735,4953520
1739974945745,3692904
1739974945755,3986400
1739974945765,4763848
1739974945775,3585992
1739974945785,3695800
1739974945795,4660272
1739974945805,4282728
1739974945815,4306624
1739974945825,4527976
1739974945835,4660544
1739974945845,3501576
1739974945855,4566848
1739974945865,4464528
1739974945875,4014328
1739974945885,4501240
1739974945895,4811104
1739974945905,4894608
1739974945915,5153112
1739974945925,4376208
1739974945935,5063776
1739974945945,4980232
1739974945955,3590248
1739974945965,4991080
1739974945975,4854872
1739974945985,3939272
1739974945995,4717960
1739974946005,4629312
1739974946015,4737552
1739974946025,3889952
1739974946035,4884120
1739974946045,4635384
1739974946055,4975736
1739974946065,4993760
1739974946075,4456176
1739974946085,4725424
1739974946095,5410120
1739974946105,3747568
1739974946115,4621024
1739974946125,4080280
1739974946135,4956552
1739974946145,4754192
1739974946155,4778840
1739974946165,4752600
1739974946175,4830152
1739974946185,5242696
1739974946195,5311816
1739974946205,4063336
1739974946215,5120320
1739974946225,4433856
1739974946235,4398312
1739974946245,4641504
1739974946255,4554456
1739974946265,5146192
1739974946275,5277056
1739974946285,5487912
1739974946295,4687280
1739974946305,4673656
1739974946315,3750600
1739974946325,4761800
1739974946335,4661216
1739974946345,4507200
1739974946355,5225760
1739974946365,4767744
1739974946375,4652104
1739974946385,6260744
1739974946395,6037896
1739974946405,6270056
1739974946415,5853944
1739974946425,5765016
1739974946435,4697136
1739974946445,5034328
1739974946455,6619656
1739974946465,6098560
1739974946475,5719504
1739974946485,4083928
1739974946495,4646304
1739974946505,6447920
1739974946515,6196144
1739974946525,4251256
1739974946535,5847688
1739974946545,4527832
1739974946555,5247416
1739974946565,4029032
1739974946575,4282816
1739974946585,4188768
1739974946595,4038488
1739974946605,4232208
1739974946615,4585120
1739974946625,5248704
1739974946635,5287376
1739974946645,4947152
1739974946655,5085424
1739974946665,5031080
1739974946675,5275824
1739974946685,5708880
1739974946695,4411856
1739974946705,4781096
1739974946715,4223328
1739974946725,5028360
1739974946735,4902232
1739974946745,4433328
1739974946755,5012256
1739974946765,4821680
1739974946775,4771688
1739974946785,6314808
1739974946795,5665600
1739974946805,5774888
1739974946815,4943672
1739974946825,4711512
1739974946835,5296136
1739974946845,4859192
1739974946855,4479920
1739974946865,4990752
1739974946875,5130464
1739974946885,5879024
1739974946895,5496576
1739974946905,5844688
1739974946915,5129640
1739974946925,4459440
1739974946935,4914032
1739974946945,5620384
1739974946955,5846904
1739974946965,4646264
1739974946975,4230944
1739974946985,4482088
1739974946996,4944456
1739974947005,5580640
1739974947015,5620664
1739974947025,5320472
1739974947035,5538208
1739974947045,5263976
1739974947055,6084016
1739974947065,5611144
1739974947075,5639832
1739974947085,5991168
1739974947095,5833120
1739974947105,6135792
1739974947115,4764704
1739974947125,5031992
1739974947135,4780008
1739974947145,5379920
1739974947155,4859328
1739974947165,5123232
1739974947175,4350752
1739974947185,4724064
1739974947195,4521088
1739974947205,4597072
1739974947215,4425272
1739974947225,4543016
1739974947235,4426360
1739974947245,5792168
1739974947255,5598072
1739974947265,4922120
1739974947275,6417296
1739974947285,5862728
1739974947295,5983936
1739974947305,5678048
1739974947315,4886312
1739974947325,4753440
1739974947335,4264096
1739974947345,4932304
1739974947355,5816176
1739974947365,6357424
1739974947375,5769640
1739974947385,5691152
1739974947395,5759760
1739974947405,5504144
1739974947415,5798992
1739974947425,4732008
1739974947435,4989584
1739974947445,4778048
1739974947455,5543392
1739974947465,4893344
1739974947475,5892672
1739974947485,4099040
1739974947495,4230896
1739974947505,4729592
1739974947515,6485064
1739974947525,4319000
1739974947535,5725704
1739974947545,5723432
1739974947555,5988848
1739974947565,6162976
1739974947575,4410944
1739974947585,6251064
1739974947595,5758648
1739974947605,5558160
1739974947615,5428936
1739974947625,4435648
1739974947635,5196872
1739974947645,5412504
1739974947655,5132288
1739974947665,5016408
1739974947675,5946360
1739974947685,6145752
1739974947695,5542848
1739974947705,4366984
1739974947715,4657680
1739974947725,6084736
1739974947735,6459640
1739974947745,5876712
1739974947755,6463704
1739974947765,5092672
1739974947775,4359144
1739974947785,4643008
1739974947795,4859016
1739974947805,6170976
1739974947815,5980384
1739974947825,5909512
1739974947835,5755352
1739974947845,4050248
1739974947855,4543160
1739974947865,4172376
1739974947875,6362040
1739974947885,4870384
1739974947895,4800008
1739974947905,4255616
1739974947915,6035616
1739974947925,6178416
1739974947935,4234648
1739974947945,5869176
1739974947955,5824464
1739974947965,5532040
1739974947975,5085392
1739974947985,4921480
1739974947995,6600472
1739974948005,6171632
1739974948015,5565688
1739974948025,5329160
1739974948035,5585416
1739974948045,6015720
1739974948055,5532304
1739974948065,6083064
1739974948075,5908616
1739974948085,6205272
1739974948095,5498032
1739974948105,5529672
1739974948115,4205296
1739974948125,5914480
1739974948135,5922544
1739974948145,4909504
1739974948155,5696120
1739974948165,6056688
1739974948175,6248472
1739974948185,5955480
1739974948195,5136920
1739974948205,4605176
1739974948215,4484760
1739974948225,4126264
1739974948235,5919264
1739974948245,5856608
1739974948255,6033648
1739974948265,5536432
1739974948275,4351128
1739974948285,5995000
1739974948295,4267352
1739974948305,5886704
1739974948315,6202440
1739974948325,5638064
1739974948335,4523984
1739974948345,6008648
1739974948355,6069104
1739974948365,4560568
1739974948375,5778648
1739974948385,6366224
1739974948395,5724696
1739974948405,5655408
1739974948415,5677968
1739974948425,5512768
1739974948435,5852960
1739974948445,6151640
1739974948455,6099824
1739974948465,5849056
1739974948475,5865936
1739974948485,5823560
1739974948495,5441448
1739974948505,5659776
1739974948515,5871720
1739974948525,5476576
1739974948535,5326152
1739974948545,5211872
1739974948555,4590072
1739974948565,5366232
1739974948575,6188008
1739974948585,4773144
1739974948595,6394472
1739974948605,6047840
1739974948615,4971432
1739974948625,6009432
1739974948635,5869888
1739974948645,6099824
1739974948655,5473096
1739974948665,6144424
1739974948675,5028768
1739974948685,4715424
1739974948695,5526552
1739974948705,5715976
1739974948715,5220456
1739974948725,5329360
1739974948735,5319144
1739974948745,6544960
1739974948755,6119120
1739974948765,5408376
1739974948775,8176536
1739974948785,7933720
1739974948795,6917816
1739974948809,8527208
1739974948815,6111920
1739974948825,6442520
1739974948835,8358080
1739974948845,8930592
1739974948855,6175280
1739974948865,7112552
1739974948875,8277368
1739974948885,8057648
1739974948895,8643888
1739974948905,6936784
1739974948915,8050472
1739974948925,8246832
1739974948935,8565632
1739974948945,6780320
1739974948955,7987880
1739974948965,8395560
1739974948975,8056192
1739974948985,6490008
1739974948995,7783080
1739974949005,8726752
1739974949015,6130344
1739974949025,7516984
1739974949035,8182744
1739974949045,6557288
1739974949055,7872696
1739974949065,5644480
1739974949075,7066792
1739974949085,7432720
1739974949095,6668768
1739974949105,7788432
1739974949115,7694336
1739974949125,7952464
1739974949136,6022192
1739974949145,6449896
1739974949155,7414824
1739974949165,5984616
1739974949175,7455784
1739974949185,8032520
1739974949195,5417672
1739974949205,6158848
1739974949215,6830504
1739974949225,7160032
1739974949235,6154928
1739974949245,6761224
1739974949255,7980880
1739974949265,7857872
1739974949275,6205496
1739974949285,7519104
1739974949295,7306664
1739974949305,6410496
1739974949315,4927400
1739974949325,7303856
1739974949335,4975632
1739974949345,6799904
1739974949355,5907024
1739974949365,6853680
1739974949375,7616800
1739974949385,5643192
1739974949395,6962360
1739974949405,5785808
1739974949415,6941816
1739974949425,5271784
1739974949435,6997016
1739974949445,5350320
1739974949455,6708928
1739974949465,7224736
1739974949475,5934536
1739974949485,7117344
1739974949495,5467888
1739974949505,7264624
1739974949515,5605920
1739974949525,6901248
1739974949535,6984440
1739974949545,6643296
1739974949555,7276792
1739974949565,6841016
1739974949575,7340776
1739974949585,6073120
1739974949595,7167576
1739974949605,5858144
1739974949615,6997264
1739974949625,7195992
1739974949635,5239472
1739974949645,6860680
1739974949655,7334944
1739974949665,5619664
1739974949675,7633704
1739974949685,7767544
1739974949695,5595704
1739974949705,6847384
1739974949715,7757152
1739974949725,6667936
1739974949735,7392656
1739974949745,5843176
1739974949755,6985632
1739974949765,6605696
1739974949775,6561688
1739974949785,7229568
1739974949795,5103872
1739974949805,5985824
1739974949815,7077256
1739974949825,5316968
1739974949835,7490920
1739974949845,7335440
1739974949855,6961544
1739974949865,7099320
1739974949875,7596520
1739974949885,6338840
1739974949896,5269624
1739974949905,5778120
1739974949915,6974104
1739974949925,6897864
1739974949935,5686120
1739974949945,6983224
1739974949955,6825728
1739974949965,7335496
1739974949975,5657632
1739974949985,5649872
1739974949995,6069864
1739974950005,7361136
1739974950015,5207056
1739974950025,6592872
1739974950035,7699184
1739974950045,5494784
1739974950055,6560848
1739974950065,7307104
1739974950075,7784720
1739974950085,5963360
1739974950095,7218176
1739974950105,7511872
1739974950115,6419048
1739974950125,7408808
1739974950135,6472592
1739974950145,7516784
1739974950155,5266408
1739974950165,7071864
1739974950175,5297880
1739974950185,6444400
1739974950195,7664688
1739974950205,5531656
1739974950215,6642448
1739974950225,7289384
