Timestamp,Memory Usage
1737497334200,3309312
1737497334208,2803856
1737497334218,2792112
1737497334228,2716744
1737497334238,2162464
1737497334248,2885840
1737497334258,2825984
1737497334268,2719328
1737497334278,2734032
1737497334288,2606024
1737497334298,2683696
1737497334308,2692136
1737497334318,2798128
1737497334328,3362216
1737497334338,2732760
1737497334348,2897696
1737497334358,3097064
1737497334368,3118352
1737497334378,3108832
1737497334388,3021000
1737497334398,3025608
1737497334408,2952152
1737497334418,2628112
1737497334428,2839048
1737497334438,2869744
1737497334448,2636728
1737497334461,3283520
1737497334468,3250920
1737497334478,3075552
1737497334488,2954856
1737497334498,3097096
1737497334508,3440448
1737497334518,3012320
1737497334528,2947240
1737497334538,3152480
1737497334548,2893616
1737497334558,3100768
1737497334568,3081160
1737497334579,3089248
1737497334588,2681704
1737497334598,3345048
1737497334608,2869424
1737497334618,3365904
1737497334628,3513352
1737497334638,3220928
1737497334648,2560288
1737497334658,2979208
1737497334668,3129392
1737497334678,3442520
1737497334688,3176480
1737497334698,3344648
1737497334708,2992928
1737497334718,3405624
1737497334728,3041824
1737497334738,3401576
1737497334748,3261688
1737497334758,3441848
1737497334768,3174976
1737497334778,3121984
1737497334788,3023952
1737497334798,3015104
1737497334808,3355808
1737497334818,3216624
1737497334828,3829320
1737497334838,3129096
1737497334848,3149920
1737497334858,3547040
1737497334868,3497520
1737497334878,3088536
1737497334888,3066616
1737497334898,3456720
1737497334908,3283536
1737497334918,3222952
1737497334928,3674368
1737497334938,3508928
1737497334948,3512184
1737497334958,3449304
1737497334968,3067008
1737497334978,3244088
1737497334988,3410904
1737497334998,3285280
1737497335008,3493928
1737497335018,3172856
1737497335028,2785728
1737497335038,2703112
1737497335048,3547184
1737497335058,3566664
1737497335068,3238824
1737497335078,3477288
1737497335088,3266784
1737497335099,2840176
1737497335108,3094376
1737497335118,3683840
1737497335128,3246944
1737497335138,3073288
1737497335148,3448856
1737497335158,3163736
1737497335168,2646008
1737497335178,3176728
1737497335188,3472352
1737497335198,3166432
1737497335208,3226480
1737497335218,3511424
1737497335228,3189064
1737497335238,3566336
1737497335248,3569168
1737497335258,3286224
1737497335268,3073272
1737497335278,3408432
1737497335288,3069416
1737497335298,3199304
1737497335308,3423056
1737497335318,3341152
1737497335328,3064048
1737497335338,3126208
1737497335348,3101792
1737497335358,3534976
1737497335368,3583336
1737497335378,3728312
1737497335388,3042464
1737497335398,3463544
1737497335408,3888112
1737497335418,3710312
1737497335428,3284280
1737497335438,3305488
1737497335448,3330376
1737497335458,3543144
1737497335468,3298728
1737497335478,3388392
1737497335489,3751608
1737497335498,3787272
1737497335508,3306272
1737497335518,3641728
1737497335528,2800464
1737497335538,3246512
1737497335548,3481960
1737497335558,3130728
1737497335568,3127952
1737497335578,3208800
1737497335588,3297608
1737497335598,3376912
1737497335608,3486648
1737497335618,3371984
1737497335628,3404064
1737497335638,3210832
1737497335648,3482848
1737497335658,3195256
1737497335668,3396088
1737497335678,3529728
1737497335689,3501984
1737497335698,3589040
1737497335708,3255688
1737497335718,2924840
1737497335729,3298104
1737497335739,3679648
1737497335748,3787872
1737497335758,3349752
1737497335769,3211176
1737497335778,3143192
1737497335788,3698296
1737497335798,3498152
1737497335808,3149272
1737497335818,2808928
1737497335828,3176720
1737497335838,3266896
1737497335848,3618328
1737497335858,3521512
1737497335868,3652656
1737497335878,3766400
1737497335889,3329368
1737497335898,3418328
1737497335908,3354848
1737497335919,3696544
1737497335928,3483984
1737497335939,3645176
1737497335948,3200568
1737497335958,3337064
1737497335968,3243872
1737497335978,3269424
1737497335988,3527296
1737497335998,3507464
1737497336008,3354384
1737497336018,3701504
1737497336028,3627128
1737497336038,3365728
1737497336048,3260720
1737497336058,2780112
1737497336068,2768000
1737497336079,3098488
1737497336088,4078824
1737497336098,3795136
1737497336109,3477600
1737497336118,3316800
1737497336128,3212664
1737497336138,3311936
1737497336148,3432496
1737497336159,4179232
1737497336168,4040048
1737497336178,4201160
1737497336188,3627360
1737497336198,3545920
1737497336208,3356848
1737497336218,3227360
1737497336228,3685872
1737497336238,3437200
1737497336248,2759800
1737497336258,3552072
1737497336268,3160264
1737497336278,3222072
1737497336288,3514416
1737497336298,3578824
1737497336308,3725256
1737497336318,3386136
1737497336328,3268672
1737497336338,3316696
1737497336348,3620152
1737497336358,3406224
1737497336368,3640680
1737497336378,3360712
1737497336388,2774528
1737497336398,3243424
1737497336408,3770016
1737497336418,3413072
1737497336428,3438944
1737497336438,3568632
1737497336448,4129960
1737497336458,3331216
1737497336468,3451264
1737497336478,3216808
1737497336488,3696848
1737497336498,4001184
1737497336508,3388904
1737497336518,3646912
1737497336528,3610272
1737497336538,3669600
1737497336548,3247112
1737497336558,3431128
1737497336568,3392984
1737497336578,3257496
1737497336588,3621536
1737497336598,3579416
1737497336608,3368848
1737497336618,4019512
1737497336628,3957104
1737497336638,3967920
1737497336648,3969760
1737497336659,3700928
1737497336668,3939600
1737497336678,3765864
1737497336688,3746072
1737497336698,3721792
1737497336708,4013168
1737497336718,3906912
1737497336728,3651752
1737497336738,4129472
1737497336748,4012632
1737497336758,3094104
1737497336768,3886120
1737497336778,3798208
1737497336788,3801112
1737497336798,3915824
1737497336808,3915216
1737497336818,3491760
1737497336829,3642760
1737497336838,3896240
1737497336848,3258432
1737497336858,3477736
1737497336868,3796656
1737497336878,3619408
1737497336888,3521464
1737497336898,3555728
1737497336908,3604288
1737497336918,3861336
1737497336928,3687656
1737497336938,3936760
1737497336948,3749984
1737497336958,3875448
1737497336968,3436888
1737497336978,3694448
1737497336988,3475616
1737497336998,3856856
1737497337008,3866368
1737497337018,3598672
1737497337028,3784560
1737497337038,3887576
1737497337048,3676920
1737497337058,2952760
1737497337068,3381216
1737497337078,3835600
1737497337088,3487408
1737497337098,3511008
1737497337108,3513056
1737497337118,3453992
1737497337128,3403720
1737497337138,3474912
1737497337148,3578104
1737497337159,3581128
1737497337169,3435664
1737497337178,3379992
1737497337188,4171528
1737497337198,3420176
1737497337208,3558928
1737497337218,3775152
1737497337228,3836672
1737497337238,3938648
1737497337248,3596872
1737497337258,3947592
1737497337268,3919160
1737497337278,3544808
1737497337288,3878176
1737497337298,3308384
1737497337308,3587032
1737497337318,3885664
1737497337328,3787672
1737497337338,3439096
1737497337348,3577552
1737497337358,3829488
1737497337368,3462496
1737497337378,3778904
1737497337388,3830568
1737497337398,3928896
1737497337408,3865872
1737497337418,3529536
1737497337428,3528728
1737497337439,3420200
1737497337448,3426088
1737497337458,3334128
1737497337469,4219376
1737497337478,3536504
1737497337488,3635720
1737497337498,3876736
1737497337508,3440800
1737497337518,3585008
1737497337528,3516184
1737497337538,3847384
1737497337548,3488472
1737497337558,3448856
1737497337568,3424280
1737497337578,3793856
1737497337588,3228376
1737497337598,3517776
1737497337608,3537216
1737497337618,3492064
1737497337628,3812576
1737497337638,3671288
1737497337648,3429584
1737497337658,3679536
1737497337668,3594264
1737497337678,4214336
1737497337688,3539632
1737497337698,3722536
1737497337708,3870008
1737497337718,3844688
1737497337728,3391296
1737497337738,3267808
1737497337748,3483496
1737497337758,3416344
1737497337768,3571104
1737497337778,3484760
1737497337788,3562632
1737497337798,3716984
1737497337809,3748912
1737497337818,3753944
1737497337828,3667032
1737497337838,3434040
1737497337848,3578760
1737497337858,3582184
1737497337868,3508960
1737497337878,3617400
1737497337888,3782168
1737497337898,3608760
1737497337908,4152688
1737497337918,3486472
1737497337928,3717984
1737497337938,3482864
1737497337948,3437448
1737497337959,3970968
1737497337968,3921704
1737497337979,3795368
1737497337988,4111888
1737497337998,3728880
1737497338008,3652256
1737497338018,3525992
1737497338028,3679768
1737497338038,3472944
1737497338048,3430096
1737497338058,3655496
1737497338068,3461328
1737497338078,3899840
1737497338088,3810056
1737497338098,3935952
1737497338108,3455728
1737497338118,3557368
1737497338128,3590152
1737497338138,3448184
1737497338148,3765320
1737497338158,3482392
1737497338168,4286824
1737497338178,3700264
1737497338188,3556400
1737497338198,4000744
1737497338208,3426008
1737497338218,3786008
1737497338228,3675920
1737497338238,3366584
1737497338248,3812920
1737497338258,3493600
1737497338268,3758344
1737497338278,3648424
1737497338288,3780544
1737497338298,3914128
1737497338308,3972568
1737497338318,3709728
1737497338328,3602960
1737497338338,3475152
1737497338348,3913464
1737497338358,4243336
1737497338368,3442688
1737497338378,3706728
1737497338388,3833728
1737497338398,3520216
1737497338408,3895704
1737497338418,3696088
1737497338428,3541648
1737497338438,3911264
1737497338448,3908840
1737497338458,3804280
1737497338468,3769712
1737497338478,3529360
1737497338488,3868096
1737497338498,3461344
1737497338508,3675456
1737497338518,4343840
1737497338528,3449696
1737497338538,3471720
1737497338548,3905776
1737497338558,4037016
1737497338568,3459216
1737497338578,4303304
1737497338588,3869144
1737497338598,3467216
1737497338608,3440744
1737497338618,3420528
1737497338628,3939544
1737497338638,4340144
1737497338648,3855168
1737497338658,3837480
1737497338668,3436624
1737497338678,3799976
1737497338688,3885744
1737497338698,3529160
1737497338708,4461768
1737497338718,3676520
1737497338728,3925968
1737497338738,4303848
1737497338748,4223032
1737497338758,4625696
1737497338768,4711784
1737497338778,4649832
1737497338788,4684720
1737497338798,4471968
1737497338808,5184320
1737497338818,4405888
1737497338828,4284400
1737497338838,4296528
1737497338848,4321944
1737497338858,4888120
1737497338868,4638816
1737497338878,4422728
1737497338888,4209184
1737497338898,4206512
1737497338908,4355704
1737497338918,4268032
1737497338928,4484920
1737497338938,4586216
1737497338948,4441888
1737497338958,4313672
1737497338968,4200104
1737497338978,4739088
1737497338988,4577912
1737497338998,4277720
1737497339008,4511128
1737497339018,4247208
1737497339028,4070320
1737497339038,4292808
1737497339048,4916792
1737497339058,4189464
1737497339068,4099928
1737497339078,3961648
1737497339088,4337208
1737497339098,4424536
1737497339108,4451736
1737497339118,4435264
1737497339128,4011104
1737497339138,4244408
1737497339148,3889328
1737497339158,4385824
1737497339168,3948576
1737497339178,4668816
1737497339188,4429192
1737497339198,4030352
1737497339208,4472944
1737497339218,4242152
1737497339228,4308528
1737497339238,4352320
1737497339248,4423824
1737497339258,3936216
1737497339268,4223912
1737497339278,4292216
1737497339288,4268408
1737497339298,4337392
1737497339308,4122608
1737497339318,4443216
1737497339328,4850096
1737497339338,4131824
1737497339348,3831016
1737497339358,3959488
1737497339368,3807912
1737497339378,4224848
1737497339388,3809264
1737497339398,4459472
1737497339408,3807512
1737497339418,4521040
1737497339428,4594024
1737497339438,3819032
1737497339448,4237464
1737497339458,4274736
1737497339468,4350888
1737497339478,4281592
1737497339488,4113736
1737497339498,3966840
1737497339508,4323272
1737497339518,4627016
1737497339528,3726784
1737497339538,4053384
1737497339548,4486304
1737497339558,4105824
1737497339568,3783176
1737497339578,4327832
1737497339588,3980984
1737497339598,4213528
1737497339608,4022248
1737497339618,3836592
1737497339628,4177064
1737497339638,3898704
1737497339648,4384184
1737497339658,4289352
1737497339668,3895712
1737497339678,4283824
1737497339688,3782736
1737497339698,3946536
1737497339708,4254608
1737497339718,3796008
1737497339728,4073224
1737497339738,4276432
1737497339748,4193656
1737497339758,3851728
1737497339768,4366528
1737497339778,4238376
1737497339788,4116520
1737497339798,4235888
1737497339808,4402008
1737497339818,4476680
1737497339828,4303984
1737497339839,4359008
1737497339848,4111152
1737497339858,4223336
1737497339868,4298880
1737497339878,3823656
1737497339888,3718008
1737497339898,3969048
1737497339908,4009856
1737497339918,3862704
1737497339928,4674960
1737497339938,3947160
1737497339948,4399176
1737497339958,3922976
1737497339968,4360528
1737497339978,3832296
1737497339988,4297800
1737497339998,4217528
1737497340008,4147264
1737497340018,3953328
1737497340028,3847344
1737497340038,3857208
1737497340048,4105544
1737497340058,4262936
1737497340068,3935256
1737497340078,3841632
1737497340088,3907168
1737497340098,3953568
1737497340108,3980320
1737497340118,4336200
1737497340128,3871480
1737497340138,4041944
1737497340148,4232280
1737497340158,3941760
1737497340168,4114248
1737497340178,4331952
1737497340188,4406976
1737497340198,4039432
1737497340208,3854608
1737497340218,4054664
1737497340228,4303096
1737497340238,3938168
1737497340248,4118608
1737497340258,4295240
1737497340268,4358824
1737497340278,4033800
1737497340288,4178464
1737497340298,4153616
1737497340308,3427736
1737497340318,3882584
1737497340328,4287496
1737497340338,3984584
1737497340348,3935848
1737497340358,3855232
1737497340368,4243024
1737497340378,4213176
1737497340388,4182280
1737497340398,3931704
1737497340408,3898928
1737497340418,4168296
1737497340428,4381096
1737497340438,3903104
1737497340448,4198152
1737497340458,3899216
1737497340468,4060000
1737497340478,3977032
1737497340488,3917008
1737497340498,3829688
1737497340508,4028768
1737497340518,3885952
1737497340528,4369504
1737497340538,3921792
1737497340548,4056880
1737497340558,4085232
1737497340568,4268840
1737497340579,4128464
1737497340588,4286848
1737497340598,3822904
1737497340608,3906480
1737497340618,3874552
1737497340628,3426304
1737497340638,3823272
1737497340648,4304760
1737497340658,4191896
1737497340668,3897960
1737497340678,4775952
1737497340688,3926400
1737497340698,4315736
1737497340708,4166320
1737497340718,4635704
1737497340728,4319472
1737497340738,4291016
1737497340748,4727272
1737497340758,3968280
1737497340768,4231512
1737497340778,4275416
1737497340788,4015968
1737497340798,4262784
1737497340808,4827224
1737497340818,4063416
1737497340829,3987848
1737497340838,4336720
1737497340849,4356344
1737497340858,3891000
1737497340868,4035400
1737497340878,3862528
1737497340888,3967296
1737497340898,3995848
1737497340908,4286192
1737497340918,4002168
1737497340928,4010064
1737497340938,3978160
1737497340948,4025792
1737497340958,4377168
1737497340968,4446456
1737497340978,4377536
1737497340988,4170672
1737497340998,4092248
1737497341008,4625200
1737497341018,4319584
1737497341028,3849176
1737497341038,4199360
1737497341048,3899032
1737497341058,4310792
1737497341068,3883976
