Timestamp,Memory Usage
1737498977940,2118488
1737498977950,3381128
1737498977964,3966440
1737498977970,3353680
1737498977980,3025728
1737498977990,2725064
1737498978000,2984528
1737498978010,3625032
1737498978020,3052576
1737498978030,3658696
1737498978040,3728720
1737498978051,3301208
1737498978060,2615320
1737498978070,3358248
1737498978080,3393832
1737498978090,3639016
1737498978100,3770432
1737498978110,3956552
1737498978120,3315464
1737498978130,3253960
1737498978140,3363232
1737498978150,4195336
1737498978160,3139816
1737498978170,4310760
1737498978180,3467632
1737498978191,3756584
1737498978200,3482784
1737498978210,3121688
1737498978220,4276032
1737498978230,3606832
1737498978240,4525824
1737498978250,3416064
1737498978260,3879376
1737498978270,3328120
1737498978280,3348136
1737498978290,2863832
1737498978300,4142520
1737498978310,4088080
1737498978320,2656392
1737498978330,3847368
1737498978340,3394600
1737498978350,3131968
1737498978360,4112376
1737498978370,4232984
1737498978380,3534536
1737498978390,3103792
1737498978400,3867560
1737498978410,3995944
1737498978421,3701040
1737498978430,3762832
1737498978440,3971696
1737498978450,4177808
1737498978460,3910920
1737498978470,3822400
1737498978480,4493824
1737498978490,2997608
1737498978500,3064072
1737498978511,3925104
1737498978520,3870064
1737498978530,3259952
1737498978540,3576704
1737498978550,4055840
1737498978560,3140008
1737498978570,4183096
1737498978580,3865976
1737498978590,3427264
1737498978600,3640448
1737498978610,4558960
1737498978620,3520896
1737498978630,3619600
1737498978640,3130512
1737498978650,3527992
1737498978660,4045448
1737498978670,4026488
1737498978680,3786192
1737498978691,4127752
1737498978700,3671232
1737498978711,4081864
1737498978720,4066128
1737498978730,4157960
1737498978740,4556216
1737498978750,3503480
1737498978760,3927096
1737498978770,3773312
1737498978780,4499952
1737498978790,3266896
1737498978800,3601104
1737498978810,4045808
1737498978820,3567944
1737498978830,4397832
1737498978840,4422984
1737498978850,4331784
1737498978860,4367312
1737498978870,3700816
1737498978880,3261824
1737498978890,4044224
1737498978900,3540720
1737498978910,3905112
1737498978920,4428464
1737498978930,3679928
1737498978940,4413504
1737498978950,3036848
1737498978960,3813304
1737498978970,4185280
1737498978980,3951712
1737498978990,4483512
1737498979000,4080008
1737498979010,4289576
1737498979020,3533240
1737498979030,3954184
1737498979040,4944008
1737498979050,3447352
1737498979060,4323992
1737498979071,4266120
1737498979080,3931640
1737498979090,4038232
1737498979100,4887016
1737498979110,3523744
1737498979120,3345400
1737498979130,4209712
1737498979140,4175408
1737498979150,4603640
1737498979160,4660848
1737498979170,4532720
1737498979180,3706016
1737498979190,3221568
1737498979200,3754776
1737498979210,3802416
1737498979220,4176248
1737498979230,3248480
1737498979241,3990192
1737498979250,4469632
1737498979260,4112408
1737498979270,3991048
1737498979280,4013824
1737498979290,4362488
1737498979300,4412008
1737498979310,4713560
1737498979320,3878536
1737498979330,4756768
1737498979340,3744024
1737498979350,3263472
1737498979360,4629704
1737498979370,4213952
1737498979380,3409448
1737498979390,4588176
1737498979400,4284096
1737498979410,3908056
1737498979420,4368856
1737498979430,3905200
1737498979440,3297424
1737498979450,4127848
1737498979460,3828280
1737498979470,3975032
1737498979480,3926624
1737498979490,4339976
1737498979500,3749080
1737498979510,4498136
1737498979520,4492024
1737498979530,4145232
1737498979540,3531440
1737498979550,3576640
1737498979560,4479880
1737498979570,4617328
1737498979580,3989160
1737498979590,5293576
1737498979600,4814688
1737498979610,4773928
1737498979620,5064600
1737498979630,4212848
1737498979640,3480112
1737498979650,3588648
1737498979660,4856152
1737498979670,4111984
1737498979680,4474152
1737498979690,5284272
1737498979700,5115160
1737498979710,4154312
1737498979720,3983080
1737498979730,4122384
1737498979740,4775544
1737498979750,4832152
1737498979761,4021856
1737498979770,4023608
1737498979780,4725912
1737498979790,4849816
1737498979800,4084704
1737498979810,4797352
1737498979820,4722176
1737498979830,4156584
1737498979840,3797672
1737498979850,4184504
1737498979860,3969736
1737498979870,4054848
1737498979880,4171152
1737498979890,4095864
1737498979900,3721872
1737498979910,4233296
1737498979920,4345856
1737498979930,3749320
1737498979940,4017240
1737498979950,4827312
1737498979960,4911080
1737498979970,5608472
1737498979980,3959056
1737498979991,4771552
1737498980000,4888656
1737498980010,4071672
1737498980020,4462800
1737498980030,4844584
1737498980040,3415776
1737498980050,3417592
1737498980060,4565632
1737498980070,4298240
1737498980080,4939336
1737498980090,3956360
1737498980100,4975128
1737498980110,4193048
1737498980120,5014920
1737498980130,4827656
1737498980140,3474312
1737498980150,4753456
1737498980160,3642936
1737498980170,4260832
1737498980180,4764288
1737498980190,3883040
1737498980200,4610704
1737498980210,4478576
1737498980220,5511832
1737498980230,5120968
1737498980240,5570320
1737498980251,4613328
1737498980260,3365376
1737498980270,3991368
1737498980280,4548152
1737498980290,4473112
1737498980300,5003472
1737498980310,3593336
1737498980320,4543856
1737498980330,4988840
1737498980340,4677104
1737498980350,4170888
1737498980360,4350296
1737498980370,3913152
1737498980381,4150696
1737498980390,4919032
1737498980400,5067896
1737498980410,4747264
1737498980420,4896984
1737498980430,4286176
1737498980440,5087984
1737498980450,4397704
1737498980460,4486496
1737498980470,4932376
1737498980480,4803384
1737498980490,4863168
1737498980501,4506680
1737498980510,3747616
1737498980520,4297336
1737498980530,4144360
1737498980540,4088608
1737498980550,3799200
1737498980560,4901840
1737498980570,5174784
1737498980580,4519688
1737498980590,5356024
1737498980600,4632600
1737498980610,4600072
1737498980620,3842152
1737498980630,4427512
1737498980640,4217960
1737498980650,5118016
1737498980660,3717384
1737498980670,4097592
1737498980680,3484088
1737498980690,4586816
1737498980700,4592336
1737498980710,5072664
1737498980720,4445216
1737498980731,4144520
1737498980740,5656048
1737498980750,3912000
1737498980760,5417336
1737498980770,4451912
1737498980780,4687600
1737498980790,4340824
1737498980800,3163440
1737498980810,4769760
1737498980820,5694600
1737498980830,4793592
1737498980840,4627032
1737498980850,4518512
1737498980860,4282584
1737498980870,3992144
1737498980880,5365408
1737498980890,3360216
1737498980900,4237104
1737498980910,4688312
1737498980920,4601248
1737498980930,3793336
1737498980940,3722536
1737498980950,4252112
1737498980960,4681312
1737498980970,4407272
1737498980980,5810768
1737498980990,5342728
1737498981000,5288480
1737498981010,6379264
1737498981020,4685728
1737498981030,6325712
1737498981040,5534872
1737498981050,5274688
1737498981060,4902912
1737498981070,6320424
1737498981080,4987488
1737498981090,4368104
1737498981100,4371240
1737498981110,6011424
1737498981120,5568576
1737498981130,6159200
1737498981140,5040352
1737498981150,5698584
1737498981160,5430256
1737498981170,6021168
1737498981180,5706952
1737498981190,5384744
1737498981200,4464072
1737498981210,6199032
1737498981220,5655168
1737498981230,5204248
1737498981240,6379192
1737498981251,4366528
1737498981260,5803344
1737498981270,5754800
1737498981280,5127504
1737498981290,5795248
1737498981300,4124032
1737498981310,4745088
1737498981320,4962288
1737498981330,5016776
1737498981340,3879552
1737498981350,5555376
1737498981360,4090400
1737498981370,5737728
1737498981380,3766736
1737498981390,5718536
1737498981400,5694024
1737498981410,3776792
1737498981420,5511984
1737498981430,5132664
1737498981440,4768264
1737498981450,4845552
1737498981460,4806432
1737498981470,4321928
1737498981480,3898048
1737498981490,5401344
1737498981500,5267576
1737498981510,5340192
1737498981520,4501888
1737498981530,5467416
1737498981540,5548336
1737498981550,4321328
1737498981560,5045896
1737498981570,5257688
1737498981580,4492672
1737498981590,5387880
1737498981600,4958712
1737498981610,4297296
1737498981620,3946424
1737498981630,3552752
1737498981640,3829616
1737498981650,5081984
1737498981660,5602608
1737498981670,5029408
1737498981680,4681160
1737498981690,4386032
1737498981700,4465712
1737498981710,5725712
1737498981720,5727184
1737498981730,4834464
