Timestamp,Memory Usage
1737496534701,2898768
1737496534717,2582376
1737496534721,3115104
1737496534731,3644096
1737496534741,2659984
1737496534751,3250128
1737496534761,3145152
1737496534771,3114232
1737496534781,3494264
1737496534791,2798296
1737496534801,3727424
1737496534811,3581768
1737496534821,2817144
1737496534831,3138168
1737496534841,3618104
1737496534851,3456320
1737496534861,3490184
1737496534871,2830536
1737496534881,3316272
1737496534891,3404504
1737496534901,4018456
1737496534911,2780656
1737496534921,2934480
1737496534931,3872000
1737496534941,3647688
1737496534951,3831168
1737496534961,4216024
1737496534971,3736776
1737496534981,3928392
1737496534992,3897704
1737496535001,3010536
1737496535011,2886688
1737496535021,2736264
1737496535031,4226104
1737496535041,4027984
1737496535051,2896368
1737496535061,3372376
1737496535071,3632064
1737496535081,3867600
1737496535091,3143056
1737496535101,3494928
1737496535112,3963960
1737496535121,3825768
1737496535131,4285768
1737496535141,3072328
1737496535151,3631064
1737496535161,3885184
1737496535171,4359592
1737496535181,3469968
1737496535191,4472504
1737496535201,3690288
1737496535211,4432448
1737496535221,3999920
1737496535231,3209880
1737496535241,3909328
1737496535251,3073792
1737496535261,3705992
1737496535271,4525192
1737496535281,3412392
1737496535291,4181464
1737496535301,3705936
1737496535311,3513992
1737496535321,3730440
1737496535331,3918400
1737496535341,3372496
1737496535351,3484472
1737496535361,3905488
1737496535371,3887368
1737496535381,3978280
1737496535391,3197352
1737496535401,3120040
1737496535411,4268112
1737496535421,4256112
1737496535431,3030856
1737496535441,3862032
1737496535451,4359400
1737496535461,2949608
1737496535471,3530720
1737496535481,4735728
1737496535491,3394784
1737496535501,4296104
1737496535511,4293344
1737496535521,3459352
1737496535531,3449432
1737496535541,3954848
1737496535551,3277696
1737496535561,4416832
1737496535571,4377952
1737496535581,4000456
1737496535591,3074448
1737496535601,4378960
1737496535611,3035816
1737496535621,3551688
1737496535631,3953024
1737496535641,4204456
1737496535651,3770856
1737496535661,4519408
1737496535671,3178816
1737496535681,2769304
1737496535691,4734856
1737496535701,4266128
1737496535712,4154936
1737496535721,3277016
1737496535731,4343992
1737496535741,3848736
1737496535751,4200648
1737496535761,3795504
1737496535771,4433824
1737496535781,4076048
1737496535791,4523416
1737496535801,3247712
1737496535811,4435352
1737496535821,4045880
1737496535831,4258520
1737496535841,3215616
1737496535851,4116016
1737496535861,3934608
1737496535871,4257712
1737496535881,3645232
1737496535891,3161584
1737496535901,3978840
1737496535911,3958024
1737496535921,3478904
1737496535931,4016944
1737496535941,5476248
1737496535951,4170632
1737496535961,4291240
1737496535971,4817888
1737496535981,3680816
1737496535991,3726544
1737496536001,4302768
1737496536011,2980816
1737496536021,4330688
1737496536031,4407808
1737496536041,3855208
1737496536051,3821416
1737496536061,4836448
1737496536071,3431584
1737496536081,3932768
1737496536092,3698560
1737496536101,3968016
1737496536111,4500688
1737496536121,4383768
1737496536131,3326064
1737496536141,3633784
1737496536151,3740632
1737496536161,4316072
1737496536171,3624920
1737496536181,4145768
1737496536191,3590976
1737496536201,2831552
1737496536212,3226296
1737496536221,3517592
1737496536231,3981912
1737496536241,4689512
1737496536251,4398544
1737496536261,3281888
1737496536271,4505952
1737496536281,3179160
1737496536291,4077800
1737496536301,4569024
1737496536311,3296840
1737496536321,3682320
1737496536331,4801264
1737496536341,3228504
1737496536351,4176288
1737496536361,3728840
1737496536371,4485000
1737496536381,4869496
1737496536391,4187200
1737496536401,5343000
1737496536411,4840096
1737496536421,4710816
1737496536431,4455776
1737496536441,4622352
1737496536451,4782296
1737496536461,3802400
1737496536471,4366576
1737496536481,3497440
1737496536491,4184464
1737496536501,4719568
1737496536511,5319752
1737496536521,4641192
1737496536531,4086120
1737496536541,5273840
1737496536551,3496816
1737496536561,4308688
1737496536571,4928544
1737496536581,4456568
1737496536591,4945248
1737496536601,4658960
1737496536611,4619800
1737496536621,4341224
1737496536631,3408280
1737496536641,4282720
1737496536651,4757352
1737496536661,3241056
1737496536671,4283136
1737496536681,4229920
1737496536691,4508072
1737496536701,3131192
1737496536711,3790840
1737496536721,4110088
1737496536731,4552416
1737496536741,3951096
1737496536751,3497160
1737496536761,4106568
1737496536771,4629008
1737496536781,3958456
1737496536791,4628928
1737496536801,4411136
1737496536811,3514904
1737496536821,4234816
1737496536831,4081104
1737496536841,3909512
1737496536851,3729512
1737496536861,4065776
1737496536871,3806048
1737496536881,3191288
1737496536891,3461424
1737496536901,4546856
1737496536911,3417168
1737496536921,5015424
1737496536931,4006936
1737496536941,4312384
1737496536951,3629200
1737496536961,4704544
1737496536971,4666448
1737496536981,4545320
1737496536991,3962272
1737496537001,4644304
1737496537012,4526672
1737496537021,4493296
1737496537031,4277816
1737496537041,4676256
1737496537051,4721776
1737496537061,4545416
1737496537071,4676192
1737496537081,4776936
1737496537091,3645352
1737496537101,4191240
1737496537111,3674600
1737496537121,4631408
1737496537131,3787856
1737496537141,4504560
1737496537151,3578168
1737496537161,3720560
1737496537171,3680448
1737496537181,4166096
1737496537191,5069104
1737496537201,4767256
1737496537211,4569392
1737496537221,4319040
1737496537231,4235672
1737496537241,3604320
1737496537251,4114240
1737496537261,4469256
1737496537271,4906032
1737496537281,4577856
1737496537291,3698344
1737496537301,3820552
1737496537311,3370736
1737496537321,4482064
1737496537331,4507560
1737496537341,4388384
1737496537351,4583448
1737496537361,4807568
1737496537371,4485480
1737496537381,4300784
1737496537391,3927320
1737496537401,3875960
1737496537411,4580592
1737496537421,3823200
1737496537431,4767328
1737496537441,5073688
1737496537451,3732792
1737496537461,4047392
1737496537471,4779592
1737496537481,3797688
1737496537491,4668144
1737496537501,4516456
1737496537511,4898392
1737496537521,4110312
1737496537531,4227720
1737496537541,4355584
1737496537551,4893688
1737496537561,3397984
1737496537571,4736344
1737496537581,4553752
1737496537591,4775376
1737496537601,4426192
1737496537611,3959488
1737496537621,5466088
1737496537631,4832488
1737496537641,4395592
1737496537651,4021320
1737496537661,4725984
1737496537671,4090688
1737496537681,4431424
1737496537691,3570696
1737496537701,5216680
1737496537711,3878832
1737496537721,4935016
1737496537731,4289776
1737496537741,4714936
1737496537751,4160600
1737496537761,3952096
1737496537771,5581808
1737496537781,6103128
1737496537791,5146184
1737496537801,4680888
1737496537811,6090840
1737496537821,5832696
1737496537831,5642496
1737496537841,5695624
1737496537851,6485520
1737496537861,4694264
1737496537871,4747992
1737496537881,6287960
1737496537891,5886104
1737496537901,5905120
1737496537912,6283704
1737496537921,4713216
1737496537931,5596048
1737496537941,4954608
1737496537951,5060064
1737496537961,4390248
1737496537971,5219656
1737496537981,4979176
1737496537991,5897480
1737496538001,4506648
1737496538012,5121152
1737496538021,5400440
1737496538031,4012488
1737496538041,5829512
1737496538051,5384328
1737496538061,4742072
1737496538071,4751992
1737496538081,4915752
1737496538091,5397024
1737496538101,4660064
1737496538111,6051680
1737496538121,4417752
1737496538131,4833504
1737496538145,4990296
1737496538151,4933392
1737496538161,3959704
1737496538171,5388752
1737496538181,4891696
1737496538191,4172888
1737496538201,3972456
1737496538211,4033408
1737496538221,4791352
1737496538231,4933320
1737496538241,3859776
1737496538251,4038048
1737496538261,4456472
1737496538271,4190888
1737496538281,4165352
1737496538291,4557064
1737496538301,4113872
1737496538311,4027304
1737496538321,5692264
1737496538331,5254696
1737496538341,4776064
1737496538351,4114552
1737496538361,5377296
1737496538371,4462112
1737496538381,4949352
1737496538391,4523048
1737496538401,4736168
1737496538411,4771632
1737496538421,4191312
1737496538431,5208472
1737496538441,4159280
1737496538451,4221712
1737496538461,6078976
1737496538471,4978840
1737496538481,4710696
1737496538491,5088168
1737496538501,3968896
1737496538511,4493744
1737496538521,5172296
1737496538531,5162624
1737496538541,5256432
1737496538551,5573240
1737496538561,3867096
1737496538571,3935072
1737496538581,5498072
1737496538591,4861952
1737496538601,5295672
1737496538611,5233512
1737496538621,4893432
1737496538631,4491368
1737496538641,4632456
1737496538651,4785928
1737496538661,5357696
1737496538671,5500488
1737496538682,5025064
1737496538691,4305336
1737496538701,4601568
1737496538711,4777992
1737496538721,4717720
1737496538731,4175088
1737496538741,5457608
1737496538751,4520312
1737496538761,4259024
1737496538771,6041704
1737496538781,4246040
1737496538791,5233432
1737496538801,4885688
1737496538811,4194224
1737496538821,5450448
1737496538831,4661408
1737496538841,4907800
1737496538851,4879168
1737496538861,4892256
1737496538871,5669264
1737496538881,5247088
1737496538891,4776952
1737496538901,5087416
1737496538911,3775560
1737496538921,5192312
1737496538931,5624416
1737496538941,5780096
1737496538951,6000160
1737496538961,5075440
1737496538971,5796312
1737496538981,5117256
1737496538991,4665968
1737496539001,4848704
1737496539011,5288984
1737496539021,5434216
1737496539031,3970216
1737496539041,5511536
1737496539051,4395928
1737496539061,5653824
1737496539071,3899688
1737496539081,6163768
1737496539091,5921856
1737496539101,5377656
1737496539111,5368288
1737496539121,5445136
1737496539131,3943744
1737496539141,5525200
1737496539151,5782000
1737496539161,6046376
1737496539171,5376880
1737496539181,5296720
1737496539191,4683808
1737496539201,6080896
1737496539211,5561896
1737496539221,4279336
1737496539231,5349152
1737496539241,4694640
1737496539251,5875024
1737496539261,5730232
1737496539271,5438488
1737496539281,5297544
1737496539291,5723752
1737496539301,5167192
1737496539311,5885072
1737496539321,5868928
1737496539331,5943232
1737496539341,4865248
1737496539351,5854504
1737496539361,4663800
1737496539371,4242208
1737496539381,5297520
1737496539391,5189896
1737496539401,3905776
1737496539411,6090600
1737496539421,5693816
1737496539431,4788016
1737496539441,5292248
1737496539451,4941880
1737496539461,5245504
1737496539471,4838840
1737496539481,4380264
1737496539491,5809848
1737496539501,5775184
1737496539511,5543384
1737496539521,5381144
1737496539531,5138136
1737496539541,4396536
1737496539551,5108040
1737496539561,5083504
1737496539572,4517672
1737496539581,6448848
1737496539591,4189648
1737496539601,4712008
1737496539611,4366472
1737496539621,5623144
1737496539631,3885672
1737496539641,6143904
1737496539651,5249368
1737496539661,5672144
1737496539671,5139176
1737496539681,5671080
1737496539691,5788424
1737496539701,4760832
1737496539711,4505072
1737496539721,4566048
1737496539731,4836824
1737496539741,4854232
1737496539751,4797976
1737496539761,6461664
1737496539771,5660024
1737496539781,5371488
1737496539791,5759032
1737496539801,5223912
1737496539811,5504176
1737496539821,3935800
1737496539831,5489480
1737496539841,4607080
1737496539851,5474792
1737496539861,4858528
1737496539871,6124184
1737496539881,4386352
1737496539891,5403312
1737496539901,6165584
1737496539911,6009880
1737496539921,6328824
1737496539931,4480256
1737496539941,4192048
1737496539951,5830504
1737496539961,4831120
1737496539971,5275792
1737496539981,5444472
1737496539991,4680560
1737496540001,4048648
1737496540011,6211032
1737496540021,5638720
1737496540031,5398832
1737496540041,5004456
1737496540051,4670096
1737496540061,4509848
1737496540071,5920704
1737496540081,5339448
1737496540091,5881120
1737496540101,5802664
1737496540112,5361728
1737496540121,6006928
1737496540131,4488208
1737496540141,5471704
1737496540151,4142376
1737496540161,4342920
1737496540171,5724048
1737496540181,5143720
1737496540191,4849752
1737496540201,6070064
1737496540211,4150256
1737496540221,5422208
1737496540231,5030016
1737496540241,5839912
1737496540251,5677736
1737496540261,5953960
1737496540271,4769824
1737496540281,4383504
1737496540291,6342920
1737496540301,5769400
1737496540311,4905360
1737496540321,5194488
1737496540331,5168552
1737496540342,4736960
1737496540351,6069192
1737496540361,5570856
1737496540371,5341536
1737496540381,4998880
1737496540391,4525144
1737496540401,4475280
1737496540411,6228976
1737496540421,4428056
1737496540431,4276512
1737496540441,5404288
1737496540451,4758928
1737496540461,6260616
1737496540471,5718216
1737496540481,5436376
1737496540491,5757672
1737496540501,5482736
1737496540511,5490776
1737496540523,8110624
1737496540531,6618512
1737496540541,7265560
1737496540551,7394920
1737496540561,7221592
1737496540571,7958904
1737496540581,7796352
1737496540591,8809112
1737496540601,6360712
1737496540611,8149256
1737496540621,7640984
1737496540631,7005792
1737496540641,6220744
1737496540651,6694224
1737496540661,6429824
1737496540671,5619120
1737496540681,7974256
1737496540691,6141328
1737496540701,6675520
1737496540711,6789440
1737496540721,7229264
1737496540731,6617952
1737496540742,5493456
1737496540751,8363512
1737496540761,7085720
1737496540771,7020704
1737496540781,6549752
1737496540791,8207200
1737496540801,8072472
1737496540811,8442560
1737496540821,5861856
1737496540831,6706584
1737496540841,6781784
1737496540851,6591344
1737496540861,6451296
1737496540871,5542880
1737496540881,6389680
1737496540891,5307632
1737496540901,6232360
1737496540911,7106504
1737496540921,5590520
1737496540931,6783464
1737496540941,7805440
1737496540951,7362304
1737496540961,6401616
1737496540971,6854928
1737496540981,7066104
1737496540991,6590368
1737496541001,7082576
1737496541011,5402264
1737496541021,5793200
1737496541031,6609600
1737496541041,7585528
1737496541052,5546792
1737496541061,5179256
1737496541071,5829176
1737496541081,6546120
1737496541091,6815320
1737496541101,5612240
1737496541111,5364632
1737496541121,7543376
1737496541131,7883768
1737496541142,6109776
1737496541151,6327592
1737496541161,6007008
1737496541171,5743480
1737496541181,5710584
1737496541191,6099200
1737496541201,6702344
1737496541211,7504528
1737496541221,7030232
1737496541231,5382808
1737496541241,6342752
1737496541251,6839408
1737496541261,7290408
1737496541271,6907512
1737496541281,5579856
1737496541291,7052528
1737496541301,6451728
1737496541311,6713552
1737496541321,6621056
