Timestamp,Memory Usage
1737754843580,3064704
1737754843590,3501584
1737754843600,3179976
1737754843610,3263160
1737754843620,3244232
1737754843630,3716584
1737754843640,3079312
1737754843650,4223440
1737754843660,3091584
1737754843670,3577024
1737754843680,3591864
1737754843692,4262176
1737754843700,2765232
1737754843710,3183232
1737754843720,3887256
1737754843730,3338280
1737754843740,3287488
1737754843750,3480776
1737754843760,3646336
1737754843770,3008512
1737754843780,3454256
1737754843790,4021912
1737754843800,3323256
1737754843810,3287096
1737754843820,4262728
1737754843830,4441768
1737754843840,3884112
1737754843850,3886224
1737754843860,3828552
1737754843870,4313736
1737754843880,3884776
1737754843890,3564064
1737754843900,4327456
1737754843910,3229872
1737754843920,3687872
1737754843930,3407864
1737754843940,3958336
1737754843950,3611592
1737754843960,4146304
1737754843970,3513584
1737754843980,3901512
1737754843990,3386984
1737754844000,4233552
1737754844010,4176824
1737754844020,3543208
1737754844030,3942728
1737754844040,4455680
1737754844050,3371392
1737754844060,3213144
1737754844070,4300088
1737754844081,3688296
1737754844090,4864464
1737754844100,3882256
1737754844110,4248280
1737754844120,3234384
1737754844130,4980280
1737754844140,4799392
1737754844150,3986648
1737754844160,4787936
1737754844170,4381264
1737754844180,3496136
1737754844190,3560152
1737754844200,4138296
1737754844210,4398040
1737754844220,4227048
1737754844230,3431016
1737754844240,3848568
1737754844250,3706984
1737754844260,3600400
1737754844270,3789632
1737754844280,3864144
1737754844290,4302200
1737754844300,3597768
1737754844310,4220680
1737754844320,4035848
1737754844330,4324112
1737754844340,3910328
1737754844350,3870024
1737754844360,4886120
1737754844370,3703864
1737754844380,4398592
1737754844390,3427336
1737754844400,4126256
1737754844410,5074208
1737754844420,3431584
1737754844430,3242248
1737754844440,4337024
1737754844450,4101544
1737754844460,3802440
1737754844470,3984368
1737754844480,5371840
1737754844490,4354712
1737754844500,3858488
1737754844510,4113896
1737754844520,4189112
1737754844530,4002576
1737754844540,3580840
1737754844550,4104024
1737754844560,3460288
1737754844570,3420272
1737754844580,3646296
1737754844590,3370512
1737754844600,4540464
1737754844610,4077896
1737754844620,4422856
1737754844630,5152368
1737754844640,4408680
1737754844650,3614200
1737754844660,4655440
1737754844670,4601360
1737754844680,4403464
1737754844690,3562448
1737754844700,5018264
1737754844710,3961512
1737754844720,4103400
1737754844730,3854064
1737754844740,3928896
1737754844750,4499016
1737754844760,4252904
1737754844770,4587264
1737754844780,4350344
1737754844790,4108344
1737754844800,3884496
1737754844810,4041768
1737754844820,4045824
1737754844830,4147656
1737754844840,4587168
1737754844850,4727608
1737754844860,4841768
1737754844870,4214072
1737754844880,4427128
1737754844890,3131096
1737754844900,4150592
1737754844910,3945520
1737754844920,3308000
1737754844930,4491440
1737754844940,4595216
1737754844950,3781048
1737754844960,4455664
1737754844970,4026184
1737754844981,3767320
1737754844990,3931128
1737754845000,4686240
1737754845010,3519048
1737754845020,4584784
1737754845030,3859008
1737754845040,3898456
1737754845050,3987496
1737754845060,3602040
1737754845070,4147920
1737754845080,4071152
1737754845090,4846352
1737754845100,3590136
1737754845110,4150848
1737754845121,4022256
1737754845130,4982408
1737754845140,3645240
1737754845150,4685000
1737754845160,4658784
1737754845170,5802480
1737754845180,5463624
1737754845190,4215304
1737754845200,3688208
1737754845210,4477128
1737754845220,3984408
1737754845230,4660800
1737754845240,4740464
1737754845250,4795584
1737754845260,4042440
1737754845270,4489904
1737754845280,5048648
1737754845290,3674008
1737754845300,4149696
1737754845310,4580032
1737754845320,3689832
1737754845330,3856640
1737754845340,3883184
1737754845350,3900960
1737754845360,4632688
1737754845370,5064736
1737754845380,3583208
1737754845390,4730840
1737754845400,4986624
1737754845410,4491848
1737754845420,4019224
1737754845430,4166368
