Timestamp,Memory Usage
1738074523613,4354656
1738074523614,4695264
1738074523624,6833120
1738074523634,5897888
1738074523644,6548080
1738074523660,7497504
1738074523664,7052152
1738074523674,6058456
1738074523684,5688224
1738074523694,7282864
1738074523704,7025656
1738074523714,5019920
1738074523724,4652248
1738074523734,7015576
1738074523744,5379248
1738074523754,7103008
1738074523764,6428592
1738074523774,5735160
1738074523784,6615152
1738074523794,6339656
1738074523804,6942632
1738074523814,5739936
1738074523824,6300688
1738074523834,6174200
1738074523844,8631672
1738074523854,7636080
1738074523864,5677496
1738074523874,7385536
1738074523884,7337936
1738074523894,7530792
1738074523904,6940552
1738074523914,6302912
1738074523924,7028168
1738074523934,5852168
1738074523944,5573632
1738074523954,7120760
1738074523964,6548968
1738074523974,6193184
1738074523984,5984432
1738074523994,6371784
1738074524004,6555248
1738074524014,7309600
1738074524024,6372040
1738074524034,6316504
1738074524044,7962536
1738074524054,8686896
1738074524064,5570816
1738074524074,9410120
1738074524084,6351040
1738074524094,7509192
1738074524104,9247328
1738074524114,6929912
1738074524124,6008216
1738074524134,6365504
1738074524144,8070072
1738074524154,7247600
1738074524164,6627456
1738074524174,6482832
1738074524184,6762264
1738074524194,7288560
1738074524204,8337840
1738074524214,6472664
1738074524224,7050400
1738074524234,6227624
1738074524244,7155888
1738074524254,6220488
1738074524264,6822760
1738074524274,7170856
1738074524284,7447592
1738074524294,7006848
1738074524304,6827712
1738074524314,6155008
1738074524324,7173152
1738074524334,7885192
1738074524344,5383104
1738074524354,7103504
1738074524364,6602776
1738074524374,7324216
1738074524384,6383512
1738074524394,6848432
1738074524404,5884568
1738074524414,8926744
1738074524424,5967824
1738074524434,7308696
1738074524444,7326264
1738074524455,8189904
1738074524464,8396648
1738074524477,9821200
1738074524484,6801064
1738074524494,7140008
1738074524504,5872640
1738074524514,9967480
1738074524524,9033696
1738074524534,8720464
1738074524544,6709616
1738074524554,5482688
1738074524564,6841296
1738074524574,7868288
1738074524584,7353536
1738074524594,5585272
1738074524604,6530312
1738074524614,7331952
1738074524624,6119512
1738074524634,6729744
1738074524644,5737856
1738074524654,6981976
