Trace ID,Batch Size
A,3
A,2
A,2
A,2
A,2
A,2
A,2
A,2
B,3
C,2
C,2
C,2
D,3
E,3
F,3
F,2
G,3
G,2
H,3
H,2
I,3
I,2
J,3
K,3
K,2
K,2
L,3
L,2
N,3
N,2
O,3
R,2
S,3
S,3
S,2
T,3
U,2
V,3
V,3
V,3
V,2
W,3
X,3
X,3
Y,3
Z,3
AA,3
BA,3
BA,2
CA,3
DA,3
DA,2
EA,3
EA,2
FA,3
GA,3
GA,2
HA,3
HA,2
IA,3
JA,3
JA,2
KA,3
KA,2
KA,2
KA,2
LA,2
MA,3
MA,2
MA,2
NA,3
NA,2
NA,2
NA,2
NA,2
OA,3
OA,3
PA,3
QA,3
QA,2
QA,2
SA,3
SA,2
TA,2
TA,2
UA,3
VA,3
VA,2
YA,3
ZA,3
AB,3
BB,3
CB,3
CB,2
DB,3
DB,2
EB,3
FB,3
GB,3
GB,2
HB,3
HB,2
HB,2
IB,3
IB,2
JB,3
KB,3
KB,2
LB,3
LB,2
LB,2
LB,2
LB,2
LB,2
NB,3
NB,3
NB,2
NB,2
NB,2
OB,3
OB,2
OB,2
OB,2
PB,3
PB,2
PB,2
QB,3
QB,2
QB,2
RB,2
SB,2
SB,3
TB,3
UB,3
VB,3
VB,2
WB,2
XB,3
YB,3
YB,2
YB,2
ZB,3
ZB,2
AC,3
AC,2
BC,2
CC,3
CC,2
DC,3
EC,3
EC,2
EC,2
EC,2
FC,2
GC,3
GC,2
HC,2
IC,3
JC,3
JC,2
JC,2
KC,3
KC,2
LC,3
LC,2
LC,2
LC,2
MC,3
MC,2
NC,2
OC,2
OC,3
OC,3
OC,3
OC,2
PC,2
QC,3
QC,2
QC,2
RC,2
SC,3
SC,2
TC,3
TC,3
TC,3
TC,3
TC,3
UC,2
UC,3
UC,3
UC,2
UC,3
UC,3
UC,2
UC,2
VC,3
VC,2
WC,3
XC,3
YC,2
YC,2
ZC,3
AD,3
AD,3
AD,3
AD,3
AD,3
