Metric,Value
total_events,15214
total_delays,15213
zero_delays_count,5745
zero_delays_percentage,37.763754683494376
non_zero_delays_count,9468
first_percentile,0.0
fifth_percentile,0.0
tenth_percentile,0.0
first_quartile,0.0
median,86000.0
third_quartile,1953000.0
mean,3266601.064878722
mean_non_zero,5248711.660329531
mode,0.0
