Metric,Value
total_events,561470
total_delays,561469
zero_delays_count,556565
zero_delays_percentage,99.12657689026464
non_zero_delays_count,4904
first_percentile,0.0
fifth_percentile,0.0
tenth_percentile,0.0
first_quartile,0.0
median,0.0
third_quartile,0.0
mean,756638.033444411
mean_non_zero,86629037.52039152
mode,0.0
all_modes,0.0;86400000.0;172800000.0;259200000.0
std,8074644.713308802
std_non_zero,5081855.759890719
min,0.0
max,259200000.0
events_below_first_percentile,0
events_below_first_percentile_percentage,0.0
events_below_fifth_percentile,0
events_below_fifth_percentile_percentage,0.0
events_below_tenth_percentile,0
events_below_tenth_percentile_percentage,0.0
