Metric,Value
total_events,262200
total_delays,262199
zero_delays_count,14011
zero_delays_percentage,5.3436511962288185
non_zero_delays_count,248188
first_percentile,0.0
fifth_percentile,0.0
tenth_percentile,64.99981880187988
first_quartile,1098.9999771118164
median,7350.99983215332
third_quartile,27848.000168800354
mean,54582.85552195085
mean_non_zero,57664.23088545776
mode,0.0
